identifier,MolWt,HeavyAtomCount,TotalAtomCount,RotatableBonds,RingCount,FractionCSP3,HBD,HBA,TPSA,FormalCharge,LogP,MolarRefractivity,HeteroatomCount,StereocenterCount,DoubleBondCount,TripleBondCount,BridgeheadAtomCount,RadiusOfGyration,Asphericity,Eccentricity,SpherocityIndex,InertialShapeFactor,PMI1,PMI2,PMI3,PMI_Ratio1,PMI_Ratio2,BoundingBoxVolume,CovalentRadiusSum,ShapeIndex,Max_EState,Min_EState,Avg_EState,partial_charge_max,partial_charge_min,total_partial_charge,Hydroxyl,Carbonyl,Amine,Halogen,Sulfonyl,Ester,Ether,Thiol,Phenol,Carboxylic_Acid,Imine,Alkyne,Nitrile,Aldehyde,Ketone,Lactone,Lactam,Halogenated_Aromatics,Quaternary_Carbons,SSSR_count,Largest_ring_size,Macrocycle_count,Fraction_aromatic_rings,Aromatic_ring_count,Fused_ring_count,Bridged_ring_count,Spiro_atom_count,WienerIndex,ZagrebIndex,BalabanIndex,BertzCTIndex,Chi0,Chi1,Chi2,Chi3,Chi4,AtomInformationContent,BondInformationContent,TopologicalDiameter,TopologicalRadius,TotalPathCount,FragmentComplexityScore,PathComplexityIndex,GraphDistanceDistributionEntropy,Score
CNP0000043.1,506.6360000000003,36,36,18,1,0.6428571428571429,1,7,116.20000000000002,0,6.410700000000007,136.35530000000003,8,1,4,0,0,5.904549131745697,0.4938043088886003,0.9758960209809175,0.327003559489613,0.0002807109468996,3502.1860386905687,15776.525375709414,16047.700067160622,0.2182360103961129,0.9831019591395448,1549.4618332066843,39.58000000000005,0.0002807109468996,11.8273137009744,-1.1856196032052224,2.518518518518518,0.23130888,-0.27124152,1.396983861923218e-07,1,4,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,1.0,1,0,0,0,5718.0,162.0,2.1836217500449235,861.350800440274,26.92407448406449,17.095131908272993,9.295785599470731,5.810400374824795,4.225797432196112,0.7642045065086203,1.1221136771091087,22.0,11.0,129,1,3.583333333333333,4.328576314310741,-7.1
CNP0000196.0,558.6420000000002,42,42,11,5,0.0303030303030303,5,7,108.97,0,5.412300000000004,166.1355999999997,9,0,2,0,0,4.56236119750783,0.1321178066636591,0.8569188061409514,0.4413228850229084,0.0001583599444194,5144.557475183433,8131.181454179315,9980.683611329636,0.515451413502734,0.8146918358326831,1734.5771653247102,40.62000000000008,0.0001583599444194,14.456547461577223,-2.8282886904761906,2.307539682539681,0.16129977,-0.272049,4.0978193283081055e-08,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,1.0,5,0,0,0,5581.0,216.0,1.418516531994112,1476.5863938371524,29.20224907711649,20.54266188845343,9.23431704566874,6.244896158620674,4.108982022416093,0.946372935985442,1.121177460903491,14.0,7.0,190,1,4.523809523809524,3.569456782794933,-8.7
CNP0000210.0,252.273,19,19,2,3,0.1333333333333333,1,3,62.82,0,2.2078,74.25470000000001,4,0,2,0,0,3.532085111683713,0.6504252483366881,0.9909336325184264,0.0611175683821749,0.0022082971511523,413.17896359550593,2806.007745337052,3075.340101479981,0.1343522829870644,0.912421928224031,225.820789968996,17.859999999999992,0.0022082971511523,11.834464600655078,-0.2935359977324261,2.456140350877193,0.17738214,-0.29646996,2.60770320892334e-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,1.0,3,3,3,0,690.0,102.0,1.6321558248986396,849.5083567912542,13.405412915006313,9.131030293135236,4.607921115257861,3.046128164837981,2.1671373423268743,0.9530138853315973,1.0230370655328809,10.0,5.0,90,1,4.7368421052631575,3.05828998592482,-9.0
CNP0000212.0,268.27200000000005,20,20,2,3,0.1333333333333333,1,4,72.05,0,1.7917999999999998,75.58970000000002,5,0,2,0,0,3.744755426994608,0.6561618409310271,0.9912561403329354,0.1084177501953513,0.0019188055451187,482.4786371082466,3385.1037878958764,3656.477751592016,0.131951749712733,0.9257826842846276,309.632181902208,18.51999999999999,0.0019188055451187,11.89483875031494,-0.4832044700596289,2.5083333333333333,0.2227386,-0.29730308,9.313225746154783e-10,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1.0,3,3,3,0,810.0,106.0,1.6093217638124977,867.74642507019,14.11251969619286,9.66903509559602,4.482038625295327,3.169191153820788,2.1402200898657964,1.0540157730728,1.0957952550009336,11.0,6.0,94,1,4.7,3.155000497865152,-8.9
CNP0000225.0,615.558,42,42,13,4,0.3548387096774194,2,7,96.13,0,5.288600000000004,167.29439999999963,11,0,4,0,0,9.000721369851759,0.8929029657620606,0.9993097674789924,0.0512347581813079,0.0005353568593395,1834.731138237909,48512.14550000989,49389.50562178932,0.0371481980866088,0.9822358998995048,1122.723701095458,42.900000000000105,0.0005353568593395,12.59580402419699,-0.3766630714709575,2.2830687830687832,0.2170097,-0.30710337,-3.539025783538819e-07,0,2,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,0.75,3,2,2,0,8629.0,210.0,1.0372622061369796,1390.9468440671756,29.898765978752643,20.354906943597644,9.70159999389197,6.803290860547076,4.65067361841594,1.2211334681018569,1.311932990899272,27.0,14.0,180,1,4.285714285714286,4.527010118493914,-9.6
CNP0000263.1,476.5690000000003,35,35,8,4,0.3103448275862069,0,6,55.38000000000001,0,6.274720000000006,137.44099999999992,6,1,1,0,0,4.721751778934801,0.2831627645595763,0.9259125981374432,0.0873616130376022,0.0001649795027626,3954.0383867792666,6828.436628624716,10467.679374662834,0.3777378199364868,0.6523352869551052,787.164938748945,35.92000000000002,0.0001649795027626,6.602175185858448,-0.0555876370035828,2.1047619047619053,0.07629179,-0.1518518,-6.472691893577577e-08,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0.75,3,2,2,0,3622.0,182.0,1.5002584920107065,1216.0770271175531,24.949018510446813,17.05310511300804,8.244636034190975,6.414694446370978,4.628773257821512,0.6609623351442084,1.1487361244596448,15.0,8.0,167,1,4.771428571428571,3.618098856915751,-7.9
CNP0000285.1,563.6910000000003,41,41,15,3,0.4242424242424242,4,8,133.16000000000005,0,5.613200000000005,156.65109999999976,8,2,8,0,0,6.928288160692406,0.7319187527494628,0.9950605252352602,0.075293349635525,0.0003579505097423,2631.7026806724843,24973.43072062176,26510.529344222497,0.0992700917624648,0.9420193160369422,1569.2087492681603,43.1200000000001,0.0003579505097423,13.674240599812684,-1.7367617035310805,2.4817073170731705,0.19418481,-0.27020025,-1.4761462807655334e-07,3,3,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,1,3,6,0,0.3333333333333333,1,2,2,0,6620.0,204.0,1.5751402293757746,1285.6569659242102,29.99298858481683,19.59960986091836,10.820747039549545,7.573399126496396,4.889095448178712,0.818125409661201,1.231120013701481,23.0,12.0,178,1,4.341463414634147,4.183310628278873,-8.1
CNP0000292.1,584.8850000000002,43,43,8,2,0.5,3,3,60.69,0,9.045300000000005,184.22139999999945,3,4,9,1,0,9.857336564564116,0.8731951224893396,0.9990129999772656,0.0749058850755102,0.0003966064879359,2486.412534679864,55200.0914061422,55976.63608192297,0.0444187559081068,0.9861273429392172,1631.61058964184,49.74000000000015,0.0003966064879359,10.91126153867186,-0.9144151170995752,2.110465116279069,0.15615502,-0.24139616,-7.82310962677002e-08,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,6,0,0.0,0,0,0,0,9626.0,214.0,1.5004225618849043,1300.8518192477843,32.42407448406448,19.92519515018292,14.280762672898646,8.502990398329908,6.520336361418408,0.3650551896402848,0.879816581921562,27.0,14.0,177,1,4.116279069767442,4.559550186770276,-10.6
CNP0000314.0,135.12599999999998,10,10,1,2,0.0,2,3,65.14,0,2.42337,35.372400000000006,4,0,1,0,0,2.1357603137325376,0.4386390933864847,0.96844131214525,7.475059952857583e-07,0.0048869268928802,153.62594045238404,462.7476764243093,616.3733458799966,0.2492416998224545,0.7507587398407765,89.570625279372,8.899999999999999,0.0048869268928802,6.744537037037037,0.6145833333333335,2.5,0.14737846,-0.13259111,-1.862645149230957e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1.0,2,2,2,0,108.0,52.0,2.011567439049135,359.58718865792105,6.974691494688164,4.915014900172529,1.984854237588876,1.42275029196105,0.9235538668810126,1.295461844238322,0.8658566174572235,5.0,3.0,47,1,4.7,2.1091724396968914,-6.1
CNP0000330.0,135.126,10,10,1,2,0.0,2,3,65.67,0,1.15357,36.2454,4,0,1,0,0,2.2254162835774007,0.6167183512356176,0.9886294252433678,4.904578863443439e-07,0.0084430474269624,100.63047515311148,568.5781105277514,669.2084001903027,0.1503724028635851,0.8496278743154823,21.49538756304,8.9,0.0084430474269624,6.89660336356765,0.6236111111111113,2.5,0.16034785,-0.21446107,5.21540641784668e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1.0,2,2,2,0,112.0,52.0,1.9367952205427108,331.08718865792105,6.974691494688164,4.898178147766922,1.9792786754797584,1.3223453219899206,0.8574356665640385,1.295461844238322,0.8658566174572235,6.0,3.0,46,1,4.6,2.2420549704494093,-5.778
