Ligand,Score
CNP0329131.1,SKIPPED
CNP0156094.1,SKIPPED
CNP0223232.8,SKIPPED
CNP0221048.2,SKIPPED
CNP0530777.1,SKIPPED
CNP0223232.1,SKIPPED
CNP0223232.5,SKIPPED
CNP0209209.1,SKIPPED
CNP0524386.0,SKIPPED
CNP0579212.1,SKIPPED
CNP0593881.1,SKIPPED
CNP0086320.0,SKIPPED
CNP0502689.1,SKIPPED
CNP0531100.1,SKIPPED
CNP0514653.1,SKIPPED
CNP0588089.1,SKIPPED
CNP0222369.1,SKIPPED
CNP0606212.1,FAILED
CNP0074685.3,FAILED
CNP0487428.0,FAILED
CNP0423040.1,FAILED
CNP0308491.0,FAILED
CNP0134221.1,FAILED
CNP0180163.3,FAILED
CNP0214159.21,SKIPPED
CNP0000788.0,SKIPPED
CNP0376840.1,SKIPPED
CNP0358199.0,SKIPPED
CNP0569256.1,SKIPPED
CNP0000745.0,SKIPPED
CNP0214159.3,SKIPPED
CNP0185517.3,SKIPPED
CNP0183087.3,SKIPPED
CNP0199553.0,SKIPPED
CNP0575647.2,SKIPPED
CNP0344948.1,SKIPPED
CNP0492528.1,SKIPPED
CNP0274128.7,SKIPPED
CNP0524716.2,SKIPPED
CNP0322896.2,SKIPPED
CNP0127249.1,SKIPPED
CNP0575343.2,SKIPPED
CNP0279312.10,SKIPPED
CNP0527801.1,SKIPPED
CNP0093209.1,SKIPPED
CNP0575343.1,SKIPPED
CNP0102377.0,SKIPPED
CNP0269548.1,SKIPPED
CNP0525297.5,SKIPPED
CNP0352538.2,SKIPPED
CNP0510554.1,SKIPPED
CNP0525297.2,SKIPPED
CNP0000750.0,SKIPPED
CNP0398651.1,SKIPPED
CNP0000785.0,SKIPPED
CNP0274128.1,SKIPPED
CNP0535806.1,SKIPPED
CNP0183087.5,SKIPPED
CNP0509250.0,SKIPPED
CNP0358199.0,SKIPPED
CNP0000745.0,SKIPPED
CNP0344948.1,SKIPPED
CNP0376840.1,SKIPPED
CNP0185517.3,SKIPPED
CNP0214159.21,SKIPPED
CNP0000788.0,SKIPPED
CNP0199553.0,SKIPPED
CNP0569256.1,SKIPPED
CNP0093209.1,SKIPPED
CNP0575647.2,SKIPPED
CNP0214159.3,SKIPPED
CNP0279312.10,SKIPPED
CNP0183087.3,SKIPPED
CNP0102377.0,SKIPPED
CNP0322896.2,SKIPPED
CNP0524716.2,SKIPPED
CNP0274128.7,SKIPPED
CNP0492528.1,SKIPPED
CNP0575343.2,SKIPPED
CNP0575343.1,SKIPPED
CNP0525297.5,SKIPPED
CNP0269548.1,SKIPPED
CNP0527801.1,SKIPPED
CNP0000785.0,SKIPPED
CNP0352538.2,SKIPPED
CNP0000750.0,SKIPPED
CNP0127249.1,SKIPPED
CNP0510554.1,SKIPPED
CNP0398651.1,SKIPPED
CNP0183087.5,SKIPPED
CNP0274128.1,SKIPPED
CNP0535806.1,SKIPPED
CNP0525297.2,SKIPPED
CNP0509250.0,SKIPPED
CNP0326111.0,FAILED
CNP0301761.1,FAILED
CNP0602607.2,FAILED
CNP0303878.3,FAILED
CNP0550997.1,FAILED
CNP0482222.1,FAILED
CNP0592899.1,FAILED
CNP0456036.1,FAILED
CNP0172710.3,FAILED
CNP0226972.2,FAILED
CNP0568609.0,FAILED
CNP0454031.1,FAILED
CNP0151240.1,FAILED
CNP0017932.1,FAILED
CNP0448457.1,FAILED
CNP0473577.2,FAILED
CNP0001814.1,FAILED
CNP0001816.1,FAILED
CNP0406443.1,FAILED
CNP0243509.3,FAILED
CNP0351194.1,FAILED
CNP0485020.1,FAILED
CNP0489506.1,FAILED
CNP0540246.0,FAILED
CNP0244690.1,FAILED
CNP0305074.3,FAILED
CNP0290440.2,FAILED
CNP0149976.2,FAILED
CNP0226482.3,FAILED
CNP0276040.1,FAILED
CNP0556269.0,FAILED
CNP0105363.0,FAILED
CNP0257266.0,FAILED
CNP0350895.1,FAILED
CNP0239625.1,FAILED
CNP0338473.1,FAILED
CNP0299940.2,FAILED
CNP0291495.1,FAILED
CNP0179874.1,FAILED
CNP0363987.2,FAILED
CNP0601987.1,FAILED
CNP0511601.1,FAILED
CNP0256007.3,FAILED
CNP0122974.1,SKIPPED
CNP0509203.0,SKIPPED
CNP0582259.0,SKIPPED
CNP0225528.1,SKIPPED
CNP0369875.1,SKIPPED
CNP0368637.1,SKIPPED
CNP0017297.1,SKIPPED
CNP0398964.1,SKIPPED
CNP0206347.1,SKIPPED
CNP0258423.1,SKIPPED
CNP0469340.2,SKIPPED
CNP0341958.0,SKIPPED
CNP0283559.3,SKIPPED
CNP0398964.2,SKIPPED
CNP0114518.1,SKIPPED
CNP0227054.3,SKIPPED
CNP0355269.2,SKIPPED
CNP0108425.0,SKIPPED
CNP0080460.1,SKIPPED
CNP0568837.0,SKIPPED
CNP0365841.1,SKIPPED
CNP0589433.0,SKIPPED
CNP0095827.1,SKIPPED
CNP0283559.1,SKIPPED
CNP0553487.0,SKIPPED
CNP0225918.1,SKIPPED
CNP0381378.2,SKIPPED
