identifier,Score,BalabanIndex_div_PathComplexityIndex,Asphericity_x_SSSR_count,Max_EState_div_BalabanIndex,RingCount_x_PMI2,PathComplexityIndex_x_GraphDistanceDistributionEntropy,RingCount_x_partial_charge_max,SSSR_count_x_Largest_ring_size,RingCount_x_TPSA,PMI2_x_Fused_ring_count,TotalPathCount_div_Largest_ring_size,PMI_Ratio2_x_BalabanIndex,SSSR_count_div_AtomInformationContent,Asphericity_x_Fused_ring_count,Eccentricity_x_PathComplexityIndex,RingCount_div_SpherocityIndex,RingCount_div_partial_charge_max,BertzCTIndex_x_PathComplexityIndex,BalabanIndex_div_partial_charge_max,partial_charge_min_x_BalabanIndex,Largest_ring_size_x_BertzCTIndex,SSSR_count_div_FractionCSP3,Max_EState_x_PathComplexityIndex,StereocenterCount_x_SSSR_count,Largest_ring_size_x_Chi3,BalabanIndex_x_PathComplexityIndex,RadiusOfGyration_x_Largest_ring_size,MolarRefractivity_div_TotalPathCount,Max_EState_x_Bridged_ring_count,PMI2_div_Fused_ring_count,RingCount_div_BondInformationContent,BoundingBoxVolume_div_Largest_ring_size,AtomInformationContent_div_BalabanIndex,TopologicalDiameter_div_Largest_ring_size,ZagrebIndex_div_MolWt,TotalPathCount_div_RadiusOfGyration,RingCount_x_HBD,BertzCTIndex_div_RadiusOfGyration,Min_EState_x_SSSR_count,BalabanIndex_div_HeteroatomCount,BalabanIndex_div_Asphericity,RingCount_x_BondInformationContent,ZagrebIndex_div_CovalentRadiusSum,StereocenterCount_x_Fused_ring_count,partial_charge_max_x_BalabanIndex,RingCount_x_DoubleBondCount,MolarRefractivity_div_BertzCTIndex,partial_charge_min_x_PathComplexityIndex,RingCount_div_Fused_ring_count,Fused_ring_count_div_FractionCSP3,Asphericity_x_Largest_ring_size,Chi4_div_FractionCSP3,HBD_x_Fused_ring_count,PMI_Ratio2_x_TotalPathCount,Min_EState_x_Fused_ring_count,AtomInformationContent_x_TotalPathCount,Largest_ring_size_x_PathComplexityIndex,PMI1_div_WienerIndex,SSSR_count_div_DoubleBondCount,RingCount_div_MolarRefractivity,RotatableBonds_x_Bridged_ring_count,HeteroatomCount_x_Largest_ring_size,RingCount_div_SSSR_count,Chi4_div_RadiusOfGyration,Fused_ring_count_div_Bridged_ring_count,BalabanIndex_div_TopologicalRadius,Avg_EState_x_PathComplexityIndex,Max_EState_x_Largest_ring_size,SpherocityIndex_x_WienerIndex,HeteroatomCount_div_Largest_ring_size,BalabanIndex_x_AtomInformationContent,RingCount_x_SpherocityIndex,PMI_Ratio2_x_Largest_ring_size,Chi2_div_Chi4,Chi4_x_AtomInformationContent,FractionCSP3_x_BalabanIndex,DoubleBondCount_x_Fused_ring_count,Chi4_x_PathComplexityIndex,Chi4_div_Bridged_ring_count,Fused_ring_count_div_BondInformationContent,StereocenterCount_x_Asphericity,TotalPathCount_div_FractionCSP3,TPSA_x_PathComplexityIndex,SpherocityIndex_x_BertzCTIndex,Ether_x_SSSR_count,partial_charge_max_div_BertzCTIndex,PMI2_div_RingCount,PMI1_div_Bridged_ring_count,Fused_ring_count_div_DoubleBondCount,StereocenterCount_x_BondInformationContent,RingCount_div_Min_EState,PMI_Ratio2_x_Max_EState,Asphericity_div_Largest_ring_size,PathComplexityIndex_div_Largest_ring_size,WienerIndex_div_RotatableBonds,RingCount_div_RotatableBonds,StereocenterCount_x_AtomInformationContent,HBD_x_WienerIndex,Asphericity_x_BertzCTIndex,Bridged_ring_count_div_Fused_ring_count,RotatableBonds_div_WienerIndex
CNP0000043.1,-7.1,0.6093828139660252,0.4938043088886003,5.416374745640392,15776.525375709414,15.51073179294682,0.23130888,6,116.20000000000002,0.0,21.5,2.1467228204888857,1.3085502525608568,0.0,3.496960741848288,3.0580706875509227,4.323223561499239,3086.507034910982,9.440284999196416,-0.5922888825872452,5168.104802641645,1.5555555555555554,42.3812074284916,1,34.86240224894877,7.824644604327642,35.427294790474186,1.0570178294573649,0.0,0.0,0.8911753063881112,258.2436388677807,0.3499711003029249,3.6666666666666665,0.3197561957697438,21.847561451632934,1,145.87918251187676,-1.1856196032052224,0.2729527187556154,4.422038671472057,1.1221136771091087,4.092976250631627,0,0.5050911013465312,4,0.158304026571175,-0.97194878,0.0,0.0,2.9628258533316014,6.573462672305062,0,126.82015272900128,-0.0,98.582381339612,21.5,0.6124844418836252,0.25,0.0073337816718528,0,48,1.0,0.7156850316438543,0.0,0.1985110681859021,9.02469135802469,70.9638822058464,1869.8063531616071,1.3333333333333333,1.6687335818945706,0.327003559489613,5.898611754837269,2.1997707530054957,3.229373441276824,1.4037568393145938,0,15.142440798702731,0.0,0.0,0.4938043088886003,200.66666666666663,416.3833333333334,281.66477771319694,3,0.0002685420154967,15776.525375709414,0.0,0.0,1.1221136771091087,-0.8434408450202615,11.627455270785914,0.0823007181481,0.5972222222222222,317.6666666666667,0.0555555555555555,0.7642045065086203,5718.0,425.3387367220522,0.0,0.0031479538300104
CNP0000196.0,-8.7,0.3135668123355405,0.6605890333182955,10.191314049230431,40655.907270896576,16.14754258883422,0.8064988500000001,30,544.85,0.0,31.666666666666668,1.155653837609294,5.2833294464339104,0.0,3.876537456351923,11.329573357022849,30.998184312352087,6679.79559116807,8.794287381774394,-0.3859060040124661,8859.518363022915,165.00000000000003,65.39866708808744,0,37.46937695172405,6.417098597116221,27.37416718504698,0.8743978947368405,0.0,0.0,4.459597320098456,289.09619422078504,0.6671567899565165,2.3333333333333335,0.3866519166120699,41.64510256307341,25,323.6452200767733,-14.141443452380951,0.1576129479993457,10.736755081056726,5.605887304517455,5.3175775480058975,0,0.2288063903518479,10,0.1125132946459496,-1.230697857142857,0.0,0.0,0.7927068399819546,135.5964067397311,0,154.7914488082098,-0.0,179.81085783723398,27.142857142857142,0.9217985083647076,2.5,0.0300958975680107,0,54,1.0,0.9006261987018053,0.0,0.2026452188563017,10.438869992441411,86.73928476946334,2463.0230213128516,1.5,1.342445655127155,2.206614425114542,4.888151014996099,2.2473490989476113,3.888629380465318,0.042985349454367,0,18.58825200616804,0.0,0.0,0.0,6270.000000000001,492.9595238095238,651.6513673137846,0,0.0001092382881714,1626.236290835863,0.0,0.0,0.0,-1.767853478620022,11.777631191274663,0.0220196344439431,0.753968253968254,507.3636363636364,0.4545454545454545,0.0,27905.0,195.0833557031665,0.0,0.0019709729439168
CNP0000210.0,-9.0,0.3445662297008239,1.9512757450100644,7.250817857045006,8418.023236011155,14.486636775433356,0.53214642,18,188.46,8418.023236011155,15.0,1.4892147649161007,3.1479079645897943,1.9512757450100644,4.69389615403465,49.0857224757482,16.912638442630133,4023.98695322173,9.201353782847807,-0.4838851721214666,5097.050140747525,22.500000000000004,56.05799021362931,0,18.27676898902789,7.731264433730398,21.192510670102276,0.8250522222222224,35.50339380196523,935.3359151123506,2.932445070733929,37.636798328166,0.5838988353889443,1.6666666666666667,0.4043238872174192,25.48069968707459,3,240.51185912286843,-0.8806079931972783,0.4080389562246599,2.5093672625293992,3.0691111965986426,5.71108622620381,0,0.289515293033986,6,0.0874090283001727,-1.404331389473684,1.0,22.500000000000004,3.902551490020129,16.25353006745156,3,82.1179735401628,-0.8806079931972783,85.77124967984375,28.421052631578945,0.5988100921673999,1.5,0.0404014830037694,6,24,1.0,0.6135575088941783,1.0,0.3264311649797279,11.634349030470911,71.00678760393046,42.17112218370068,0.6666666666666666,1.5554671641532507,0.1833527051465246,5.474531569344186,2.1262709221328335,2.065311978658126,0.2176207766531519,6,10.265387411022036,0.722379114108958,2.932445070733929,0.0,675.0000000000001,297.56842105263155,51.919885087418514,0,0.0002088056445612,935.3359151123506,137.72632119850198,1.5,0.0,-10.220211569194529,10.798025010428743,0.1084042080561146,0.7894736842105262,345.0,1.5,0.0,690.0,552.5416839300434,1.0,0.0028985507246376
CNP0000212.0,-8.9,0.3424088859175527,1.9684855227930815,7.391212259589382,10155.31136368763,14.828502339966215,0.6682158,18,216.15,10155.31136368763,15.666666666666666,1.4898822223800057,2.8462572161078965,1.9684855227930815,4.658903859564797,27.67074574591784,13.468702775360894,4078.4081978298927,7.225158835570025,-0.4784563170924881,5206.4785504211395,22.500000000000004,55.90574212648023,0,19.01514692292473,7.563812289918739,22.46853256196765,0.8041457446808513,35.684516250944824,1128.3679292986255,2.7377377172503308,51.605363650368,0.6549440868654054,1.8333333333333333,0.3951213693564739,25.10177282136705,3,231.72312370920545,-1.449613410178887,0.3218643527624995,2.4526293109776596,3.2873857650028007,5.723542116630673,0,0.3584580766211264,6,0.0871103559935562,-1.397324476,1.0,22.500000000000004,3.936971045586163,16.051650673993475,3,87.023572322755,-1.449613410178887,99.0774826688432,28.200000000000003,0.5956526384052426,1.5,0.0396879469028187,6,30,1.0,0.5715246647184785,1.0,0.2682202939687496,11.789166666666668,71.36903250188965,87.81837765823455,0.8333333333333334,1.6962505230077116,0.3252532505860539,5.554696105707766,2.094195193530949,2.255825732565835,0.2145762351749996,6,10.059034422369244,0.7134066966219321,2.7377377172503308,0.0,705.0000000000001,338.635,94.07911514616896,3,0.0002566862778858,1128.3679292986255,160.82621236941552,1.5,0.0,-6.208551836513,11.012035747399372,0.1093603068218378,0.7833333333333333,405.0,1.5,0.0,810.0,569.3820917353735,1.0,0.0024691358024691
CNP0000225.0,-9.6,0.2420278480986286,3.5716118630482425,12.143317234228434,194048.58200003955,19.401471936402487,0.8680388,24,384.52,97024.29100001976,30.0,1.0188361764767018,3.2756452136371657,1.7858059315241213,4.282756146338539,78.07199920501098,18.432355788704378,5961.200760287895,4.779796507423307,-0.3185467190783011,8345.681064403054,11.272727272727272,53.98201724655853,0,40.819745163282455,4.445409454872769,54.00432821911055,0.9294133333333312,25.19160804839398,24256.072750004943,3.048936209202405,187.120616849243,1.177265941896851,4.5,0.3411538798943397,19.998397084362207,8,154.53726283831008,-1.50665228588383,0.0942965641942708,1.1616740518402395,5.247731963597088,4.8951048951048834,0,0.2250959601751241,16,0.120273755042159,-1.3161573,2.0,5.636363636363636,5.357417794572363,13.106443833717648,4,176.80246198191085,-0.753326142941915,219.80402425833424,25.714285714285715,0.2126238426512816,1.0,0.0239099455809639,26,66,1.0,0.5167000985047198,1.0,0.0740901575812128,9.784580498866214,75.57482414518194,442.10472834650585,1.8333333333333333,1.266635595111033,0.2049390327252316,5.893415399397028,2.086063394230709,5.679093204666069,0.3680607828227992,8,19.93145836463974,2.32533680920797,1.5244681046012023,0.0,507.27272727272725,411.98571428571427,71.26482519883513,12,0.0001560158110467,12128.036375002472,917.3655691189545,0.5,0.0,-10.61957038787759,12.372050900664934,0.1488171609603434,0.7142857142857143,663.7692307692307,0.3076923076923077,0.0,17258.0,1241.9805622849594,1.0,0.0015065476880287
CNP0000263.1,-7.9,0.3144254324573337,1.1326510582383051,4.400691761464351,27313.746514498864,17.26350026014087,0.30516716,24,221.52000000000004,13656.873257249432,27.833333333333332,0.9786715538926376,6.051782056729877,0.5663255291191526,4.417925825398657,45.78670037008496,52.430281161315,5802.4246722466105,19.664743637692947,-0.2278169524771114,7296.462162705318,12.88888888888889,31.501807315381736,4,38.488166678225866,7.158376233308228,28.330510673608806,0.8229999999999995,13.204350371716895,3414.218314312358,3.4820877613486423,131.1941564581575,0.4405656349649188,2.5,0.3818964305273735,35.368229381527165,0,257.54785174071407,-0.2223505480143312,0.2500430820017844,5.2982195393669365,4.594944497838579,5.066815144766144,2,0.1144574058181975,4,0.1130199789447334,-0.7245500171428572,2.0,6.444444444444445,1.6989765873574578,14.914936052980428,0,108.93999292150258,-0.1111752740071656,110.38070996908282,28.628571428571423,1.0916726633846678,4.0,0.0291033970940258,16,36,1.0,0.980308469088084,1.0,0.1875323115013383,10.042721088435377,39.61305111515068,316.4237624221952,1.0,0.9916143561993254,0.3494464521504088,3.914011721730631,1.781170857798991,3.059444781342772,0.4655974630378054,2,22.085860973034073,2.314386628910756,1.7410438806743211,0.2831627645595763,538.1111111111111,264.24171428571435,106.23845066696136,24,6.273598489137908e-05,1707.109157156179,1977.0191933896333,2.0,1.1487361244596448,-71.95844643912795,4.3068318443948455,0.0471937940932627,0.7952380952380952,452.75,0.5,0.6609623351442084,0.0,344.34773291599714,1.0,0.0022087244616234
CNP0000285.1,-8.1,0.3628131989011615,2.1957562582483883,8.681284589646829,74920.29216186528,18.161690044722913,0.5825544300000001,18,399.48000000000013,49946.86144124352,29.666666666666668,1.4838125215388394,3.66691947783696,1.4638375054989257,4.320018865655521,39.84415641649892,15.449200171733308,5581.632681329498,8.111552234058752,-0.4256032837623916,7713.941795545261,7.071428571428572,59.366215286991654,6,45.44039475897837,6.838413678753363,41.56972896415443,0.8800623595505604,27.34848119962537,12486.71536031088,2.4368054833096333,261.5347915446934,0.5193984601519718,3.8333333333333335,0.3619004028803013,25.69177203250317,12,185.56632404789048,-5.210285110593242,0.1968925286719718,2.152069780230031,3.693360041104443,4.730983302411863,4,0.3058683061646912,24,0.1218451765532878,-1.1730645,1.5,4.714285714285714,4.3915125164967765,11.524296413564109,8,167.67943825457573,-3.473523407062161,145.62632291969376,26.04878048780488,0.3975381692858737,0.375,0.019150839030176,30,48,1.0,0.7056714926952606,1.0,0.1312616857813145,10.774241522903033,82.0454435988761,498.44197458717554,1.3333333333333333,1.2886622454318937,0.225880048906575,5.652115896221654,2.2132411105985863,3.9998932164139216,0.6682413094321468,16,21.225829018922216,2.444547724089356,1.624536988873089,1.4638375054989257,419.5714285714286,578.1092682926832,96.80141944667982,3,0.0001510393636458,8324.47690687392,1315.8513403362422,0.25,2.462240027402962,-1.727352689721669,12.88139877716013,0.1219864587915771,0.7235772357723578,441.3333333333333,0.2,1.636250819322402,26480.0,940.9964429629066,1.0,0.0022658610271903
CNP0000292.1,-10.6,0.3645094359381405,1.7463902449786792,7.272125743673569,110400.1828122844,18.76838100135672,0.31231004,12,121.38,0.0,29.5,1.4796077142376138,5.478623662276227,0.0,4.112216302232,26.70017179536514,12.80778549418392,5354.669116438554,9.608545161627877,-0.3621962448163782,7805.110915486706,4.0,44.91379749639348,8,51.01794238997945,6.176157987293676,59.1440193873847,1.040798870056494,0.0,0.0,2.2732010751967224,271.93509827364,0.2433015864422117,4.5,0.3658838917052068,17.95616887388148,6,131.96788105259415,-1.8288302341991505,0.5001408539616348,1.7183130359311212,1.759633163843124,4.302372336147957,0,0.2342985151595884,18,0.1416159759891216,-0.9936539609302326,0.0,0.0,5.239170734936038,13.040672722836817,0,174.54453970024144,-0.0,64.61476856633041,24.697674418604652,0.2583017384874158,0.2222222222222222,0.0108565020133383,0,18,1.0,0.6614704001137789,0.0,0.107173040134636,8.687263385613843,65.46756923203117,721.0440497368612,0.5,0.5477370428694558,0.1498117701510204,5.916764057635303,2.1901880334578423,2.380282626936042,0.7502112809424522,0,26.839524092350196,0.0,0.0,3.4927804899573585,354.0,249.81697674418604,97.4414568728429,0,0.0001200405900883,27600.0457030711,0.0,0.0,3.519266327686248,-2.1871904374719673,10.759893349245356,0.1455325204148899,0.686046511627907,1203.25,0.25,1.4602207585611393,28878.0,1135.897463648549,0.0,0.0008310824849366
CNP0000314.0,-6.1,0.4279930721381138,0.8772781867729694,3.352876421694899,925.4953528486186,9.91311046657539,0.29475692,10,130.28,925.4953528486186,9.4,1.5102018356452669,1.543850950836701,0.8772781867729694,4.551674167082675,2675563.825057263,13.57050412930085,1690.059786692229,13.648992118991712,-0.2667159595833822,1797.9359432896051,0.0,31.69932407407407,0,7.11375145980525,9.454366963530935,10.678801568662688,0.7526042553191491,13.489074074074074,231.37383821215465,2.3098512613710054,17.9141250558744,0.6440061710536957,1.0,0.3848260142385626,22.006214694504266,4,168.36495478722165,1.229166666666667,0.5028918597622838,4.5859283164183084,1.731713234914447,5.842696629213484,0,0.2964617113532053,2,0.098369466754418,-0.6231782170000001,1.0,0.0,2.1931954669324236,0.0,4,35.28566077251649,1.229166666666667,60.886706679201126,23.5,1.4224624115961486,2.0,0.0565412581560764,2,20,1.0,0.432423929287727,1.0,0.670522479683045,11.75,33.722685185185185,8.073064749086189e-05,0.8,2.6059088644003507,1.4950119905715166e-06,3.7537936992038823,2.149148315833534,1.19642879564311,0.0,2,4.340703174340759,0.4617769334405063,2.3098512613710054,0.0,0.0,306.158,0.0002687935793497,0,0.0004098545906211,231.37383821215465,76.81297022619202,2.0,0.0,3.2542372881355925,5.06352012673537,0.0877278186772969,0.94,108.0,2.0,0.0,216.0,157.72899842630534,1.0,0.0092592592592592
CNP0000330.0,-5.778,0.4210424392484154,1.2334367024712352,3.5608324981487445,1137.1562210555028,10.313452864067282,0.3206957,10,131.34,1137.1562210555028,9.2,1.645555206214089,1.543850950836701,1.2334367024712352,4.547695356119491,4077822.083578093,12.472883172427943,1523.0010678264366,12.078710257373023,-0.4153671753684757,1655.4359432896051,0.0,31.724375472411182,0,6.611726609949603,8.90925801449647,11.127081417887004,0.7879434782608695,13.7932067271353,284.2890552638757,2.3098512613710054,4.299077512608,0.6688687737856559,1.2,0.3848260142385625,20.67029002144897,4,148.77539591185692,1.247222222222223,0.4841988051356777,3.1404857933321932,1.731713234914447,5.842696629213483,0,0.3105609495042994,2,0.1094738825350584,-0.986520922,1.0,0.0,3.083591756178088,0.0,4,39.08288221851218,1.247222222222223,59.59124483496281,23.0,0.8984863852956382,2.0,0.0551794158707035,2,20,1.0,0.3852922587524585,1.0,0.6455984068475703,11.5,34.48301681783825,5.4931283270566515e-05,0.8,2.5090443083162275,9.809157726886878e-07,4.248139371577412,2.3083698901997263,1.110775189922764,0.0,2,3.944204066194577,0.4287178332820192,2.3098512613710054,0.0,0.0,302.082,0.0001623843227448,0,0.0004843070209088,284.2890552638757,50.31523757655574,2.0,0.0,3.2071269487750547,5.8595464557849875,0.1233436702471235,0.92,112.0,2.0,0.0,224.0,204.18754510434897,1.0,0.0089285714285714
