OriginalIndex,BaseValue
0,-8.652351370496314
3,-8.652351370496314
8,-8.652351370496314
10,-8.652351370496314
14,-8.652351370496314
19,-8.652351370496314
29,-8.652351370496314
31,-8.652351370496314
33,-8.652351370496314
35,-8.652351370496314
36,-8.652351370496314
39,-8.652351370496314
41,-8.652351370496314
47,-8.652351370496314
50,-8.652351370496314
63,-8.652351370496314
70,-8.652351370496314
73,-8.652351370496314
76,-8.652351370496314
79,-8.652351370496314
80,-8.652351370496314
88,-8.652351370496314
92,-8.652351370496314
93,-8.652351370496314
95,-8.652351370496314
96,-8.652351370496314
101,-8.652351370496314
103,-8.652351370496314
106,-8.652351370496314
107,-8.652351370496314
108,-8.652351370496314
119,-8.652351370496314
123,-8.652351370496314
131,-8.652351370496314
135,-8.652351370496314
144,-8.652351370496314
149,-8.652351370496314
169,-8.652351370496314
173,-8.652351370496314
177,-8.652351370496314
185,-8.652351370496314
200,-8.652351370496314
210,-8.652351370496314
214,-8.652351370496314
216,-8.652351370496314
217,-8.652351370496314
218,-8.652351370496314
245,-8.652351370496314
248,-8.652351370496314
251,-8.652351370496314
259,-8.652351370496314
263,-8.652351370496314
265,-8.652351370496314
267,-8.652351370496314
274,-8.652351370496314
286,-8.652351370496314
288,-8.652351370496314
290,-8.652351370496314
291,-8.652351370496314
293,-8.652351370496314
295,-8.652351370496314
299,-8.652351370496314
303,-8.652351370496314
304,-8.652351370496314
311,-8.652351370496314
315,-8.652351370496314
316,-8.652351370496314
318,-8.652351370496314
321,-8.652351370496314
330,-8.652351370496314
333,-8.652351370496314
335,-8.652351370496314
346,-8.652351370496314
349,-8.652351370496314
360,-8.652351370496314
367,-8.652351370496314
373,-8.652351370496314
379,-8.652351370496314
381,-8.652351370496314
388,-8.652351370496314
398,-8.652351370496314
399,-8.652351370496314
407,-8.652351370496314
408,-8.652351370496314
409,-8.652351370496314
410,-8.652351370496314
415,-8.652351370496314
416,-8.652351370496314
424,-8.652351370496314
426,-8.652351370496314
427,-8.652351370496314
428,-8.652351370496314
431,-8.652351370496314
434,-8.652351370496314
439,-8.652351370496314
440,-8.652351370496314
450,-8.652351370496314
457,-8.652351370496314
461,-8.652351370496314
465,-8.652351370496314
467,-8.652351370496314
468,-8.652351370496314
469,-8.652351370496314
472,-8.652351370496314
483,-8.652351370496314
486,-8.652351370496314
487,-8.652351370496314
496,-8.652351370496314
500,-8.652351370496314
510,-8.652351370496314
518,-8.652351370496314
530,-8.652351370496314
532,-8.652351370496314
533,-8.652351370496314
542,-8.652351370496314
543,-8.652351370496314
549,-8.652351370496314
554,-8.652351370496314
562,-8.652351370496314
563,-8.652351370496314
565,-8.652351370496314
567,-8.652351370496314
568,-8.652351370496314
573,-8.652351370496314
576,-8.652351370496314
577,-8.652351370496314
582,-8.652351370496314
586,-8.652351370496314
590,-8.652351370496314
592,-8.652351370496314
605,-8.652351370496314
608,-8.652351370496314
620,-8.652351370496314
621,-8.652351370496314
623,-8.652351370496314
624,-8.652351370496314
633,-8.652351370496314
637,-8.652351370496314
647,-8.652351370496314
651,-8.652351370496314
655,-8.652351370496314
668,-8.652351370496314
673,-8.652351370496314
676,-8.652351370496314
683,-8.652351370496314
694,-8.652351370496314
700,-8.652351370496314
704,-8.652351370496314
