Fold,MAE,MSE,RMSE,R2
1,0.5154471439991962,0.45449580098056025,0.6741630373882569,0.8509640002997664
2,0.5295897834668369,0.49376576136871136,0.702684681324925,0.830480744673141
3,0.5146732409889749,0.46498259895244387,0.6818963256628121,0.8365099772242188
4,0.5337983715623147,0.4862491837714302,0.6973156987845822,0.8366399395484456
5,0.5266614856163226,0.4771099705819018,0.6907314750189844,0.8356290002676322
