Ligand,Score
minimized_CNP0076437.0.pdbqt,-4.4
minimized_CNP0086282.0.pdbqt,-3.4
minimized_CNP0111850.0.pdbqt,-4.4
minimized_CNP0002939.0.pdbqt,-4.6
minimized_CNP0083057.0.pdbqt,-6.3
minimized_CNP0200264.1.pdbqt,-5.5
minimized_CNP0086283.0.pdbqt,-5.2
minimized_CNP0330731.1.pdbqt,-7.4
minimized_CNP0114182.0.pdbqt,-5.2
minimized_CNP0220937.0.pdbqt,-5.1
minimized_CNP0228062.0.pdbqt,-4.7
minimized_CNP0250471.0.pdbqt,-4.8
minimized_CNP0275959.3.pdbqt,-6.9
minimized_CNP0500595.0.pdbqt,-5.9
minimized_CNP0593519.1.pdbqt,-6.2
minimized_CNP0605067.1.pdbqt,-6.1
minimized_CNP0601843.1.pdbqt,-6.0
minimized_CNP0513362.1.pdbqt,-6.0
minimized_CNP0576245.1.pdbqt,-6.4
minimized_CNP0525288.1.pdbqt,-6.7
minimized_CNP0527165.1.pdbqt,-7.1
minimized_CNP0551219.1.pdbqt,-4.8
minimized_CNP0591509.1.pdbqt,-6.5
minimized_CNP0539134.1.pdbqt,-6.6
minimized_CNP0040904.1.pdbqt,-5.9
minimized_CNP0550574.1.pdbqt,-7.3
minimized_CNP0504055.1.pdbqt,-6.0
minimized_CNP0522504.1.pdbqt,-7.4
minimized_CNP0570318.1.pdbqt,-6.8
minimized_CNP0603482.1.pdbqt,-6.3
minimized_CNP0591136.1.pdbqt,-6.4
minimized_CNP0530655.1.pdbqt,-6.3
minimized_CNP0558975.1.pdbqt,-7.1
minimized_CNP0597579.1.pdbqt,-6.3
minimized_CNP0597900.1.pdbqt,-6.4
