Ligand,Score
minimized_CNP0085532.1.pdbqt,-8.262
minimized_CNP0102179.1.pdbqt,-13.66
minimized_CNP0161512.1.pdbqt,-10.86
minimized_CNP0326442.2.pdbqt,-7.557
minimized_CNP0095038.1.pdbqt,-11.81
minimized_CNP0311660.1.pdbqt,-8.088
minimized_CNP0476790.1.pdbqt,-10.36
minimized_CNP0419758.1.pdbqt,-12.08
minimized_CNP0320867.1.pdbqt,-8.439
minimized_CNP0442835.1.pdbqt,-10.03
minimized_CNP0419781.1.pdbqt,-10.44
minimized_CNP0165920.6.pdbqt,-8.786
minimized_CNP0150449.2.pdbqt,-8.446
minimized_CNP0330318.1.pdbqt,-11.31
minimized_CNP0568295.2.pdbqt,-6.556
minimized_CNP0091020.1.pdbqt,-11.2
minimized_CNP0516371.1.pdbqt,-7.975
minimized_CNP0491664.1.pdbqt,-6.368
minimized_CNP0192212.1.pdbqt,-13.6
minimized_CNP0411216.1.pdbqt,-12.66
minimized_CNP0565983.1.pdbqt,-11.18
minimized_CNP0417258.1.pdbqt,-9.55
minimized_CNP0596200.1.pdbqt,-6.258
minimized_CNP0145285.1.pdbqt,-10.62
minimized_CNP0095082.1.pdbqt,-10.78
minimized_CNP0100098.1.pdbqt,-10.5
minimized_CNP0021809.1.pdbqt,-9.758
minimized_CNP0200999.1.pdbqt,-11.36
minimized_CNP0458085.1.pdbqt,-10.24
minimized_CNP0568295.1.pdbqt,-5.631
minimized_CNP0596200.2.pdbqt,-6.094
minimized_CNP0176607.1.pdbqt,-10.5
minimized_CNP0420378.1.pdbqt,-10.47
minimized_CNP0540121.2.pdbqt,-5.87
minimized_CNP0540121.1.pdbqt,-6.341
minimized_CNP0161512.1.pdbqt,SKIPPED
minimized_CNP0419758.1.pdbqt,SKIPPED
minimized_CNP0100098.1.pdbqt,SKIPPED
minimized_CNP0476790.1.pdbqt,SKIPPED
minimized_CNP0150449.2.pdbqt,SKIPPED
minimized_CNP0165920.6.pdbqt,SKIPPED
minimized_CNP0540121.1.pdbqt,SKIPPED
minimized_CNP0568295.1.pdbqt,SKIPPED
minimized_CNP0326442.2.pdbqt,SKIPPED
minimized_CNP0176607.1.pdbqt,SKIPPED
minimized_CNP0320867.1.pdbqt,SKIPPED
minimized_CNP0192212.1.pdbqt,SKIPPED
minimized_CNP0540121.2.pdbqt,SKIPPED
minimized_CNP0085532.1.pdbqt,SKIPPED
minimized_CNP0565983.1.pdbqt,SKIPPED
minimized_CNP0420378.1.pdbqt,SKIPPED
minimized_CNP0491664.1.pdbqt,SKIPPED
minimized_CNP0516371.1.pdbqt,SKIPPED
minimized_CNP0568295.2.pdbqt,SKIPPED
minimized_CNP0091020.1.pdbqt,SKIPPED
minimized_CNP0145285.1.pdbqt,SKIPPED
minimized_CNP0417258.1.pdbqt,SKIPPED
minimized_CNP0330318.1.pdbqt,SKIPPED
minimized_CNP0458085.1.pdbqt,SKIPPED
minimized_CNP0095082.1.pdbqt,SKIPPED
minimized_CNP0596200.1.pdbqt,SKIPPED
minimized_CNP0102179.1.pdbqt,SKIPPED
minimized_CNP0419781.1.pdbqt,SKIPPED
minimized_CNP0095038.1.pdbqt,SKIPPED
minimized_CNP0200999.1.pdbqt,SKIPPED
minimized_CNP0311660.1.pdbqt,SKIPPED
minimized_CNP0442835.1.pdbqt,SKIPPED
minimized_CNP0596200.2.pdbqt,SKIPPED
minimized_CNP0411216.1.pdbqt,SKIPPED
minimized_CNP0021809.1.pdbqt,SKIPPED
minimized_CNP0161512.1.pdbqt,SKIPPED
minimized_CNP0419758.1.pdbqt,SKIPPED
minimized_CNP0100098.1.pdbqt,SKIPPED
minimized_CNP0150449.2.pdbqt,SKIPPED
minimized_CNP0165920.6.pdbqt,SKIPPED
minimized_CNP0540121.1.pdbqt,SKIPPED
minimized_CNP0568295.1.pdbqt,SKIPPED
minimized_CNP0326442.2.pdbqt,SKIPPED
minimized_CNP0176607.1.pdbqt,SKIPPED
minimized_CNP0320867.1.pdbqt,SKIPPED
minimized_CNP0192212.1.pdbqt,SKIPPED
minimized_CNP0540121.2.pdbqt,SKIPPED
minimized_CNP0085532.1.pdbqt,SKIPPED
minimized_CNP0565983.1.pdbqt,SKIPPED
minimized_CNP0420378.1.pdbqt,SKIPPED
minimized_CNP0491664.1.pdbqt,SKIPPED
minimized_CNP0516371.1.pdbqt,SKIPPED
minimized_CNP0417258.1.pdbqt,SKIPPED
minimized_CNP0091020.1.pdbqt,SKIPPED
minimized_CNP0145285.1.pdbqt,SKIPPED
minimized_CNP0568295.2.pdbqt,SKIPPED
minimized_CNP0330318.1.pdbqt,SKIPPED
minimized_CNP0458085.1.pdbqt,SKIPPED
minimized_CNP0095082.1.pdbqt,SKIPPED
minimized_CNP0476790.1.pdbqt,SKIPPED
minimized_CNP0596200.1.pdbqt,SKIPPED
minimized_CNP0102179.1.pdbqt,SKIPPED
minimized_CNP0419781.1.pdbqt,SKIPPED
minimized_CNP0095038.1.pdbqt,SKIPPED
minimized_CNP0200999.1.pdbqt,SKIPPED
minimized_CNP0311660.1.pdbqt,SKIPPED
minimized_CNP0442835.1.pdbqt,SKIPPED
minimized_CNP0596200.2.pdbqt,SKIPPED
minimized_CNP0411216.1.pdbqt,SKIPPED
minimized_CNP0021809.1.pdbqt,SKIPPED
