Ligand,Score
minimized_CNP0581344.1.pdbqt,FAILED
minimized_CNP0473502.1.pdbqt,FAILED
minimized_CNP0085741.7.pdbqt,FAILED
minimized_CNP0349587.0.pdbqt,-5.8
minimized_CNP0001201.0.pdbqt,-5.0
minimized_CNP0001199.0.pdbqt,-5.1
minimized_CNP0442147.0.pdbqt,-6.3
minimized_CNP0438371.0.pdbqt,-6.2
minimized_CNP0156384.3.pdbqt,-6.0
minimized_CNP0426156.2.pdbqt,FAILED
minimized_CNP0220661.1.pdbqt,-6.6
minimized_CNP0296057.0.pdbqt,-5.1
minimized_CNP0166394.0.pdbqt,-5.8
minimized_CNP0208536.1.pdbqt,-6.1
minimized_CNP0468974.1.pdbqt,-6.1
minimized_CNP0180716.0.pdbqt,-5.3
minimized_CNP0469452.0.pdbqt,-5.8
minimized_CNP0363530.0.pdbqt,-5.8
minimized_CNP0211549.6.pdbqt,-9.9
minimized_CNP0211549.4.pdbqt,-10.6
minimized_CNP0373921.8.pdbqt,-10.3
minimized_CNP0426266.2.pdbqt,-10.4
minimized_CNP0176255.1.pdbqt,-11.0
minimized_CNP0154969.7.pdbqt,-8.5
minimized_CNP0208467.2.pdbqt,-9.8
minimized_CNP0250788.1.pdbqt,-9.5
minimized_CNP0263713.14.pdbqt,-9.1
minimized_CNP0535164.1.pdbqt,-8.4
minimized_CNP0578873.1.pdbqt,-6.2
minimized_CNP0537058.1.pdbqt,-6.1
minimized_CNP0451871.1.pdbqt,-4.9
minimized_CNP0496498.1.pdbqt,-6.8
minimized_CNP0556180.1.pdbqt,-7.4
minimized_CNP0449835.2.pdbqt,-4.2
minimized_CNP0540604.1.pdbqt,-6.1
