Ligand,Score
minimized_CNP0295396.2.pdbqt,FAILED
minimized_CNP0427360.1.pdbqt,-7.9
minimized_CNP0330404.1.pdbqt,-8.9
minimized_CNP0180503.1.pdbqt,-10.9
minimized_CNP0505749.1.pdbqt,-8.1
minimized_CNP0446585.7.pdbqt,-9.8
minimized_CNP0068165.5.pdbqt,-10.6
minimized_CNP0302519.5.pdbqt,-9.8
minimized_CNP0136530.1.pdbqt,-7.0
minimized_CNP0325431.3.pdbqt,-9.5
minimized_CNP0210741.2.pdbqt,-7.8
minimized_CNP0371190.1.pdbqt,-9.0
minimized_CNP0070285.4.pdbqt,-10.2
minimized_CNP0419244.2.pdbqt,-8.0
minimized_CNP0160469.2.pdbqt,-7.8
minimized_CNP0345901.4.pdbqt,-9.6
minimized_CNP0470334.1.pdbqt,-9.4
minimized_CNP0370705.6.pdbqt,-10.6
minimized_CNP0325431.1.pdbqt,-9.0
minimized_CNP0070285.1.pdbqt,-9.1
minimized_CNP0070285.2.pdbqt,-9.6
minimized_CNP0383070.1.pdbqt,-8.5
minimized_CNP0163544.3.pdbqt,-9.8
minimized_CNP0587424.1.pdbqt,-9.1
minimized_CNP0322960.1.pdbqt,-10.5
minimized_CNP0136765.1.pdbqt,-8.9
minimized_CNP0404767.0.pdbqt,-10.8
minimized_CNP0294488.1.pdbqt,-8.9
minimized_CNP0261187.1.pdbqt,-9.9
minimized_CNP0252611.1.pdbqt,-11.3
minimized_CNP0129159.2.pdbqt,-9.8
minimized_CNP0358594.0.pdbqt,-11.4
minimized_CNP0232462.2.pdbqt,-11.0
minimized_CNP0249881.1.pdbqt,-8.6
minimized_CNP0099459.2.pdbqt,-11.2
