Ligand,Score
minimized_CNP0194094.4.pdbqt,FAILED
minimized_CNP0189411.5.pdbqt,FAILED
minimized_CNP0602983.3.pdbqt,FAILED
minimized_CNP0207980.2.pdbqt,-7.0
minimized_CNP0513413.1.pdbqt,FAILED
minimized_CNP0189411.3.pdbqt,-7.2
minimized_CNP0493145.1.pdbqt,-7.3
minimized_CNP0497041.1.pdbqt,-7.8
minimized_CNP0207980.1.pdbqt,-6.9
minimized_CNP0048216.0.pdbqt,-7.5
minimized_CNP0465496.1.pdbqt,-8.5
minimized_CNP0470946.5.pdbqt,-7.9
minimized_CNP0560473.0.pdbqt,-7.2
minimized_CNP0572401.0.pdbqt,-7.1
minimized_CNP0497922.0.pdbqt,-6.8
minimized_CNP0506799.0.pdbqt,-7.8
minimized_CNP0496153.0.pdbqt,-7.9
minimized_CNP0052604.0.pdbqt,-7.2
minimized_CNP0229482.1.pdbqt,-8.5
minimized_CNP0290577.1.pdbqt,-7.0
minimized_CNP0280502.1.pdbqt,-9.3
minimized_CNP0335363.1.pdbqt,-10.3
minimized_CNP0142956.1.pdbqt,-11.1
minimized_CNP0202576.2.pdbqt,-9.5
minimized_CNP0222584.8.pdbqt,-9.8
minimized_CNP0596191.1.pdbqt,-7.0
minimized_CNP0106812.2.pdbqt,-10.2
minimized_CNP0261223.1.pdbqt,-9.0
minimized_CNP0521580.1.pdbqt,-9.9
minimized_CNP0486836.1.pdbqt,-6.4
minimized_CNP0514348.1.pdbqt,-6.3
minimized_CNP0484213.1.pdbqt,-6.3
minimized_CNP0564570.1.pdbqt,-6.5
minimized_CNP0586171.1.pdbqt,-6.8
minimized_CNP0541221.1.pdbqt,-6.6
