Ligand,Score
minimized_CNP0500409.1.pdbqt,-9.2
minimized_CNP0229232.2.pdbqt,-6.8
minimized_CNP0458293.3.pdbqt,-8.3
minimized_CNP0221368.3.pdbqt,-8.5
minimized_CNP0271057.2.pdbqt,-10.4
minimized_CNP0523307.1.pdbqt,-6.6
minimized_CNP0209964.0.pdbqt,-5.6
minimized_CNP0451557.4.pdbqt,-7.6
minimized_CNP0221368.2.pdbqt,-9.1
minimized_CNP0083989.0.pdbqt,-6.0
minimized_CNP0133830.2.pdbqt,-5.5
minimized_CNP0482681.3.pdbqt,-6.1
minimized_CNP0174943.1.pdbqt,-5.9
minimized_CNP0102012.1.pdbqt,-7.2
minimized_CNP0158018.5.pdbqt,-10.3
minimized_CNP0192579.4.pdbqt,-10.9
minimized_CNP0194530.11.pdbqt,-9.7
minimized_CNP0225329.12.pdbqt,-11.3
minimized_CNP0194530.3.pdbqt,-10.2
minimized_CNP0137226.6.pdbqt,-8.4
minimized_CNP0300653.1.pdbqt,-10.7
minimized_CNP0164573.1.pdbqt,-10.2
minimized_CNP0423886.1.pdbqt,-8.6
minimized_CNP0191553.1.pdbqt,-10.1
minimized_CNP0136631.2.pdbqt,-9.6
minimized_CNP0196355.1.pdbqt,-8.6
minimized_CNP0218462.5.pdbqt,-9.9
minimized_CNP0412075.1.pdbqt,-10.3
minimized_CNP0237198.1.pdbqt,-10.9
minimized_CNP0129069.0.pdbqt,-10.7
minimized_CNP0287843.1.pdbqt,-12.0
minimized_CNP0223943.1.pdbqt,-7.6
minimized_CNP0094027.1.pdbqt,-11.3
minimized_CNP0223943.2.pdbqt,-7.9
minimized_CNP0260597.5.pdbqt,-9.0
