Ligand,Score
minimized_CNP0155756.2.pdbqt,FAILED
minimized_CNP0313597.0.pdbqt,-8.8
minimized_CNP0272527.0.pdbqt,-8.6
minimized_CNP0337006.2.pdbqt,-10.4
minimized_CNP0352324.0.pdbqt,-10.9
minimized_CNP0196918.1.pdbqt,-9.4
minimized_CNP0359076.1.pdbqt,-10.1
minimized_CNP0322617.2.pdbqt,-10.2
minimized_CNP0358979.1.pdbqt,-10.4
minimized_CNP0114008.0.pdbqt,-9.4
minimized_CNP0384011.0.pdbqt,-9.3
minimized_CNP0296970.0.pdbqt,-7.9
minimized_CNP0330878.0.pdbqt,-10.7
minimized_CNP0104630.0.pdbqt,-11.3
minimized_CNP0242759.1.pdbqt,-9.3
minimized_CNP0150138.4.pdbqt,-9.3
minimized_CNP0286153.2.pdbqt,-9.8
minimized_CNP0499705.1.pdbqt,-8.8
minimized_CNP0133353.4.pdbqt,-9.7
minimized_CNP0160284.7.pdbqt,-9.8
minimized_CNP0253564.3.pdbqt,-9.3
minimized_CNP0289184.0.pdbqt,-10.4
minimized_CNP0133353.5.pdbqt,-9.8
minimized_CNP0318762.2.pdbqt,-9.1
minimized_CNP0232988.2.pdbqt,-10.0
minimized_CNP0174784.0.pdbqt,-9.8
minimized_CNP0143258.1.pdbqt,-8.6
minimized_CNP0215846.1.pdbqt,-8.6
minimized_CNP0485528.1.pdbqt,-8.2
minimized_CNP0087296.1.pdbqt,-10.0
minimized_CNP0237069.2.pdbqt,-8.3
minimized_CNP0219727.0.pdbqt,-7.8
minimized_CNP0108919.2.pdbqt,-8.7
minimized_CNP0174690.1.pdbqt,-7.7
minimized_CNP0302493.1.pdbqt,-9.1
