Ligand,Score
minimized_CNP0461061.1.pdbqt,-8.9
minimized_CNP0386973.2.pdbqt,-10.3
minimized_CNP0257407.1.pdbqt,-9.9
minimized_CNP0202938.1.pdbqt,-11.2
minimized_CNP0274465.1.pdbqt,-8.7
minimized_CNP0070934.2.pdbqt,-7.0
minimized_CNP0128012.1.pdbqt,-8.5
minimized_CNP0322076.1.pdbqt,-11.6
minimized_CNP0481634.1.pdbqt,-8.4
minimized_CNP0595398.1.pdbqt,-9.1
minimized_CNP0586122.1.pdbqt,-9.2
minimized_CNP0345956.1.pdbqt,-10.6
minimized_CNP0443425.1.pdbqt,-9.7
minimized_CNP0494949.1.pdbqt,-9.1
minimized_CNP0588019.1.pdbqt,-8.6
minimized_CNP0070596.1.pdbqt,-8.5
minimized_CNP0441077.1.pdbqt,-10.6
minimized_CNP0025598.1.pdbqt,-10.7
minimized_CNP0023342.1.pdbqt,-9.2
minimized_CNP0104320.1.pdbqt,-9.1
minimized_CNP0012029.1.pdbqt,-12.5
minimized_CNP0052751.1.pdbqt,-10.4
minimized_CNP0460642.1.pdbqt,-8.9
minimized_CNP0054534.1.pdbqt,-7.9
minimized_CNP0012825.1.pdbqt,-9.3
minimized_CNP0582065.1.pdbqt,-9.2
minimized_CNP0583282.1.pdbqt,-7.8
minimized_CNP0468152.1.pdbqt,-7.8
minimized_CNP0474475.1.pdbqt,-8.0
minimized_CNP0034524.1.pdbqt,-10.0
minimized_CNP0350271.2.pdbqt,-8.6
minimized_CNP0377758.2.pdbqt,-9.0
minimized_CNP0019696.1.pdbqt,-9.2
minimized_CNP0024290.1.pdbqt,-8.6
minimized_CNP0029939.1.pdbqt,-10.0
