Ligand,Score
minimized_CNP0516814.1.pdbqt,FAILED
minimized_CNP0269098.7.pdbqt,-8.3
minimized_CNP0269098.6.pdbqt,-8.1
minimized_CNP0270683.3.pdbqt,-8.0
minimized_CNP0417309.3.pdbqt,-8.1
minimized_CNP0213039.1.pdbqt,-8.6
minimized_CNP0372921.1.pdbqt,-9.4
minimized_CNP0147069.2.pdbqt,-8.7
minimized_CNP0207414.1.pdbqt,-10.0
minimized_CNP0255572.2.pdbqt,-9.6
minimized_CNP0107431.6.pdbqt,-10.9
minimized_CNP0346170.3.pdbqt,-12.1
minimized_CNP0164064.1.pdbqt,-9.5
minimized_CNP0571995.2.pdbqt,-9.4
minimized_CNP0274307.1.pdbqt,-10.7
minimized_CNP0324030.1.pdbqt,-11.1
minimized_CNP0124460.1.pdbqt,-7.8
minimized_CNP0170218.2.pdbqt,-9.3
minimized_CNP0358304.2.pdbqt,-10.6
minimized_CNP0417372.1.pdbqt,-11.0
minimized_CNP0264357.5.pdbqt,-8.9
minimized_CNP0417372.2.pdbqt,-9.2
minimized_CNP0151843.1.pdbqt,-9.9
minimized_CNP0130317.0.pdbqt,-10.9
minimized_CNP0244865.1.pdbqt,-7.7
minimized_CNP0602637.1.pdbqt,-10.9
minimized_CNP0417335.1.pdbqt,-9.4
minimized_CNP0478818.1.pdbqt,-10.3
minimized_CNP0511819.1.pdbqt,-10.4
minimized_CNP0240067.1.pdbqt,-10.2
minimized_CNP0235766.1.pdbqt,-11.6
minimized_CNP0421368.1.pdbqt,-9.9
minimized_CNP0541894.1.pdbqt,-9.1
minimized_CNP0571797.1.pdbqt,-10.6
minimized_CNP0564431.1.pdbqt,-9.2
