Ligand,Score
minimized_CNP0581777.1.pdbqt,-8.2
minimized_CNP0498747.1.pdbqt,-9.8
minimized_CNP0236868.1.pdbqt,-7.9
minimized_CNP0196830.1.pdbqt,-8.0
minimized_CNP0403510.1.pdbqt,-8.1
minimized_CNP0158373.1.pdbqt,-7.8
minimized_CNP0253431.3.pdbqt,-8.4
minimized_CNP0516331.1.pdbqt,FAILED
minimized_CNP0081983.0.pdbqt,-10.9
minimized_CNP0155619.1.pdbqt,-7.3
minimized_CNP0241341.1.pdbqt,-7.5
minimized_CNP0312996.3.pdbqt,-9.5
minimized_CNP0305281.1.pdbqt,-8.7
minimized_CNP0197521.1.pdbqt,-7.9
minimized_CNP0253431.1.pdbqt,-8.1
minimized_CNP0269439.3.pdbqt,-8.5
minimized_CNP0161510.1.pdbqt,-7.6
minimized_CNP0114505.2.pdbqt,-7.8
minimized_CNP0497776.1.pdbqt,-8.3
minimized_CNP0224405.1.pdbqt,-8.1
minimized_CNP0172894.1.pdbqt,-9.0
minimized_CNP0260194.1.pdbqt,-8.4
minimized_CNP0081262.2.pdbqt,-9.2
minimized_CNP0320707.0.pdbqt,-7.9
minimized_CNP0350737.1.pdbqt,-10.9
minimized_CNP0118735.1.pdbqt,-7.5
minimized_CNP0280019.0.pdbqt,-8.9
minimized_CNP0348085.1.pdbqt,-7.9
minimized_CNP0289532.1.pdbqt,-8.9
minimized_CNP0106814.1.pdbqt,-9.3
minimized_CNP0147645.1.pdbqt,-7.7
minimized_CNP0207124.1.pdbqt,-8.6
minimized_CNP0169937.0.pdbqt,-8.1
minimized_CNP0154149.2.pdbqt,-8.0
minimized_CNP0126223.1.pdbqt,-7.8
