Ligand,Score
minimized_CNP0349204.1.pdbqt,FAILED
minimized_CNP0232898.2.pdbqt,-7.8
minimized_CNP0276082.2.pdbqt,-8.2
minimized_CNP0478367.0.pdbqt,-9.1
minimized_CNP0045911.2.pdbqt,-9.6
minimized_CNP0271253.4.pdbqt,-8.4
minimized_CNP0123934.2.pdbqt,-10.2
minimized_CNP0004453.1.pdbqt,-9.6
minimized_CNP0055844.6.pdbqt,-11.2
minimized_CNP0207835.1.pdbqt,-8.6
minimized_CNP0432943.1.pdbqt,-9.2
minimized_CNP0286724.1.pdbqt,-9.6
minimized_CNP0232898.10.pdbqt,-7.8
minimized_CNP0334401.4.pdbqt,-10.9
minimized_CNP0332159.1.pdbqt,-8.9
minimized_CNP0253355.2.pdbqt,-9.0
minimized_CNP0358375.1.pdbqt,-9.3
minimized_CNP0232898.4.pdbqt,-8.3
minimized_CNP0369951.4.pdbqt,-9.2
minimized_CNP0405924.1.pdbqt,-9.4
minimized_CNP0531959.1.pdbqt,-9.0
minimized_CNP0393066.3.pdbqt,-10.7
minimized_CNP0495197.7.pdbqt,-8.6
minimized_CNP0369634.2.pdbqt,-11.7
minimized_CNP0521514.0.pdbqt,-9.1
minimized_CNP0511214.7.pdbqt,-8.6
minimized_CNP0247374.1.pdbqt,-10.7
minimized_CNP0185221.1.pdbqt,-8.9
minimized_CNP0568089.1.pdbqt,-9.8
minimized_CNP0392826.1.pdbqt,-7.7
minimized_CNP0247374.3.pdbqt,-10.3
minimized_CNP0335440.0.pdbqt,-8.3
minimized_CNP0369629.3.pdbqt,-9.6
minimized_CNP0379404.1.pdbqt,-7.5
minimized_CNP0418816.1.pdbqt,-9.7
