Ligand,Score
minimized_CNP0074685.3.pdbqt,FAILED
minimized_CNP0023985.1.pdbqt,-9.1
minimized_CNP0446180.1.pdbqt,-8.3
minimized_CNP0474629.1.pdbqt,-10.1
minimized_CNP0551936.1.pdbqt,-9.0
minimized_CNP0387979.4.pdbqt,-9.3
minimized_CNP0349660.1.pdbqt,-9.9
minimized_CNP0391107.2.pdbqt,-8.1
minimized_CNP0592871.1.pdbqt,-9.5
minimized_CNP0453751.3.pdbqt,-8.0
minimized_CNP0235558.1.pdbqt,-9.0
minimized_CNP0521003.1.pdbqt,-8.3
minimized_CNP0190385.1.pdbqt,-10.0
minimized_CNP0500562.1.pdbqt,-8.2
minimized_CNP0573943.1.pdbqt,-8.3
minimized_CNP0391107.5.pdbqt,-7.8
minimized_CNP0387789.1.pdbqt,-8.2
minimized_CNP0190385.2.pdbqt,-9.8
minimized_CNP0439784.1.pdbqt,-9.0
minimized_CNP0347734.0.pdbqt,-8.4
minimized_CNP0564467.2.pdbqt,-8.0
minimized_CNP0429159.1.pdbqt,-11.4
minimized_CNP0603695.1.pdbqt,-9.2
minimized_CNP0498185.3.pdbqt,-8.2
minimized_CNP0333436.2.pdbqt,-6.9
minimized_CNP0459454.1.pdbqt,-8.9
minimized_CNP0587168.1.pdbqt,-8.8
minimized_CNP0281505.1.pdbqt,-10.8
minimized_CNP0107065.1.pdbqt,-8.5
minimized_CNP0368707.2.pdbqt,-8.9
minimized_CNP0001631.1.pdbqt,-10.3
minimized_CNP0284774.1.pdbqt,-7.0
minimized_CNP0447182.0.pdbqt,-8.7
minimized_CNP0307575.1.pdbqt,-8.8
minimized_CNP0157654.2.pdbqt,-8.7
