Ligand,Score
minimized_CNP0021797.0.pdbqt,-9.6
minimized_CNP0421728.1.pdbqt,-10.1
minimized_CNP0161730.5.pdbqt,-9.7
minimized_CNP0176601.2.pdbqt,-10.1
minimized_CNP0561685.1.pdbqt,-6.7
minimized_CNP0549432.2.pdbqt,-6.3
minimized_CNP0180933.7.pdbqt,-9.5
minimized_CNP0339541.1.pdbqt,-9.7
minimized_CNP0428678.1.pdbqt,-12.9
minimized_CNP0543482.2.pdbqt,-5.9
minimized_CNP0591812.2.pdbqt,-6.7
minimized_CNP0545198.1.pdbqt,-6.7
minimized_CNP0515074.1.pdbqt,-6.7
minimized_CNP0544478.2.pdbqt,-5.9
minimized_CNP0585208.2.pdbqt,-6.0
minimized_CNP0586015.2.pdbqt,-6.8
minimized_CNP0577548.1.pdbqt,-7.3
minimized_CNP0555663.2.pdbqt,-7.3
minimized_CNP0525719.1.pdbqt,-6.4
minimized_CNP0495180.2.pdbqt,-6.2
minimized_CNP0602648.2.pdbqt,-5.8
minimized_CNP0534466.1.pdbqt,-6.2
minimized_CNP0534466.2.pdbqt,-4.4
minimized_CNP0523138.1.pdbqt,-5.4
minimized_CNP0496580.1.pdbqt,-5.6
minimized_CNP0491320.1.pdbqt,-6.3
minimized_CNP0549275.1.pdbqt,-6.1
minimized_CNP0528953.2.pdbqt,-6.8
minimized_CNP0554593.1.pdbqt,-4.9
minimized_CNP0579642.1.pdbqt,-5.9
minimized_CNP0516040.2.pdbqt,-4.7
minimized_CNP0579642.2.pdbqt,-7.2
minimized_CNP0570554.1.pdbqt,-6.2
minimized_CNP0531992.2.pdbqt,-5.3
minimized_CNP0584379.2.pdbqt,-4.5
