Ligand,Score
minimized_CNP0592000.2.pdbqt,-5.715
minimized_CNP0093942.1.pdbqt,-9.596
minimized_CNP0538136.2.pdbqt,-6.446
minimized_CNP0500449.1.pdbqt,-6.04
minimized_CNP0490759.2.pdbqt,-5.511
minimized_CNP0515994.1.pdbqt,-6.467
minimized_CNP0505199.1.pdbqt,-6.653
minimized_CNP0172403.1.pdbqt,-9.133
minimized_CNP0523285.1.pdbqt,FAILED
minimized_CNP0596952.1.pdbqt,-6.3
minimized_CNP0487853.1.pdbqt,-5.893
minimized_CNP0507967.1.pdbqt,-5.824
minimized_CNP0545575.2.pdbqt,-6.115
minimized_CNP0514990.2.pdbqt,-6.735
minimized_CNP0516203.1.pdbqt,-6.278
minimized_CNP0323143.0.pdbqt,-10.32
minimized_CNP0504537.1.pdbqt,-6.693
minimized_CNP0527679.1.pdbqt,-6.021
minimized_CNP0600587.2.pdbqt,-5.918
minimized_CNP0514378.2.pdbqt,-5.863
minimized_CNP0574192.1.pdbqt,-6.458
minimized_CNP0493334.2.pdbqt,-6.086
minimized_CNP0201957.17.pdbqt,-9.443
minimized_CNP0597021.1.pdbqt,-5.909
minimized_CNP0483779.1.pdbqt,-6.98
minimized_CNP0238564.23.pdbqt,-9.739
minimized_CNP0201957.19.pdbqt,-9.473
minimized_CNP0587612.2.pdbqt,-5.943
minimized_CNP0092861.1.pdbqt,-9.166
minimized_CNP0573873.1.pdbqt,-7.049
minimized_CNP0543634.1.pdbqt,-6.148
minimized_CNP0562636.1.pdbqt,-6.281
minimized_CNP0483213.2.pdbqt,-5.862
minimized_CNP0535866.1.pdbqt,-5.65
minimized_CNP0521926.1.pdbqt,-6.135
