Ligand,Score
minimized_CNP0527994.1.pdbqt,FAILED
minimized_CNP0529118.1.pdbqt,-6.9
minimized_CNP0160750.1.pdbqt,-9.2
minimized_CNP0132068.1.pdbqt,-9.6
minimized_CNP0170168.1.pdbqt,-9.6
minimized_CNP0013332.2.pdbqt,-9.2
minimized_CNP0576803.2.pdbqt,-10.0
minimized_CNP0256916.2.pdbqt,-9.8
minimized_CNP0472271.1.pdbqt,-10.6
minimized_CNP0366108.1.pdbqt,-9.7
minimized_CNP0011219.1.pdbqt,-10.1
minimized_CNP0004002.1.pdbqt,-9.0
minimized_CNP0217931.2.pdbqt,-10.3
minimized_CNP0330693.6.pdbqt,-9.4
minimized_CNP0366108.5.pdbqt,-9.9
minimized_CNP0568591.2.pdbqt,-6.4
minimized_CNP0551711.1.pdbqt,-6.3
minimized_CNP0482865.2.pdbqt,-6.4
minimized_CNP0564699.1.pdbqt,-6.5
minimized_CNP0486659.1.pdbqt,-5.9
minimized_CNP0594153.1.pdbqt,-5.7
minimized_CNP0583924.2.pdbqt,-6.0
minimized_CNP0534618.2.pdbqt,-6.2
minimized_CNP0538572.2.pdbqt,-6.0
minimized_CNP0587643.2.pdbqt,-6.4
minimized_CNP0538572.1.pdbqt,-6.6
minimized_CNP0481743.2.pdbqt,-6.6
minimized_CNP0590144.2.pdbqt,-6.8
minimized_CNP0507097.1.pdbqt,-6.6
minimized_CNP0600678.2.pdbqt,-6.6
minimized_CNP0550321.2.pdbqt,-5.9
minimized_CNP0582791.2.pdbqt,-5.9
minimized_CNP0486659.2.pdbqt,-6.6
minimized_CNP0558175.1.pdbqt,-6.6
minimized_CNP0517906.1.pdbqt,-5.9
