Ligand,Score
minimized_CNP0181701.0.pdbqt,FAILED
minimized_CNP0555957.1.pdbqt,FAILED
minimized_CNP0100207.0.pdbqt,-3.9
minimized_CNP0185981.0.pdbqt,-4.5
minimized_CNP0546202.1.pdbqt,-5.2
minimized_CNP0264783.0.pdbqt,-4.2
minimized_CNP0152507.3.pdbqt,-4.6
minimized_CNP0441591.1.pdbqt,-5.5
minimized_CNP0441591.2.pdbqt,-5.4
minimized_CNP0250787.0.pdbqt,-5.1
minimized_CNP0094712.0.pdbqt,-6.3
minimized_CNP0561979.0.pdbqt,-5.8
minimized_CNP0231857.0.pdbqt,-5.9
minimized_CNP0208001.0.pdbqt,-6.9
minimized_CNP0433243.0.pdbqt,-5.9
minimized_CNP0203473.1.pdbqt,-11.2
minimized_CNP0308977.1.pdbqt,-11.0
minimized_CNP0274246.1.pdbqt,-12.1
minimized_CNP0157674.0.pdbqt,-10.8
minimized_CNP0256283.7.pdbqt,-8.3
minimized_CNP0170296.5.pdbqt,-8.7
minimized_CNP0218060.5.pdbqt,-12.0
minimized_CNP0430806.1.pdbqt,-9.9
minimized_CNP0336100.2.pdbqt,-8.9
minimized_CNP0509292.1.pdbqt,-8.7
minimized_CNP0357127.1.pdbqt,-8.7
minimized_CNP0316172.1.pdbqt,-8.8
minimized_CNP0416522.2.pdbqt,-7.6
minimized_CNP0559425.1.pdbqt,-6.1
minimized_CNP0597574.1.pdbqt,-7.5
minimized_CNP0554572.1.pdbqt,-6.2
minimized_CNP0588790.1.pdbqt,-6.2
minimized_CNP0591582.1.pdbqt,-4.9
minimized_CNP0543391.1.pdbqt,-6.1
minimized_CNP0530823.1.pdbqt,-6.9
