Ligand,Score
minimized_CNP0125150.8.pdbqt,-7.5
minimized_CNP0235511.2.pdbqt,-7.3
minimized_CNP0164002.0.pdbqt,-7.4
minimized_CNP0143945.0.pdbqt,-7.9
minimized_CNP0324587.3.pdbqt,-7.2
minimized_CNP0132900.1.pdbqt,-6.6
minimized_CNP0270093.0.pdbqt,-8.8
minimized_CNP0515317.0.pdbqt,-8.1
minimized_CNP0230380.0.pdbqt,-9.3
minimized_CNP0150441.0.pdbqt,-10.0
minimized_CNP0171453.0.pdbqt,-8.5
minimized_CNP0103410.0.pdbqt,-7.8
minimized_CNP0043055.0.pdbqt,-9.7
minimized_CNP0178067.2.pdbqt,-6.6
minimized_CNP0167794.2.pdbqt,-7.6
minimized_CNP0204805.0.pdbqt,-8.9
minimized_CNP0101845.0.pdbqt,-8.3
minimized_CNP0229243.0.pdbqt,-7.7
minimized_CNP0383651.0.pdbqt,-9.6
minimized_CNP0149243.0.pdbqt,-10.2
minimized_CNP0210258.0.pdbqt,-8.7
minimized_CNP0147046.0.pdbqt,-8.9
minimized_CNP0311987.0.pdbqt,-8.3
minimized_CNP0147332.0.pdbqt,-7.7
minimized_CNP0382414.0.pdbqt,-9.5
minimized_CNP0423823.0.pdbqt,-7.8
minimized_CNP0211792.0.pdbqt,-8.9
minimized_CNP0200492.0.pdbqt,-9.3
minimized_CNP0169201.0.pdbqt,-9.2
minimized_CNP0238478.0.pdbqt,-8.0
minimized_CNP0347235.0.pdbqt,-11.1
minimized_CNP0162726.0.pdbqt,-7.2
minimized_CNP0318928.0.pdbqt,-9.5
minimized_CNP0311325.0.pdbqt,-9.6
minimized_CNP0117298.0.pdbqt,-7.8
