Ligand,Score
minimized_CNP0290780.0.pdbqt,-5.727
minimized_CNP0436519.0.pdbqt,-5.598
minimized_CNP0597959.1.pdbqt,-6.051
minimized_CNP0296345.1.pdbqt,-6.758
minimized_CNP0488155.1.pdbqt,-4.866
minimized_CNP0251903.0.pdbqt,-4.958
minimized_CNP0137646.0.pdbqt,-6.248
minimized_CNP0427378.0.pdbqt,-5.213
minimized_CNP0568898.1.pdbqt,-5.915
minimized_CNP0323339.1.pdbqt,-5.976
minimized_CNP0314036.1.pdbqt,-6.228
minimized_CNP0505762.1.pdbqt,-5.389
minimized_CNP0585516.1.pdbqt,-7.205
minimized_CNP0529069.1.pdbqt,-4.92
minimized_CNP0425926.1.pdbqt,-6.507
minimized_CNP0598644.2.pdbqt,-5.94
minimized_CNP0272407.1.pdbqt,-6.103
minimized_CNP0537041.0.pdbqt,-6.33
minimized_CNP0578964.1.pdbqt,-5.186
minimized_CNP0580941.1.pdbqt,-7.761
minimized_CNP0140972.0.pdbqt,-5.028
minimized_CNP0584522.1.pdbqt,-6.435
minimized_CNP0480198.1.pdbqt,-5.046
minimized_CNP0578964.2.pdbqt,-5.668
minimized_CNP0529069.2.pdbqt,-5.341
minimized_CNP0330923.0.pdbqt,-6.46
minimized_CNP0575975.1.pdbqt,-4.948
minimized_CNP0588033.1.pdbqt,-6.366
minimized_CNP0543157.1.pdbqt,-6.201
minimized_CNP0504480.1.pdbqt,-6.484
minimized_CNP0366808.3.pdbqt,-5.132
minimized_CNP0598538.1.pdbqt,-5.254
minimized_CNP0568898.2.pdbqt,-4.853
minimized_CNP0542866.1.pdbqt,-7.194
minimized_CNP0516661.1.pdbqt,-6.359
