Ligand,Score
minimized_CNP0294608.1.pdbqt,-9.5
minimized_CNP0273004.7.pdbqt,-8.5
minimized_CNP0162897.0.pdbqt,-8.8
minimized_CNP0154690.1.pdbqt,-8.4
minimized_CNP0025774.1.pdbqt,-9.6
minimized_CNP0348043.4.pdbqt,-8.5
minimized_CNP0521946.2.pdbqt,-11.3
minimized_CNP0583817.1.pdbqt,-10.5
minimized_CNP0273004.4.pdbqt,-8.1
minimized_CNP0273004.3.pdbqt,-8.2
minimized_CNP0348043.3.pdbqt,-8.7
minimized_CNP0521946.1.pdbqt,-10.3
minimized_CNP0175592.1.pdbqt,-8.5
minimized_CNP0100296.1.pdbqt,-8.3
minimized_CNP0170552.1.pdbqt,-11.8
minimized_CNP0264753.1.pdbqt,-8.7
minimized_CNP0063722.1.pdbqt,-9.9
minimized_CNP0255826.4.pdbqt,-11.6
minimized_CNP0191798.1.pdbqt,-8.9
minimized_CNP0191880.3.pdbqt,-8.3
minimized_CNP0260487.4.pdbqt,-10.4
minimized_CNP0531667.1.pdbqt,-10.1
minimized_CNP0578679.1.pdbqt,-9.6
minimized_CNP0255826.2.pdbqt,-11.8
minimized_CNP0492011.0.pdbqt,-8.1
minimized_CNP0420517.1.pdbqt,-11.3
minimized_CNP0093176.1.pdbqt,-10.2
minimized_CNP0577259.0.pdbqt,-7.6
minimized_CNP0084325.1.pdbqt,-8.0
minimized_CNP0120128.1.pdbqt,-8.4
minimized_CNP0120128.3.pdbqt,-7.5
minimized_CNP0085366.1.pdbqt,-6.3
minimized_CNP0085364.1.pdbqt,-6.8
minimized_CNP0575954.1.pdbqt,-5.5
minimized_CNP0428328.1.pdbqt,-5.3
