Ligand,Score
minimized_CNP0355329.3.pdbqt,FAILED
minimized_CNP0287427.5.pdbqt,-8.0
minimized_CNP0059687.2.pdbqt,-7.5
minimized_CNP0254606.2.pdbqt,-6.8
minimized_CNP0180584.7.pdbqt,-7.1
minimized_CNP0254606.1.pdbqt,-7.0
minimized_CNP0300012.1.pdbqt,-7.7
minimized_CNP0397656.2.pdbqt,-10.5
minimized_CNP0491514.4.pdbqt,-10.0
minimized_CNP0516892.3.pdbqt,-10.8
minimized_CNP0287427.17.pdbqt,-7.2
minimized_CNP0134071.1.pdbqt,-11.4
minimized_CNP0494893.1.pdbqt,-10.9
minimized_CNP0556210.1.pdbqt,-9.9
minimized_CNP0552568.2.pdbqt,-10.6
minimized_CNP0565551.4.pdbqt,-10.9
minimized_CNP0282147.1.pdbqt,-11.6
minimized_CNP0314651.1.pdbqt,-10.8
minimized_CNP0516892.4.pdbqt,-11.3
minimized_CNP0487213.2.pdbqt,-10.2
minimized_CNP0523185.2.pdbqt,-9.8
minimized_CNP0502829.4.pdbqt,-9.8
minimized_CNP0355329.1.pdbqt,-11.0
minimized_CNP0606210.3.pdbqt,-10.1
minimized_CNP0480240.3.pdbqt,-9.7
minimized_CNP0079515.1.pdbqt,-10.8
minimized_CNP0500949.4.pdbqt,-9.8
minimized_CNP0291693.0.pdbqt,-11.3
minimized_CNP0426822.3.pdbqt,-7.6
minimized_CNP0226202.1.pdbqt,-7.2
minimized_CNP0084863.1.pdbqt,-7.1
minimized_CNP0541920.0.pdbqt,-6.9
minimized_CNP0083893.1.pdbqt,-6.7
minimized_CNP0076510.1.pdbqt,-6.4
minimized_CNP0082347.1.pdbqt,-7.2
