Ligand,Score
minimized_CNP0386414.0.pdbqt,-4.6
minimized_CNP0225843.0.pdbqt,-7.3
minimized_CNP0335990.0.pdbqt,-6.5
minimized_CNP0444923.0.pdbqt,-7.0
minimized_CNP0271409.0.pdbqt,-6.9
minimized_CNP0228829.0.pdbqt,-5.7
minimized_CNP0179006.0.pdbqt,-8.8
minimized_CNP0507297.0.pdbqt,-6.4
minimized_CNP0212888.0.pdbqt,-9.2
minimized_CNP0427157.0.pdbqt,-7.6
minimized_CNP0516236.0.pdbqt,-9.6
minimized_CNP0508238.0.pdbqt,-7.6
minimized_CNP0024347.0.pdbqt,-8.3
minimized_CNP0383631.0.pdbqt,-6.9
minimized_CNP0465194.0.pdbqt,-6.6
minimized_CNP0515736.0.pdbqt,-5.9
minimized_CNP0231352.0.pdbqt,-6.7
minimized_CNP0074234.0.pdbqt,-7.4
minimized_CNP0398700.0.pdbqt,-6.7
minimized_CNP0288387.0.pdbqt,-7.5
minimized_CNP0464352.0.pdbqt,-6.4
minimized_CNP0412043.0.pdbqt,-7.7
minimized_CNP0587070.0.pdbqt,-7.3
minimized_CNP0535582.0.pdbqt,-6.9
minimized_CNP0525260.0.pdbqt,-9.0
minimized_CNP0501915.0.pdbqt,-8.0
minimized_CNP0595416.0.pdbqt,-7.3
minimized_CNP0399901.0.pdbqt,-7.8
minimized_CNP0127777.2.pdbqt,-10.8
minimized_CNP0080932.4.pdbqt,-11.8
minimized_CNP0110809.3.pdbqt,-11.9
minimized_CNP0259486.1.pdbqt,-11.7
minimized_CNP0277625.1.pdbqt,-12.1
minimized_CNP0320785.1.pdbqt,-10.4
minimized_CNP0407541.1.pdbqt,-11.3
