Ligand,Score
minimized_CNP0273999.4.pdbqt,FAILED
minimized_CNP0371629.0.pdbqt,-5.1
minimized_CNP0336825.0.pdbqt,-6.3
minimized_CNP0588842.0.pdbqt,-5.7
minimized_CNP0046080.0.pdbqt,-6.3
minimized_CNP0578030.0.pdbqt,-5.8
minimized_CNP0528762.0.pdbqt,-6.6
minimized_CNP0349240.0.pdbqt,-8.9
minimized_CNP0365399.1.pdbqt,-8.7
minimized_CNP0051443.0.pdbqt,-6.2
minimized_CNP0586366.0.pdbqt,-8.6
minimized_CNP0454999.0.pdbqt,-7.5
minimized_CNP0480254.1.pdbqt,-9.4
minimized_CNP0178323.1.pdbqt,-12.2
minimized_CNP0411225.1.pdbqt,-8.8
minimized_CNP0138077.22.pdbqt,-11.0
minimized_CNP0221524.8.pdbqt,-11.3
minimized_CNP0018891.1.pdbqt,-8.7
minimized_CNP0327181.4.pdbqt,-11.4
minimized_CNP0327181.2.pdbqt,-11.5
minimized_CNP0138077.23.pdbqt,-12.3
minimized_CNP0279413.4.pdbqt,-11.2
minimized_CNP0321230.1.pdbqt,-10.4
minimized_CNP0295361.7.pdbqt,-10.0
minimized_CNP0228607.9.pdbqt,-10.7
minimized_CNP0138077.29.pdbqt,-11.8
minimized_CNP0230667.1.pdbqt,-9.4
minimized_CNP0227434.1.pdbqt,-12.4
minimized_CNP0457698.1.pdbqt,-8.3
minimized_CNP0588360.0.pdbqt,-8.3
minimized_CNP0220272.1.pdbqt,-9.8
minimized_CNP0255791.2.pdbqt,-8.1
minimized_CNP0111916.1.pdbqt,-10.1
minimized_CNP0171700.2.pdbqt,-7.4
minimized_CNP0220291.1.pdbqt,-9.5
