Ligand,Score
minimized_CNP0155356.0.pdbqt,-4.5
minimized_CNP0105694.2.pdbqt,-7.2
minimized_CNP0287577.2.pdbqt,-7.3
minimized_CNP0564618.0.pdbqt,-6.4
minimized_CNP0005510.0.pdbqt,-5.6
minimized_CNP0160376.0.pdbqt,-7.3
minimized_CNP0502004.0.pdbqt,-8.3
minimized_CNP0485188.0.pdbqt,-8.5
minimized_CNP0269177.1.pdbqt,-5.8
minimized_CNP0499884.0.pdbqt,-8.5
minimized_CNP0025543.1.pdbqt,-7.4
minimized_CNP0205931.0.pdbqt,-6.3
minimized_CNP0084909.0.pdbqt,-9.6
minimized_CNP0327445.1.pdbqt,-5.6
minimized_CNP0245687.3.pdbqt,-6.9
minimized_CNP0039873.1.pdbqt,-5.9
minimized_CNP0188779.3.pdbqt,-8.2
minimized_CNP0523541.0.pdbqt,-9.4
minimized_CNP0542355.0.pdbqt,-9.8
minimized_CNP0105694.1.pdbqt,-7.3
minimized_CNP0251473.1.pdbqt,-5.4
minimized_CNP0243575.1.pdbqt,-8.4
minimized_CNP0260437.3.pdbqt,-8.5
minimized_CNP0113954.2.pdbqt,-8.5
minimized_CNP0594916.1.pdbqt,-8.5
minimized_CNP0271435.3.pdbqt,-9.0
minimized_CNP0251012.1.pdbqt,-7.9
minimized_CNP0570082.0.pdbqt,-8.9
minimized_CNP0289847.2.pdbqt,-9.7
minimized_CNP0238978.2.pdbqt,-10.5
minimized_CNP0158400.11.pdbqt,-9.6
minimized_CNP0158400.20.pdbqt,-8.6
minimized_CNP0231460.2.pdbqt,-9.2
minimized_CNP0270490.3.pdbqt,-9.3
minimized_CNP0295701.4.pdbqt,-9.0
