Ligand,Score
minimized_CNP0034158.0.pdbqt,FAILED
minimized_CNP0277115.1.pdbqt,-5.179
minimized_CNP0291897.3.pdbqt,-8.46
minimized_CNP0265183.11.pdbqt,-8.466
minimized_CNP0314744.0.pdbqt,-5.306
minimized_CNP0360164.5.pdbqt,-9.2
minimized_CNP0360164.6.pdbqt,-9.556
minimized_CNP0219639.1.pdbqt,-8.488
minimized_CNP0053580.0.pdbqt,-8.952
minimized_CNP0537818.1.pdbqt,-8.285
minimized_CNP0262834.1.pdbqt,-4.693
minimized_CNP0167155.2.pdbqt,-8.177
minimized_CNP0333036.0.pdbqt,-9.664
minimized_CNP0263305.1.pdbqt,-8.782
minimized_CNP0330701.1.pdbqt,-5.666
minimized_CNP0136668.1.pdbqt,-7.859
minimized_CNP0172068.4.pdbqt,-8.595
minimized_CNP0308522.1.pdbqt,-8.239
minimized_CNP0562122.1.pdbqt,-8.138
minimized_CNP0317064.1.pdbqt,-8.025
minimized_CNP0406863.0.pdbqt,-8.346
minimized_CNP0117297.0.pdbqt,-8.881
minimized_CNP0014971.1.pdbqt,-8.818
minimized_CNP0350190.1.pdbqt,-9.552
minimized_CNP0202975.1.pdbqt,-9.2
minimized_CNP0272159.1.pdbqt,FAILED
minimized_CNP0206414.3.pdbqt,-7.8
minimized_CNP0247573.4.pdbqt,-9.645
minimized_CNP0333356.1.pdbqt,-4.658
minimized_CNP0153713.0.pdbqt,-8.16
minimized_CNP0572951.0.pdbqt,-9.342
minimized_CNP0374446.3.pdbqt,-8.013
minimized_CNP0293065.0.pdbqt,-5.721
minimized_CNP0195133.1.pdbqt,-8.516
minimized_CNP0531132.1.pdbqt,-8.141
