Ligand,Score
minimized_CNP0246873.1.pdbqt,FAILED
minimized_CNP0557491.1.pdbqt,-9.3
minimized_CNP0364153.2.pdbqt,-9.6
minimized_CNP0364546.8.pdbqt,-9.7
minimized_CNP0345015.1.pdbqt,-8.2
minimized_CNP0115823.2.pdbqt,-9.0
minimized_CNP0110348.2.pdbqt,-7.5
minimized_CNP0083154.1.pdbqt,-6.8
minimized_CNP0356463.1.pdbqt,-8.3
minimized_CNP0289360.1.pdbqt,-9.3
minimized_CNP0241678.1.pdbqt,-10.1
minimized_CNP0521570.0.pdbqt,-9.3
minimized_CNP0601347.1.pdbqt,-7.9
minimized_CNP0146453.1.pdbqt,-9.8
minimized_CNP0260624.1.pdbqt,-7.4
minimized_CNP0309127.1.pdbqt,-11.9
minimized_CNP0543945.1.pdbqt,-7.7
minimized_CNP0337383.6.pdbqt,-9.8
minimized_CNP0186740.4.pdbqt,-7.8
minimized_CNP0207468.1.pdbqt,-10.5
minimized_CNP0083150.1.pdbqt,-7.2
minimized_CNP0398755.2.pdbqt,-12.1
minimized_CNP0244243.1.pdbqt,-11.1
minimized_CNP0108460.1.pdbqt,-12.0
minimized_CNP0108460.2.pdbqt,-11.9
minimized_CNP0108460.3.pdbqt,-11.8
minimized_CNP0088007.0.pdbqt,-8.7
minimized_CNP0138925.1.pdbqt,-9.3
minimized_CNP0129327.1.pdbqt,-12.8
minimized_CNP0165541.1.pdbqt,-10.5
minimized_CNP0591669.0.pdbqt,-9.1
minimized_CNP0488904.1.pdbqt,-13.1
minimized_CNP0086173.1.pdbqt,-8.5
minimized_CNP0418113.3.pdbqt,-8.4
minimized_CNP0418113.1.pdbqt,-11.1
