Ligand,Score
minimized_CNP0156848.4.pdbqt,FAILED
minimized_CNP0156848.6.pdbqt,-8.8
minimized_CNP0184873.1.pdbqt,-9.4
minimized_CNP0156848.1.pdbqt,-8.9
minimized_CNP0184390.1.pdbqt,-9.0
minimized_CNP0193528.10.pdbqt,-9.1
minimized_CNP0193528.9.pdbqt,-9.9
minimized_CNP0244780.1.pdbqt,-8.5
minimized_CNP0156848.9.pdbqt,-9.1
minimized_CNP0286243.2.pdbqt,-8.9
minimized_CNP0297250.3.pdbqt,-9.6
minimized_CNP0187716.1.pdbqt,-10.9
minimized_CNP0348840.1.pdbqt,-11.7
minimized_CNP0538319.1.pdbqt,-5.8
minimized_CNP0541954.2.pdbqt,-5.8
minimized_CNP0590629.2.pdbqt,-6.0
minimized_CNP0309495.5.pdbqt,-10.4
minimized_CNP0584335.2.pdbqt,-6.2
minimized_CNP0541954.1.pdbqt,-5.9
minimized_CNP0556882.2.pdbqt,-5.6
minimized_CNP0579769.2.pdbqt,-6.7
minimized_CNP0579492.1.pdbqt,-6.3
minimized_CNP0598046.1.pdbqt,-6.0
minimized_CNP0581069.1.pdbqt,-4.4
minimized_CNP0533086.1.pdbqt,-6.1
minimized_CNP0514606.1.pdbqt,-6.1
minimized_CNP0493470.1.pdbqt,-6.4
minimized_CNP0506319.1.pdbqt,-5.7
minimized_CNP0551033.1.pdbqt,-6.0
minimized_CNP0562088.1.pdbqt,-4.7
minimized_CNP0567102.1.pdbqt,-6.8
minimized_CNP0517571.1.pdbqt,-5.1
minimized_CNP0564148.1.pdbqt,-5.2
minimized_CNP0557328.1.pdbqt,-6.8
minimized_CNP0489808.1.pdbqt,-5.5
