Ligand,Score
minimized_CNP0160734.2.pdbqt,-8.3
minimized_CNP0279153.2.pdbqt,-8.3
minimized_CNP0092775.1.pdbqt,-9.7
minimized_CNP0523456.2.pdbqt,-8.1
minimized_CNP0284443.0.pdbqt,-9.4
minimized_CNP0329684.1.pdbqt,-9.3
minimized_CNP0210544.1.pdbqt,-8.9
minimized_CNP0543797.1.pdbqt,-8.0
minimized_CNP0324368.1.pdbqt,-9.9
minimized_CNP0270127.1.pdbqt,-9.4
minimized_CNP0107163.1.pdbqt,-8.2
minimized_CNP0306894.5.pdbqt,-8.7
minimized_CNP0227847.1.pdbqt,-8.5
minimized_CNP0293539.1.pdbqt,-8.4
minimized_CNP0162751.2.pdbqt,-9.0
minimized_CNP0430544.1.pdbqt,-8.2
minimized_CNP0102680.1.pdbqt,-9.2
minimized_CNP0342746.2.pdbqt,-8.4
minimized_CNP0365960.2.pdbqt,-8.9
minimized_CNP0306894.6.pdbqt,-8.8
minimized_CNP0395302.1.pdbqt,-8.7
minimized_CNP0410086.1.pdbqt,-8.4
minimized_CNP0399585.1.pdbqt,-8.7
minimized_CNP0536656.4.pdbqt,-8.3
minimized_CNP0492050.3.pdbqt,-8.1
minimized_CNP0274121.1.pdbqt,-8.7
minimized_CNP0217452.2.pdbqt,-8.7
minimized_CNP0349623.1.pdbqt,-10.9
minimized_CNP0376783.2.pdbqt,-9.2
minimized_CNP0384127.1.pdbqt,-11.2
minimized_CNP0375212.1.pdbqt,-9.6
minimized_CNP0391215.1.pdbqt,-10.5
minimized_CNP0299662.2.pdbqt,-9.1
minimized_CNP0490793.0.pdbqt,-9.4
minimized_CNP0096977.1.pdbqt,-8.2
