Ligand,Score
minimized_CNP0167657.3.pdbqt,FAILED
minimized_CNP0110452.1.pdbqt,FAILED
minimized_CNP0473805.0.pdbqt,-7.4
minimized_CNP0462265.0.pdbqt,-7.5
minimized_CNP0423911.0.pdbqt,-6.1
minimized_CNP0462319.0.pdbqt,-6.8
minimized_CNP0143350.7.pdbqt,-8.3
minimized_CNP0465184.1.pdbqt,-8.5
minimized_CNP0210794.2.pdbqt,-10.0
minimized_CNP0272183.1.pdbqt,-10.0
minimized_CNP0121372.1.pdbqt,-10.4
minimized_CNP0248184.0.pdbqt,-7.4
minimized_CNP0605587.0.pdbqt,-6.6
minimized_CNP0158074.1.pdbqt,-8.5
minimized_CNP0176598.2.pdbqt,-8.1
minimized_CNP0416722.1.pdbqt,-12.0
minimized_CNP0512616.0.pdbqt,-7.4
minimized_CNP0181032.4.pdbqt,-11.1
minimized_CNP0235013.21.pdbqt,-10.1
minimized_CNP0235013.2.pdbqt,-9.9
minimized_CNP0081167.1.pdbqt,-11.8
minimized_CNP0337508.1.pdbqt,-10.0
minimized_CNP0381781.1.pdbqt,-10.7
minimized_CNP0221991.2.pdbqt,-12.1
minimized_CNP0239895.1.pdbqt,-10.9
minimized_CNP0355092.1.pdbqt,-9.3
minimized_CNP0133760.2.pdbqt,-8.9
minimized_CNP0566457.0.pdbqt,-10.4
minimized_CNP0120029.1.pdbqt,-11.6
minimized_CNP0416740.1.pdbqt,-10.4
minimized_CNP0272661.1.pdbqt,-11.3
minimized_CNP0517009.3.pdbqt,-9.1
minimized_CNP0254206.1.pdbqt,-11.3
minimized_CNP0316377.2.pdbqt,-11.7
minimized_CNP0316377.1.pdbqt,-10.8
