Ligand,Score
minimized_CNP0185291.0.pdbqt,FAILED
minimized_CNP0114960.1.pdbqt,FAILED
minimized_CNP0112779.0.pdbqt,-8.6
minimized_CNP0577728.1.pdbqt,-8.4
minimized_CNP0149746.2.pdbqt,-8.0
minimized_CNP0055750.1.pdbqt,-8.7
minimized_CNP0601277.0.pdbqt,-9.7
minimized_CNP0365054.1.pdbqt,-8.4
minimized_CNP0504100.1.pdbqt,-9.6
minimized_CNP0500906.1.pdbqt,-9.4
minimized_CNP0278478.1.pdbqt,-9.2
minimized_CNP0369236.0.pdbqt,-8.6
minimized_CNP0147321.1.pdbqt,-9.9
minimized_CNP0228574.2.pdbqt,-8.9
minimized_CNP0217001.0.pdbqt,-7.8
minimized_CNP0238560.0.pdbqt,-9.0
minimized_CNP0512101.1.pdbqt,-7.8
minimized_CNP0376875.0.pdbqt,-8.3
minimized_CNP0213127.2.pdbqt,-8.5
minimized_CNP0219670.0.pdbqt,-8.6
minimized_CNP0405696.1.pdbqt,-8.8
minimized_CNP0603657.1.pdbqt,-10.3
minimized_CNP0075963.0.pdbqt,-9.1
minimized_CNP0506655.1.pdbqt,-9.7
minimized_CNP0274677.3.pdbqt,-9.6
minimized_CNP0236582.2.pdbqt,-8.7
minimized_CNP0552197.1.pdbqt,-9.4
minimized_CNP0173785.0.pdbqt,-10.2
minimized_CNP0348903.2.pdbqt,-7.6
minimized_CNP0216562.1.pdbqt,-9.3
minimized_CNP0274677.1.pdbqt,-9.8
minimized_CNP0086630.0.pdbqt,-8.2
minimized_CNP0400607.1.pdbqt,-8.8
minimized_CNP0242698.2.pdbqt,-8.2
minimized_CNP0306061.1.pdbqt,-8.7
