Ligand,Score
minimized_CNP0255901.1.pdbqt,-10.11
minimized_CNP0278691.1.pdbqt,-13.89
minimized_CNP0524420.1.pdbqt,-10.05
minimized_CNP0488594.2.pdbqt,-11.8
minimized_CNP0550757.1.pdbqt,-5.59
minimized_CNP0508591.1.pdbqt,-5.792
minimized_CNP0584232.1.pdbqt,-8.121
minimized_CNP0417183.1.pdbqt,-8.043
minimized_CNP0500306.2.pdbqt,-6.481
minimized_CNP0091875.1.pdbqt,-11.75
minimized_CNP0237866.1.pdbqt,-8.207
minimized_CNP0555389.2.pdbqt,-6.097
minimized_CNP0551173.2.pdbqt,-5.939
minimized_CNP0537175.2.pdbqt,-4.658
minimized_CNP0550292.2.pdbqt,-6.47
minimized_CNP0522899.1.pdbqt,-6.063
minimized_CNP0486105.3.pdbqt,-12.96
minimized_CNP0577350.1.pdbqt,-8.676
minimized_CNP0492375.10.pdbqt,-11.47
minimized_CNP0181246.0.pdbqt,-8.32
minimized_CNP0517416.1.pdbqt,-6.592
minimized_CNP0580105.1.pdbqt,-10.26
minimized_CNP0196883.1.pdbqt,-10.96
minimized_CNP0081378.1.pdbqt,-8.241
minimized_CNP0508591.2.pdbqt,-5.937
minimized_CNP0330649.2.pdbqt,-8.525
minimized_CNP0497292.1.pdbqt,-6.162
minimized_CNP0124695.1.pdbqt,-10.83
minimized_CNP0378622.1.pdbqt,-11.9
minimized_CNP0354594.1.pdbqt,FAILED
minimized_CNP0492375.9.pdbqt,-12.94
minimized_CNP0205494.1.pdbqt,-9.935
minimized_CNP0488145.1.pdbqt,-4.538
minimized_CNP0559443.2.pdbqt,-6.247
minimized_CNP0563765.1.pdbqt,-5.687
