Ligand,Score
minimized_CNP0015907.1.pdbqt,-9.8
minimized_CNP0491746.1.pdbqt,-9.1
minimized_CNP0003699.1.pdbqt,-8.5
minimized_CNP0135195.0.pdbqt,-8.3
minimized_CNP0459673.2.pdbqt,-9.8
minimized_CNP0047817.1.pdbqt,-8.6
minimized_CNP0391133.1.pdbqt,-8.8
minimized_CNP0099848.1.pdbqt,-9.0
minimized_CNP0300399.1.pdbqt,-9.4
minimized_CNP0192290.1.pdbqt,-8.6
minimized_CNP0253162.1.pdbqt,-9.7
minimized_CNP0137421.1.pdbqt,-8.7
minimized_CNP0120829.2.pdbqt,-9.9
minimized_CNP0378470.2.pdbqt,-9.2
minimized_CNP0318630.2.pdbqt,-9.3
minimized_CNP0204898.2.pdbqt,-10.0
minimized_CNP0420976.1.pdbqt,-9.9
minimized_CNP0187235.1.pdbqt,-9.0
minimized_CNP0130098.1.pdbqt,-7.9
minimized_CNP0200415.1.pdbqt,-8.9
minimized_CNP0310383.2.pdbqt,-11.1
minimized_CNP0246295.1.pdbqt,-9.3
minimized_CNP0027635.2.pdbqt,-11.3
minimized_CNP0331050.1.pdbqt,-10.2
minimized_CNP0499411.1.pdbqt,-9.4
minimized_CNP0012742.1.pdbqt,-11.5
minimized_CNP0300147.1.pdbqt,-9.1
minimized_CNP0060736.1.pdbqt,-10.4
minimized_CNP0279042.1.pdbqt,-10.6
minimized_CNP0545137.1.pdbqt,-8.1
minimized_CNP0491489.2.pdbqt,-10.0
minimized_CNP0380828.0.pdbqt,-7.5
minimized_CNP0444224.1.pdbqt,-10.3
minimized_CNP0266895.1.pdbqt,-8.3
minimized_CNP0304077.2.pdbqt,-9.1
