Ligand,Score
minimized_CNP0568609.0.pdbqt,FAILED
minimized_CNP0504535.0.pdbqt,-8.9
minimized_CNP0478819.0.pdbqt,-9.2
minimized_CNP0372445.0.pdbqt,-9.1
minimized_CNP0513784.0.pdbqt,-8.7
minimized_CNP0380097.0.pdbqt,-8.6
minimized_CNP0292483.1.pdbqt,-8.3
minimized_CNP0123937.1.pdbqt,-8.3
minimized_CNP0318647.2.pdbqt,-8.7
minimized_CNP0179811.2.pdbqt,-8.7
minimized_CNP0564236.1.pdbqt,-8.6
minimized_CNP0032565.0.pdbqt,-10.6
minimized_CNP0245167.2.pdbqt,-9.1
minimized_CNP0348492.2.pdbqt,-7.5
minimized_CNP0398827.2.pdbqt,-8.7
minimized_CNP0412623.1.pdbqt,-8.1
minimized_CNP0130367.2.pdbqt,-9.3
minimized_CNP0215087.1.pdbqt,-10.6
minimized_CNP0286663.1.pdbqt,-8.8
minimized_CNP0227505.2.pdbqt,-9.4
minimized_CNP0302627.5.pdbqt,-8.1
minimized_CNP0348675.4.pdbqt,-9.1
minimized_CNP0209603.2.pdbqt,-7.0
minimized_CNP0135600.1.pdbqt,-8.8
minimized_CNP0243811.3.pdbqt,-11.5
minimized_CNP0062620.3.pdbqt,-9.1
minimized_CNP0095243.1.pdbqt,-8.5
minimized_CNP0424677.2.pdbqt,-8.5
minimized_CNP0235395.1.pdbqt,-7.9
minimized_CNP0298337.2.pdbqt,-10.1
minimized_CNP0100132.1.pdbqt,-9.1
minimized_CNP0547567.1.pdbqt,-9.2
minimized_CNP0227541.5.pdbqt,-10.4
minimized_CNP0556141.1.pdbqt,-8.6
minimized_CNP0214675.1.pdbqt,-9.5
