Ligand,Score
minimized_CNP0085483.2.pdbqt,-10.9
minimized_CNP0193400.1.pdbqt,-12.2
minimized_CNP0193400.4.pdbqt,-11.4
minimized_CNP0195318.1.pdbqt,-9.5
minimized_CNP0155616.1.pdbqt,-10.6
minimized_CNP0286381.2.pdbqt,-10.1
minimized_CNP0195318.6.pdbqt,-9.0
minimized_CNP0333807.2.pdbqt,-11.1
minimized_CNP0107917.1.pdbqt,-7.2
minimized_CNP0106409.0.pdbqt,-10.7
minimized_CNP0333807.1.pdbqt,-11.4
minimized_CNP0364636.2.pdbqt,-10.9
minimized_CNP0364636.1.pdbqt,-10.8
minimized_CNP0230638.1.pdbqt,-8.0
minimized_CNP0148382.1.pdbqt,-7.1
minimized_CNP0155111.1.pdbqt,-9.7
minimized_CNP0286381.1.pdbqt,-9.8
minimized_CNP0141908.1.pdbqt,-9.8
minimized_CNP0157479.2.pdbqt,-9.9
minimized_CNP0179641.0.pdbqt,-8.2
minimized_CNP0203412.4.pdbqt,-10.0
minimized_CNP0107058.1.pdbqt,-5.5
minimized_CNP0411111.1.pdbqt,-10.0
minimized_CNP0219529.0.pdbqt,-5.5
minimized_CNP0262117.1.pdbqt,-8.0
minimized_CNP0286653.1.pdbqt,-5.7
minimized_CNP0150741.0.pdbqt,-6.0
minimized_CNP0140424.1.pdbqt,-5.6
minimized_CNP0544397.1.pdbqt,-6.4
minimized_CNP0483471.1.pdbqt,-6.7
minimized_CNP0589811.1.pdbqt,-7.3
minimized_CNP0584972.1.pdbqt,-6.2
minimized_CNP0570048.1.pdbqt,-6.2
minimized_CNP0526353.1.pdbqt,-6.7
minimized_CNP0500884.1.pdbqt,-6.7
