Ligand,Score
minimized_CNP0124775.1.pdbqt,-9.8
minimized_CNP0381413.3.pdbqt,-9.6
minimized_CNP0552956.3.pdbqt,-9.5
minimized_CNP0416543.1.pdbqt,-8.9
minimized_CNP0361444.3.pdbqt,-9.9
minimized_CNP0066511.3.pdbqt,-9.3
minimized_CNP0603847.1.pdbqt,-8.0
minimized_CNP0263668.3.pdbqt,-10.5
minimized_CNP0238226.4.pdbqt,-10.5
minimized_CNP0408477.1.pdbqt,-9.1
minimized_CNP0519856.0.pdbqt,-9.0
minimized_CNP0513807.0.pdbqt,-10.1
minimized_CNP0564646.0.pdbqt,-8.1
minimized_CNP0308824.1.pdbqt,-11.4
minimized_CNP0235196.0.pdbqt,-8.5
minimized_CNP0371535.5.pdbqt,-10.9
minimized_CNP0494035.5.pdbqt,-10.9
minimized_CNP0371535.1.pdbqt,-11.5
minimized_CNP0516969.2.pdbqt,-10.5
minimized_CNP0016750.2.pdbqt,-7.9
minimized_CNP0335302.4.pdbqt,-9.5
minimized_CNP0415608.2.pdbqt,-10.1
minimized_CNP0432677.1.pdbqt,-10.2
minimized_CNP0373848.2.pdbqt,-9.5
minimized_CNP0499929.2.pdbqt,-8.2
minimized_CNP0361444.6.pdbqt,-9.7
minimized_CNP0229513.1.pdbqt,-8.5
minimized_CNP0154140.0.pdbqt,-7.2
minimized_CNP0604214.0.pdbqt,-8.2
minimized_CNP0271190.0.pdbqt,-7.8
minimized_CNP0345574.0.pdbqt,-7.9
minimized_CNP0192057.1.pdbqt,-10.5
minimized_CNP0519826.1.pdbqt,-9.7
minimized_CNP0542484.0.pdbqt,-8.8
minimized_CNP0487448.2.pdbqt,-9.9
