n_features,rmse,features
5,0.7941626462688289,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log"
10,0.6957651724943651,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD"
15,0.6776244250224831,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD,Quaternary_Carbons_cuberoot,HeteroatomCount_sqrt,Chi4,Aromatic_ring_count,Max_EState_cuberoot"
20,0.6717894322664526,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD,Quaternary_Carbons_cuberoot,HeteroatomCount_sqrt,Chi4,Aromatic_ring_count,Max_EState_cuberoot,PMI_Ratio2,Macrocycle_count_log,Fraction_aromatic_rings_log,Halogen_log,Spiro_atom_count_sq"
25,0.6438561641481015,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD,Quaternary_Carbons_cuberoot,HeteroatomCount_sqrt,Chi4,Aromatic_ring_count,Max_EState_cuberoot,PMI_Ratio2,Macrocycle_count_log,Fraction_aromatic_rings_log,Halogen_log,Spiro_atom_count_sq,Alkyne_log,RotatableBonds_log,Min_EState_cube,AtomInformationContent_cuberoot,BondInformationContent_log"
30,0.6423255649170453,"BalabanIndex_cuberoot,RingCount_log,PathComplexityIndex_log,Fused_ring_count_sqrt,StereocenterCount_log,BertzCTIndex_cuberoot,TotalPathCount_cuberoot,Largest_ring_size_cuberoot,Ester_log,HBD,Quaternary_Carbons_cuberoot,HeteroatomCount_sqrt,Chi4,Aromatic_ring_count,Max_EState_cuberoot,PMI_Ratio2,Macrocycle_count_log,Fraction_aromatic_rings_log,Halogen_log,Spiro_atom_count_sq,Alkyne_log,RotatableBonds_log,Min_EState_cube,AtomInformationContent_cuberoot,BondInformationContent_log,Chi1_sq,BridgeheadAtomCount_cuberoot,Phenol,Avg_EState_sqrt,Lactone_log"
