Ligand,BestScore_kcal_per_mol
minimized_CNP0163980.1,-12.29
minimized_CNP0164648.3,-12.669
minimized_CNP0165067.1,-12.104
minimized_CNP0165067.2,-12.046
minimized_CNP0165424.1,-11.908
minimized_CNP0166055.2,-12.069
minimized_CNP0166169.1,-13.038
minimized_CNP0166169.10,-11.312
minimized_CNP0166169.11,-12.75
minimized_CNP0166169.13,-12.111
minimized_CNP0166169.14,-12.669
minimized_CNP0166169.15,-12.786
minimized_CNP0166169.2,-12.98
minimized_CNP0166169.3,-13.236
minimized_CNP0166169.4,-13.346
minimized_CNP0166169.5,-13.058
minimized_CNP0166169.6,-13.426
minimized_CNP0166169.8,-13.301
minimized_CNP0166169.9,-12.686
minimized_CNP0166209.1,-12.23
minimized_CNP0167093.3,-12.117
minimized_CNP0167093.4,-12.791
minimized_CNP0169870.1,-13.762
minimized_CNP0170620.2,-11.665
minimized_CNP0170620.3,-13.62
minimized_CNP0171082.0,-11.2
minimized_CNP0171733.1,-12.438
minimized_CNP0172406.1,-12.494
minimized_CNP0172406.2,-12.951
minimized_CNP0172890.3,-12.532
minimized_CNP0172930.1,-13.361
minimized_CNP0172930.3,-13.63
minimized_CNP0174304.1,-14.027
minimized_CNP0174304.2,-14.416
minimized_CNP0174534.1,-13.129
minimized_CNP0175015.1,-10.132
minimized_CNP0175961.1,-13.455
minimized_CNP0175961.2,-14.1
minimized_CNP0175961.3,-12.959
minimized_CNP0176052.1,-11.699
minimized_CNP0176573.10,-12.261
minimized_CNP0176573.13,-12.176
minimized_CNP0176573.14,-11.879
minimized_CNP0177268.0,-12.0
minimized_CNP0177728.1,-12.666
minimized_CNP0177797.1,-14.615
minimized_CNP0179112.2,-14.034
minimized_CNP0180142.1,-13.831
minimized_CNP0180197.1,-12.016
minimized_CNP0180671.2,-12.294
minimized_CNP0181001.1,-13.273
minimized_CNP0181969.1,-12.571
minimized_CNP0181969.2,-12.748
minimized_CNP0181969.3,-12.134
minimized_CNP0183210.1,-12.112
minimized_CNP0183210.2,-12.532
minimized_CNP0183210.3,-12.443
minimized_CNP0183210.5,-12.602
minimized_CNP0183210.6,-12.065
minimized_CNP0183210.7,-12.492
minimized_CNP0183210.9,-12.11
minimized_CNP0183354.1,-12.82
minimized_CNP0183354.15,-12.509
minimized_CNP0183354.7,-12.596
minimized_CNP0183354.8,-12.072
minimized_CNP0184035.1,-5.919
minimized_CNP0186541.4,-12.991
minimized_CNP0186702.1,-12.329
minimized_CNP0188145.2,-9.069
minimized_CNP0188145.3,-10.251
minimized_CNP0188145.5,-10.678
minimized_CNP0188145.6,-9.894
minimized_CNP0188145.7,-10.033
minimized_CNP0188206.17,-12.346
minimized_CNP0189407.2,-11.699
minimized_CNP0189407.3,-11.052
minimized_CNP0189659.1,-12.786
minimized_CNP0192031.0,-13.452
minimized_CNP0192260.2,-12.814
minimized_CNP0192260.5,-12.3
minimized_CNP0193878.2,-10.578
minimized_CNP0193886.1,-13.78
minimized_CNP0194151.1,-13.069
minimized_CNP0195108.1,-11.695
minimized_CNP0195108.2,-12.715
minimized_CNP0195259.6,-12.646
minimized_CNP0196339.1,-12.59
minimized_CNP0197409.1,-12.734
minimized_CNP0197515.1,-12.798
minimized_CNP0197607.1,-13.143
minimized_CNP0197845.2,-11.586
minimized_CNP0197847.1,-14.031
minimized_CNP0197847.2,-15.679
minimized_CNP0197847.3,-13.892
minimized_CNP0197847.4,-14.162
minimized_CNP0197847.5,-15.601
minimized_CNP0198476.1,-12.373
minimized_CNP0198595.2,-12.473
minimized_CNP0200093.1,-12.52
minimized_CNP0200896.5,-12.355
minimized_CNP0200896.7,-11.476
minimized_CNP0201047.1,-11.922
minimized_CNP0201578.2,-13.592
minimized_CNP0201578.3,-13.215
minimized_CNP0201697.1,-11.923
minimized_CNP0201697.2,-12.248
minimized_CNP0202293.1,-12.893
minimized_CNP0202293.2,-13.992
minimized_CNP0202331.1,-9.638
minimized_CNP0202462.1,-12.767
minimized_CNP0202976.1,-11.216
minimized_CNP0202976.2,-11.997
minimized_CNP0203452.14,-12.883
minimized_CNP0203452.16,-12.164
minimized_CNP0204025.1,-15.263
minimized_CNP0204358.2,-12.801
minimized_CNP0204684.1,-12.267
minimized_CNP0204757.3,-12.655
minimized_CNP0204757.5,-12.879
minimized_CNP0205219.3,-13.159
minimized_CNP0205219.4,-12.598
minimized_CNP0205219.5,-13.16
minimized_CNP0205250.3,-11.645
minimized_CNP0205250.4,-12.009
minimized_CNP0206403.2,-12.645
minimized_CNP0206403.4,-12.663
minimized_CNP0206403.5,-12.554
minimized_CNP0206403.6,-12.868
minimized_CNP0206403.8,-12.74
minimized_CNP0207261.2,-11.614
minimized_CNP0209031.2,-9.001
minimized_CNP0209217.1,-12.798
minimized_CNP0209411.0,-12.216
minimized_CNP0209594.1,-13.174
minimized_CNP0210147.1,-12.557
minimized_CNP0210147.2,-12.465
minimized_CNP0210147.3,-12.208
minimized_CNP0210563.1,-13.055
minimized_CNP0210563.2,-12.879
minimized_CNP0210563.3,-13.423
minimized_CNP0210563.4,-13.012
