dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,model
descriptors_only.csv,0.6159298223086406,0.009387558609268,0.6414868033995975,0.0218364544356215,0.8008078363288973,0.0136361875883217,0.7815105391308996,0.007929663749509,7.363847090395135,0.1275792322755641,polynomial_regression
raw_descs_and_ratios.csv,0.5296059693416002,0.0084332780857649,0.4841997340582573,0.0174076090099396,0.6957268532586113,0.0125455201760689,0.8350037254544688,0.0079228342009957,6.3068419995765925,0.100836784543718,polynomial_regression
raw_descs_and_interactions.csv,0.5390982964952004,0.0571110380519939,0.6671885260122228,0.1920950845331065,0.8087432845146723,0.1122638047830324,0.7715838061257747,0.0704723304555938,6.427582328839078,0.7649083132987838,polynomial_regression
transforms_and_interactions.csv,0.5390982964952004,0.0571110380519939,0.6671885260122228,0.1920950845331065,0.8087432845146723,0.1122638047830324,0.7715838061257747,0.0704723304555938,6.427582328839078,0.7649083132987838,polynomial_regression
transforms_and_ratios.csv,0.525462403108633,0.008032719880645,0.4793053572312792,0.013235911138154,0.6922500964871782,0.0095599562466961,0.8367248042848644,0.0056636257123168,6.2628227607571585,0.1198284687975793,polynomial_regression
raw_descs_and_transforms.csv,0.5607806097078064,0.0077422323454694,0.5425512944956714,0.0179145364121263,0.7364755461480078,0.0122034368342306,0.8152651400949639,0.0048363382413658,6.580872464454157,0.1211446252173777,polynomial_regression
ratios_only.csv,0.524034005126729,0.007520773971283,0.4753206631310095,0.0138828772167555,0.6893582436359121,0.0100837696203373,0.8380447324026408,0.0067083283030244,6.258333753767315,0.0862066815357508,polynomial_regression
interactions_only.csv,0.5390982964952004,0.0571110380519939,0.6671885260122228,0.1920950845331065,0.8087432845146723,0.1122638047830324,0.7715838061257747,0.0704723304555938,6.427582328839078,0.7649083132987838,polynomial_regression
transformations_only.csv,0.5631641188445243,0.005383678560443,0.6107703079283341,0.1381637991368771,0.7769927154898693,0.0823003276728241,0.7917077182276521,0.0486515674337814,6.634754926665279,0.0774050966858316,polynomial_regression
all_4_combined.csv,0.510560968213188,0.0045872336891862,0.4547091405018398,0.0074195834032835,0.6742977189152949,0.0055199988657494,0.8451171546206281,0.0036971716907629,6.060186867314149,0.0799966549775459,polynomial_regression
interactions_and_ratios.csv,0.5109012484176789,0.0047320965096529,0.4548529488182746,0.0062398123009541,0.6744112369719748,0.0046415457062197,0.8450698829140556,0.0033669482767977,6.062208909881192,0.0856548816802195,polynomial_regression
descriptors_only.csv,0.5229567439645741,0.0081526319498404,0.4768169329106579,0.0194511319408898,0.6903682504632114,0.0141545272321943,0.8376293951061031,0.0062197834911349,6.13337994945215,0.1308581008989877,stacked_model
raw_descs_and_ratios.csv,0.4644192521991858,0.007653244435015,0.3798053336286409,0.0165016414684054,0.6161324715800949,0.0133694088856616,0.8706010907323964,0.0065298492605356,5.486662655010075,0.0942459838347393,stacked_model
raw_descs_and_interactions.csv,0.4805346765075575,0.0092027195527388,0.4015998048780392,0.0146068359171905,0.6336095666969928,0.0115424642997956,0.8632132538201425,0.0053493161672644,5.671244425535939,0.129897942747509,stacked_model
transforms_and_interactions.csv,0.4805346765075575,0.0092027195527388,0.4015998048780392,0.0146068359171905,0.6336095666969928,0.0115424642997956,0.8632132538201425,0.0053493161672644,5.671244425535939,0.1298979427475089,stacked_model
transforms_and_ratios.csv,0.46319215975485,0.0081417063743368,0.3786080120858024,0.0166927114118978,0.6151553596440305,0.0135755855041243,0.8709951648129032,0.0068206354994619,5.461850853666778,0.0996058722372338,stacked_model
raw_descs_and_transforms.csv,0.5279011984959676,0.0063752805358026,0.4840452037426108,0.0156766272183857,0.6956383284997172,0.0112814842111762,0.8351293360993413,0.0058786323460322,6.190515178037442,0.1032484633493771,stacked_model
ratios_only.csv,0.4622394203955646,0.0087931166130829,0.3775435900678599,0.0170647549539762,0.6142826260787262,0.0138747154638464,0.8713676501390492,0.0067544508856766,5.4524431436071215,0.1079042100377305,stacked_model
interactions_only.csv,0.4805346765075576,0.0092027195527388,0.4015998048780392,0.0146068359171905,0.6336095666969928,0.0115424642997956,0.8632132538201425,0.0053493161672644,5.671244425535939,0.1298979427475089,stacked_model
transformations_only.csv,0.5262786787446312,0.0073608291954552,0.482221538742947,0.0182540646993419,0.6942921725362977,0.0131450807918025,0.8357674995348839,0.0062719123241444,6.172659775836899,0.1122003652514848,stacked_model
all_4_combined.csv,0.4663860413550441,0.0082606265977098,0.3845870963610017,0.0132354872891064,0.6200551298497522,0.010678506853089,0.8689574783226206,0.0059775303342872,5.499503594081017,0.1152735816057705,stacked_model
interactions_and_ratios.csv,0.4665186433908774,0.0083161848528076,0.3845493306378433,0.0124406038728616,0.620035769122852,0.0100408471003286,0.8689760778366192,0.0056639390787537,5.5000417119008045,0.1177206375872436,stacked_model
descriptors_only.csv,0.5167726090674549,0.0091226629130273,0.4639504667490611,0.0170419691397226,0.6810187144751769,0.0125492542888648,0.8420174344961625,0.0051772675860679,6.053619636633336,0.1452024340737895,xgboost
raw_descs_and_ratios.csv,0.447898447544899,0.008665482013447,0.3569597576337504,0.0156451673979041,0.5973116985374822,0.0130929035751138,0.8784053439238353,0.0057984726530151,5.285839388725145,0.1204180085260737,xgboost
raw_descs_and_interactions.csv,0.4577753306934209,0.0087053614078886,0.3734961487099476,0.0158966789552307,0.6109987803109398,0.013024755560826,0.8727591584912462,0.0062044203565516,5.414538918301591,0.1246762788157045,xgboost
transforms_and_interactions.csv,0.4577753306934209,0.0087053614078886,0.3734961487099476,0.0158966789552307,0.6109987803109398,0.013024755560826,0.8727591584912462,0.0062044203565516,5.414538918301591,0.1246762788157045,xgboost
transforms_and_ratios.csv,0.4458006840338382,0.0082489326103655,0.3533971761266653,0.0149843411940447,0.5943336072907415,0.0125783819440786,0.8796319649091098,0.0053381750453073,5.258657194225991,0.1135921627886602,xgboost
raw_descs_and_transforms.csv,0.519958199423694,0.0087322917620565,0.4710235914991946,0.0159787167382464,0.6862076701188172,0.0117037182346023,0.8395786112054017,0.0056230383612659,6.096073942927136,0.133941733184438,xgboost
ratios_only.csv,0.4449787198917552,0.0066895840789276,0.3537555250619925,0.0127862220919783,0.5946728008390323,0.0107257409107602,0.8794999225746792,0.0048667922238104,5.248863926844522,0.0980121356617123,xgboost
interactions_only.csv,0.4577753306934209,0.0087053614078886,0.3734961487099476,0.0158966789552307,0.6109987803109398,0.013024755560826,0.8727591584912462,0.0062044203565516,5.414538918301591,0.1246762788157045,xgboost
transformations_only.csv,0.5177666385247808,0.0071917853911011,0.4678802467899514,0.0125630559383458,0.6839530248085968,0.0092196410979717,0.8406538246879895,0.0043384690070886,6.070523067272414,0.1191854089570206,xgboost
all_4_combined.csv,0.4470290563026542,0.0080016776261803,0.3601181405143122,0.0125212571378094,0.6000035986953278,0.0104553676700655,0.8773155257939876,0.0051869653315316,5.26923286793973,0.1197822541153886,xgboost
interactions_and_ratios.csv,0.4478395282360144,0.0080465899990153,0.3606615231647876,0.0131497594738264,0.6004468954973237,0.0109588739320313,0.8771288372604541,0.0053808109519639,5.279459978941206,0.1184722068278596,xgboost
descriptors_only.csv,0.508739735048608,0.0072902348801184,0.4511024452254419,0.0124652469629928,0.6715745669427056,0.0092994854275724,0.8463447584646857,0.0049936122098482,5.953467941944056,0.1195374449915743,catboost
raw_descs_and_ratios.csv,0.4489628589979585,0.006946610040219,0.3561632733800604,0.0127314331698792,0.5966948618722994,0.0106687390785301,0.878661887113356,0.0052726223829636,5.292823809250704,0.0962649893469688,catboost
raw_descs_and_interactions.csv,0.4596186717565758,0.0075600968208362,0.3716290944517585,0.012962770955614,0.6095172310138655,0.0106382847682494,0.8733905033344469,0.0054531231952487,5.436310970678477,0.1061213014950613,catboost
