identifier,canonical_smiles
CNP0375578.0,COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)CN1CCc2cc(OC)c(OC)cc2C1
CNP0375580.0,COc1ccc(CCn2c(=N)c(C(=O)NC(C)c3ccccc3)cc3c(=O)n4ccccc4nc32)cc1
CNP0375581.1,COc1cc(CC2C(=O)OCC2Cc2ccc(OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)c(OC)c2)ccc1O
CNP0375582.1,COc1ccc(C=O)cc1CN1CC2CC(C1)c1cccc(=O)n1C2
CNP0375583.1,CC(C)C(CCN1C(=O)CCC1=O)c1ccco1
CNP0375583.2,CC(C)C(CCN1C(=O)CCC1=O)c1ccco1
CNP0375584.1,CC(C)Oc1ccc(CNC(=O)CC(c2ccco2)C(C)C)cc1
CNP0375584.2,CC(C)Oc1ccc(CNC(=O)CC(c2ccco2)C(C)C)cc1
CNP0375586.0,Cc1ccc(C=C2Oc3cc(OC(=O)c4ccccc4)ccc3C2=O)o1
CNP0375587.0,CCNc1ccc(C(=O)OCC)cc1
CNP0375588.1,COc1ccc2cc1Oc1ccc(cc1)C=C1c3cc4c(cc3CCN1C)Oc1c(OC)cc3c(c1O4)C(C2)N(C)CC3
CNP0375589.1,CCC(NC(=O)OC(C)(C)C)C(=O)Oc1ccc2c(C)cc(=O)oc2c1
CNP0375589.2,CCC(NC(=O)OC(C)(C)C)C(=O)Oc1ccc2c(C)cc(=O)oc2c1
CNP0375590.0,Cc1ccc(C)c(COc2ccc3c(C)c(CCC(=O)O)c(=O)oc3c2)c1
CNP0375591.0,CC(C)OCCCN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc(Cl)cc2)C1=O
CNP0375593.0,COc1ccc(CCNC(=O)C2CC(=O)OC2(C)C)cc1OC
CNP0375594.1,COc1cc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2CCc2ccccc2)ccc1O
CNP0375594.2,COc1cc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2CCc2ccccc2)ccc1O
CNP0375594.3,COc1cc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2CCc2ccccc2)ccc1O
CNP0375594.4,COc1cc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2CCc2ccccc2)ccc1O
