identifier,canonical_smiles
CNP0528089.1,CNC1(c2cc(O)cc(C(Cc3ccc(O)c(OCNCC(C)O)c3)C(=O)CC(O)C(CC3=CN=CC3)Cc3ccc(O)c(OC)c3Cc3cccc4ccccc34)c2)CCCCC1
CNP0528090.0,COc1cc(C=C2C(=O)NC(=O)N=C2O)ccc1O
CNP0528091.1,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCC=CCCCCCCCC
CNP0528093.1,CCC(CNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc2[nH]ccc2c1
CNP0528094.1,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCC)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC
CNP0528095.1,Nc1nc2c([nH]c(=O)n2C2CC(O)C(CO)O2)c(=O)[nH]1
CNP0528096.0,NC(=O)C(=C1OC(=O)C(c2ccccc2)=C1O)c1ccccc1
CNP0528097.1,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.2,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.3,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.4,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.5,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.6,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.7,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528097.8,CC(C)(C[N+](C)(C)Cc1ccccc1)C1OC2CCCCC2C2C=CCCC21
CNP0528098.1,CC=C1CN2CCC1C(=CC1CC3C(CC)CN(C)C(Cc4c1[nH]c1ccccc41)C3C(=O)OC)c1[nH]c3ccccc3c1C2
CNP0528099.1,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC
CNP0528100.0,COc1ccc(CCNC(=O)c2ccc3c(c2)c(C)c(C)n3Cc2ccccc2)c(OC)c1
CNP0528101.1,O=C1C2CN3CCCC45CCC6(Nc7ccccc7C26C34)C1(O)C5
CNP0528102.0,CC(=O)c1c(C)n(-c2ccc(C)cc2C)c2ccc(O)cc12
CNP0528103.1,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC=CCC=CCC=CCCCCC
CNP0528104.1,COC12C=CC3(C)OC(=O)C(O)C3(O)C1(C)C1C(CC3(C)C(c4ccoc4)CC4OC43C1(C)O)O2
CNP0528106.1,CC(=O)OC1C2=C(C)C(=O)CC(C(OC(C)=O)C3C(C)(CCC(OC(=O)C=Cc4ccccc4)C3(O)CBr)C1OC(C)=O)C2(C)C
CNP0528107.1,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC1CC(C)(C)C2(CC(=O)C(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=C=C3C(C)(C)CC(OC(C)=O)CC3(C)O)OC2(C)C1
CNP0528108.1,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCC(C)C
CNP0528108.2,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCC(C)C
CNP0528109.0,O=C(CC(c1ccc2c(c1)OCO2)c1c(O)nc2ccccn2c1=O)NCCc1c[nH]c2ccccc12
CNP0528110.0,COC(=O)CC(O)CCCC(O)CC(C)O
CNP0528112.1,C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)CC(C)(O)C13C=CC(C)(C21)C1(C3)C(=O)OC2C3C(C)=CCC3C(C)(O)CC(OC(=O)C(C)=CC)C21
CNP0528113.1,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCC(=O)O
