identifier,canonical_smiles
CNP0229511.1,C=C(CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)CC1CC3)C(C)C
CNP0229511.2,C=C(CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)CC1CC3)C(C)C
CNP0229511.3,C=C(CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)CC1CC3)C(C)C
CNP0229511.4,C=C(CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(O)CC1CC3)C(C)C
CNP0229512.1,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C2CSC(=N2)c2csc(n2)-c2csc(n2)-c2csc(n2)C(C)NC1=O
CNP0229512.2,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C2CSC(=N2)c2csc(n2)-c2csc(n2)-c2csc(n2)C(C)NC1=O
CNP0229513.1,COCCCN(CC1CCCN2CCCCC12)C(=O)CN1Cc2ccccc2C1=O
CNP0229514.1,CCNCC1CCC(N)C(OC2C(N)CC(OC)C(N(C)C(=O)CN)C2O)O1
CNP0229515.1,COC1=C2OC(=O)c3ccc4cc(OC)cc(c4c32)OC1OC
CNP0229516.1,COc1ccc(CCN2C(=O)NC(CC(=O)Nc3cccc4c3ccn4C)C2=O)cc1OC
CNP0229517.1,CNc1c(C)c(O)c2c(c1O)C(C)CCC2C(C)CCC=C(C)C
CNP0229518.1,CC1CC(O)C2=C(CO)CCCC2C12CC(c1ccoc1)OC2=O
CNP0229518.2,CC1CC(O)C2=C(CO)CCCC2C12CC(c1ccoc1)OC2=O
CNP0229519.1,CC(=O)OC1CC2C(C)(C)OC(=O)CC(OC(C)=O)C2(C)C2CCC3(C)C(=CCC3C3COC(=O)C3)C12C
CNP0229520.1,COC1C(OC(N)=O)C(O)C(Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2)OC1(C)C
CNP0229521.1,COC1=CC(C)OC(OC2CCC3(C)C(=CCC4C3CCC3(C)C4CCC3(O)C(C)OC3OC(C)C(O)C(O)O3)C2)C1=O
CNP0229522.1,CCCC1OC(C)=Cc2cc3c(c(O)c21)C(=O)C(C1OCC(O)C(CO)O1)=CC3=O
CNP0229522.2,CCCC1OC(C)=Cc2cc3c(c(O)c21)C(=O)C(C1OCC(O)C(CO)O1)=CC3=O
CNP0229522.3,CCCC1OC(C)=Cc2cc3c(c(O)c21)C(=O)C(C1OCC(O)C(CO)O1)=CC3=O
CNP0229523.1,CNCC(NCC(C)O)C1c2cc(C(O)COc3cc(CCc4cc(CO)c(CCC5CCC6C7CSSCC(NC(=N)NC8CCCCC8)C(C)CCC6C(C5)CC7N)o4)ccc3O)[nH]c2C2C=CC13CCCC3C21CCCC1
CNP0229524.1,CC1=CC2C3(O)C(C)CC(=O)C4C3C(OC4(C)C)C(O)(CO)C(O)C2(O)C1O
CNP0229524.2,CC1=CC2C3(O)C(C)CC(=O)C4C3C(OC4(C)C)C(O)(CO)C(O)C2(O)C1O
CNP0229525.0,CCCCCCC=CCCCCCCCCCc1cc(O)cc(OC)c1
CNP0229526.1,CC1(C)CC(=CC2C(O)CC3(C)C(Br)CCC(C)(O)C23)CCC1Br
CNP0229527.1,CC(C)CC(=O)OC1C(C)(C)C2CCC(C)C23C=CC(O)C13C
CNP0229527.2,CC(C)CC(=O)OC1C(C)(C)C2CCC(C)C23C=CC(O)C13C
CNP0229528.1,COC1=CC2(C)c3ccc4c(c3C(=O)C2CC1=O)CCC4=O
CNP0229529.0,CC=CC#CC#CC=CC=CC(=O)CCC
CNP0229530.0,COc1cccc(C(=O)c2oc3ccc(NC(=O)c4ccccc4Cl)cc3c2C)c1
CNP0229531.1,COC1C(OC2C(O)C(CO)OC(OC3C4COC3C(OC)C(OC3C(O)C(O)OC(CO)C3O)O4)C2O)OC2COC1C2O
CNP0229531.2,COC1C(OC2C(O)C(CO)OC(OC3C4COC3C(OC)C(OC3C(O)C(O)OC(CO)C3O)O4)C2O)OC2COC1C2O
CNP0229532.1,CCCC1C2=C(CCC3=C(CC1CC)C(=O)OC3)C(=O)OC2=O
CNP0229533.1,C=C(C=Cc1ccccc1)OC1CC2CCC(C1C(=O)OC)N2C
CNP0229533.2,C=C(C=Cc1ccccc1)OC1CC2CCC(C1C(=O)OC)N2C
CNP0229534.0,O=C1OCC(c2ccccc2)=C1c1ccccc1
CNP0229535.0,COc1ccc(-c2nc(-c3cc4cc5c(cc4[nH]c3=O)OCO5)[nH]c2-c2oc(C)cc(=O)c2O)cc1
CNP0229536.1,Cc1ccc(C(C)CO)cc1
CNP0229537.0,COc1c2cc(c(OC)c1OC)-c1cc(ccc1O)CC(=O)C(=O)CCCC2
CNP0229538.1,COc1ccc2c(ccn2CC(=O)NC(C)CCCC(C)C)c1
CNP0229538.2,COc1ccc2c(ccn2CC(=O)NC(C)CCCC(C)C)c1
CNP0229539.1,COc1cc(OC)c2c(c1Cl)OC1(C(=O)C(=CNc3ccc(NC(C)=O)cc3)C(=O)CC1C)C2=O
CNP0229540.1,CC(=O)NC1C(OC2C(O)C(CO)OC(OC3C(CO)OC(OC4C(O)C(CO)OC(OC5C(CO)OC(O)C(O)C5O)C4O)C(NC(C)=O)C3OC3OC(C)C(O)C(O)C3O)C2O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(C)C(O)C(O)C1O
CNP0229541.1,CC(C)NC(=O)OC1CCC2(C)C(CC(=O)N3CCCC3)C(O)CCC2C1(C)CO
CNP0229541.2,CC(C)NC(=O)OC1CCC2(C)C(CC(=O)N3CCCC3)C(O)CCC2C1(C)CO
CNP0229542.1,CC1(C)CC2=C3C=CC4C5(C)C(O)CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)C(O)C1
CNP0229543.1,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C7O)C6O)C(C)(CO)C5CCC4(C)C3(C)CC(O)C2(CO)C(O)C1O
CNP0229544.1,Cc1ccc(N2C(=O)CN(c3c(C)cccc3C)C(=O)C2C=Cc2ccccc2)cc1
CNP0229544.2,Cc1ccc(N2C(=O)CN(c3c(C)cccc3C)C(=O)C2C=Cc2ccccc2)cc1
CNP0229545.0,COC(=O)CC1C(C)(COC(C)=O)C(=O)C=C2OC3C(C21C)C(C)(O)C12OC1CC(c1ccoc1)C2(C)C3OC(C)=O
CNP0229546.0,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C)c(OC(C)=O)c1C2=O
CNP0229547.1,COc1cccc2c(=O)c3c(OC)cc4c(c3oc12)CC(C(C)(O)CO)O4
CNP0229548.1,OCC1OC(c2c(O)cc(C3c4cc(C=Cc5cc(O)c(C6OC(CO)C(O)C(O)C6O)c6c5C(c5cc(O)cc(O)c5)C(c5ccc(O)cc5)O6)ccc4OC3c3ccc(O)cc3)cc2O)C(O)C(O)C1O
CNP0229548.2,OCC1OC(c2c(O)cc(C3c4cc(C=Cc5cc(O)c(C6OC(CO)C(O)C(O)C6O)c6c5C(c5cc(O)cc(O)c5)C(c5ccc(O)cc5)O6)ccc4OC3c3ccc(O)cc3)cc2O)C(O)C(O)C1O
CNP0229549.0,O=C(Cn1c2c(c3ccccc31)CCn1c-2nc2ccccc2c1=O)NCc1ccco1
CNP0229550.1,O=C(C=C(O)C=Cc1ccc(O)cc1)CC(O)c1ccc(O)cc1
CNP0229551.0,COc1ccc(C2C=C3c4cc5c(cc4CCN3C3=C2C(=O)CC(C)(C)C3)OCCCO5)cc1OC
CNP0229552.1,CC1OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(c5ccc(=O)oc5)CCC43O)C2)C(O)C(O)C1O
CNP0229554.1,N=C(N)NCCOP(=O)(O)OCC(N)C(=O)O
CNP0229554.2,N=C(N)NCCOP(=O)(O)OCC(N)C(=O)O
CNP0229554.3,N=C(N)NCCOP(=O)(O)OCC(N)C(=O)O
CNP0229554.4,N=C(N)NCCOP(=O)(O)OCC(N)C(=O)O
CNP0229555.0,CCOC(=O)C=C1NC(C)(C)Cc2cc(OC)c(OC)cc21
CNP0229556.1,COC(=O)CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CNP0229556.2,COC(=O)CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CNP0229556.3,COC(=O)CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CNP0229556.4,COC(=O)CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CNP0229556.5,COC(=O)CCC(C)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
CNP0229557.0,C=CCc1cc(-c2cc(CC=CC=O)ccc2O)ccc1O
CNP0229558.1,CC1CNC(=O)C2C3C=CC(C)(O)C(OC4OCC(O)C(O)C4N)C=CC=CC3C=CC2C(O)C1O
CNP0229559.1,CC1(C)OC2CC(=O)OC2(C)C1CC(=O)CC12OC1CCC13CC12C(=O)OC3c1ccoc1
CNP0229560.1,COc1cc2c(cc1O)CC1c3cc(OC)c(OC)cc3CC2N1C
CNP0229561.0,O=c1nc[nH]c2nc[nH]c12
CNP0229563.0,COc1ccc2oc3cccc(OC)c3c(=O)c2c1OC
CNP0229564.1,CC=CC(=O)CC(O)CCCCCCCC=CC=CC=CCC
CNP0229565.1,C=C1CCC2OCC2CCC2C(C1OO)C2(C)C
CNP0229567.1,CC1CCC(=O)C2=C3OC4(C)C(C)CC3(OC2=O)C(C=CC1O)C4O
CNP0229567.2,CC1CCC(=O)C2=C3OC4(C)C(C)CC3(OC2=O)C(C=CC1O)C4O
CNP0229567.3,CC1CCC(=O)C2=C3OC4(C)C(C)CC3(OC2=O)C(C=CC1O)C4O
CNP0229567.4,CC1CCC(=O)C2=C3OC4(C)C(C)CC3(OC2=O)C(C=CC1O)C4O
CNP0229567.5,CC1CCC(=O)C2=C3OC4(C)C(C)CC3(OC2=O)C(C=CC1O)C4O
CNP0229569.0,O=COC1CCCCC1
CNP0229570.1,CC12CCC(C)(C(NC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C1)C2(C)C
CNP0229570.2,CC12CCC(C)(C(NC(=O)C34CCC(C)(C(=O)O3)C4(C)C)C1)C2(C)C
CNP0229571.1,CC(=O)CCC=CCCCCC(C)O
CNP0229572.0,CN1CCc2ccccc2C1C1CCNCC1
CNP0229573.1,COc1ccc(C=CC(O)CO)cc1OC
CNP0229574.0,CCCC1(C)CCC2(C)C3CCC4(C)C(C)C(=O)CCC4C3(C)CCC2(C)C1
CNP0229575.1,Cc1cc(O)c2c(c1)CC(O)C1=C2C(=O)c2c(O)ccc(O)c2C1=O
CNP0229576.0,CCOC(=O)CNC(=O)C(CS)NC(=O)CCC(N)C(=O)O
CNP0229577.1,CNC1Cc2c(cccc2CO)C#CCCC23CCC4C(O)(CCC5(O)CC(O)C6(CCCC6)CC45C=O)C2(O)CC2CC1C1OC(=O)C=C1C23
CNP0229578.1,CC(=O)OC(CCC(C)(OC(C)=O)C1CCC2OC(C3(C)CCC(Br)C(C)(C)O3)CCC2(C)O1)C1(C)CCC(C(C)(C)OC(C)=O)O1
CNP0229580.1,CC(=O)OC1(C)CCC(=O)C(C)CCCC2(C)OC2C(=O)C(=C(C)C)CC1
CNP0229580.2,CC(=O)OC1(C)CCC(=O)C(C)CCCC2(C)OC2C(=O)C(=C(C)C)CC1
CNP0229581.1,Cn1cc(NC(=O)C2CCC(N)=N2)cc1C(=O)NC=CC(=N)N
CNP0229582.1,CCOC1OC(C(O)C(=O)c2ccc(O)cc2)C(O)C(O)C1O
CNP0229583.0,CCOCC(=O)O
CNP0229584.0,O=C(O)C(Cc1ccc(O)c(O)c1)OC(O)C=CC1=CC(O)C(O)C=C1
CNP0229586.1,COc1ccc(CC2OC(c3ccc4c(c3)OCO4)C(C)C2C)cc1OC
CNP0229587.1,COc1ccc(C(CC(=O)NCCc2c[nH]c3ccccc23)c2c(O)cc3c(c2O)C(=O)OC(C)CCCC(=O)CCCC=C3)cc1
CNP0229588.1,COc1cccc(CNCC2COCc3nc4cc(C)ccc4n32)n1
CNP0229589.1,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NCC(N)=O)C(C)O
CNP0229590.0,COSCCCCCCN(C(N)=O)C(C)C
CNP0229591.1,COc1c(C(C)C)cc2c(c1O)C1(C)CCCC(C)(C)C1=CC2=O
CNP0229592.1,COc1ccc(OC)c(C2c3[nH]c4ccccc4c3CC3C(=O)N(CCCN4CCOCC4)CC(=O)N32)c1
CNP0229593.1,CC(=CC(CCCC1(CO)C=C(CO)C(C)O1)C(=O)O)C=C(C)CC(C)c1oc(=O)c(C)c(O)c1C
CNP0229594.0,COc1c(C(=O)N(C)C)cn(C)c1-c1nc2cc(NC(=O)C3CC3)ccc2n1C
CNP0229595.0,COc1ccc(CC2C(=O)NC(C)C(=O)N(C)C3C(=O)N(C)C(Cc4ccc(O)c(c4)Oc4ccc(cc4)C3O)C(=O)NC(C)C(=O)NC(C)C(=O)N2C)cc1
CNP0229596.0,CCCc1cc(=O)oc2c(C)c3c(cc12)CN(c1cccc(C)c1C)CO3
CNP0229597.0,COc1cccc2c1[nH]c1c(C(O)CC(OC)c3nccc4c3[nH]c3ccccc34)ncc(OC)c12
CNP0229598.1,COC(=O)C1(C2OC(=O)C(O)C2C)CC(=O)c2c(O)cccc2O1
CNP0229598.2,COC(=O)C1(C2OC(=O)C(O)C2C)CC(=O)c2c(O)cccc2O1
CNP0229598.3,COC(=O)C1(C2OC(=O)C(O)C2C)CC(=O)c2c(O)cccc2O1
CNP0229599.1,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)NCc1cccnc1
CNP0229599.2,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)NCc1cccnc1
CNP0229601.1,OC1C2=C(NCCC2)C2CC1C1CCCCN1C2
CNP0229602.0,COC1C(C)OC(Oc2cccc3ccc(C)nc23)C(O)C1O
CNP0229603.1,CC=C(C)C(=O)Oc1cc(C)ccc1C(C)CO
CNP0229604.0,COc1cc(OC)c2c(=O)cc(-c3ccccc3)oc2c1C1=CC(C)(C)OC1=O
CNP0229605.1,COc1ccc(CNC(=O)C(CC(C)C)NC(=O)C2Cc3c([nH]c4ccccc34)C3c4ccccc4C(=O)N23)cc1
CNP0229606.0,CC(=CC(=O)OC1C2C(CC=C3CC(O)CCC32C)C2(O)CCC(O)(C(C)O)C2(C)C1OC(=O)C=C(C)C(C)C)C(C)C
CNP0229607.0,COc1ccc(CCc2cc(=O)c3ccccc3o2)cc1
CNP0229608.1,CC1(C)CCC2(COC3OC(CO)C(O)C(O)C3O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
CNP0229608.2,CC1(C)CCC2(COC3OC(CO)C(O)C(O)C3O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
CNP0229609.1,COC(=O)C1=CCC(OC2OC(CO)C(O)C(O)C2O)C(=CCO)C1CC(=O)OCCc1ccc(O)cc1
CNP0229610.1,CNC(Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O
CNP0229610.2,CNC(Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O
CNP0229611.1,CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccc(O)cc1)C(N)=O
CNP0229612.0,COC(=O)C1COCC2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC21
CNP0229613.1,CC(=O)OC1C(OC(=O)C2(C)OC2C)c2c(ccc3ccc(=O)oc23)OC1(C)C
