identifier,canonical_smiles
CNP0417841.1,Oc1ccc(C=Cc2c(CCc3ccc(CNCC4(c5c[nH]cn5)C5C(O)C=CC6CCCC65CCC45CCCC5)cc3)c(O)c(O)c3c(O)cccc23)cc1O
CNP0417843.1,CC1(C)CCC2C(=O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2(O)C1
CNP0417844.1,C=CCc1ccc(OC2OC3C(CCCO)OC#CCC(O)C4CC2(OC=C2C=CC5CC24CC2(O)CC(Cc4ccc(C(=O)O)cc4)C4(CCCC4)C52)C(O)C3O)cc1CC(COC)C(CO)n1ccc(C#N)c1
CNP0417850.1,C=C1C(O)CCC2(C)C(OC(C)=O)C(OC(C)=O)C3=C(C)C(OC(C)=O)CC(C(O)C12)C3(C)C
CNP0417850.2,C=C1C(O)CCC2(C)C(OC(C)=O)C(OC(C)=O)C3=C(C)C(OC(C)=O)CC(C(O)C12)C3(C)C
CNP0417850.3,C=C1C(O)CCC2(C)C(OC(C)=O)C(OC(C)=O)C3=C(C)C(OC(C)=O)CC(C(O)C12)C3(C)C
CNP0417851.1,COc1cc(C2Oc3cc(OC)c4c(c3CC2O)CC(CCC(C)C)c2cc(O)ccc2-4)cc(OC2CCCC2)c1O
CNP0417852.1,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)COP(=O)(O)O
CNP0417854.1,CC1CCC2=CCC3C(C)CC(O)C(C)(O)C4C(CC#CC(C5COC(=O)C5c5cc[nH]c5)CC3C2C1)CC1(O)C2=CC(=O)C3CC(O)C(O)CC3(C3CCCC3)C2CCC41CCN=C(N)N
CNP0417855.0,COc1ccc(C=C2Oc3cc(OC(=O)N4CCOCC4)ccc3C2=O)c(OC)c1OC
CNP0417856.1,O=C(O)c1cc(O)c(O)c(OC2OC(COC3(O)OCC(O)(CO)C3O)C(O)C(O)C2O)c1
CNP0417857.0,CCCCCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC
CNP0417859.1,CNCc1cc(OC)c(OC)c2c1C1C(O2)c2c3cc4c(c2OC1C1(CCCC1)c1cccc(c1)Cc1ccc(O)cc1-3)NC1C=CC2(C(=O)O)OC1(O4)C(O)C(O)C2O
CNP0417859.2,CNCc1cc(OC)c(OC)c2c1C1C(O2)c2c3cc4c(c2OC1C1(CCCC1)c1cccc(c1)Cc1ccc(O)cc1-3)NC1C=CC2(C(=O)O)OC1(O4)C(O)C(O)C2O
CNP0417860.1,OCC1CC(OC2C(COC3OCC(O)(CO)C3O)OC(OCc3ccccc3)C(O)C2O)C(O)C(O)C1O
CNP0417861.1,COc1ccc2cc(NC(=O)CC3NC(=O)c4ccccc4NC3=O)cnc2c1
CNP0417862.1,Oc1ccc(C=Cc2c(CCc3ccc(CNCC4(c5c[nH]cn5)C5C(O)C=CC6CCC7C=CC(CC675)C45CCCC5)cc3)c(O)c(O)c3c(O)cccc23)cc1O
CNP0417863.1,COCC1CCC2(C)OC34CC15CCC(CO)C(N)(C25)C3C#CC1(CCCCC1)c1cc(O)ccc1CC1CC4CC2(CCCC2)C1
CNP0417863.2,COCC1CCC2(C)OC34CC15CCC(CO)C(N)(C25)C3C#CC1(CCCCC1)c1cc(O)ccc1CC1CC4CC2(CCCC2)C1
CNP0417864.1,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
CNP0417864.2,CC1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C
CNP0417865.1,COC(=O)C1CCCC23C(C)OC4c5occc5C(C)C(CCC12)C43
CNP0417866.1,C=C(C)C1CC2=C(C)C=C3CC2(C)C2(CCC(CCc4ccccc4)C2C#CCC2CC4CC5CC6CC(NCC(C)O)C(O)CC6C5C4(C)NC32)C1
CNP0417867.1,CC(O)(CC(=O)O)CC(=O)OC1CC2(C)C3=C(CCC2C(C)(C)C1O)C1(C)CCC(C(CO)CCC(O)C(C)(C)O)C1(C)C(O)C3
CNP0417867.2,CC(O)(CC(=O)O)CC(=O)OC1CC2(C)C3=C(CCC2C(C)(C)C1O)C1(C)CCC(C(CO)CCC(O)C(C)(C)O)C1(C)C(O)C3
CNP0417870.0,Cc1ccc(COc2ccc3c(=O)c(Oc4cccc(C)c4)coc3c2)cc1
CNP0417872.0,Cc1ccc(C(=O)NC(=O)CSc2nccc(O)n2)cc1
CNP0417878.0,CCC=CCC=CCC=CCC=CCC=CCCCCCCCCCCCCCCCCCC(=O)O
CNP0417882.1,COCC(=O)NC(C)c1ccccc1
CNP0417884.1,O=c1c(-c2ccc(O)cc2)coc2c(OC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)c(O)ccc12
CNP0417885.1,C=C1C(=O)OC2C1C(OC(C)=O)C1C(CCC1(C)O)C1(C)OC21
CNP0417885.2,C=C1C(=O)OC2C1C(OC(C)=O)C1C(CCC1(C)O)C1(C)OC21
CNP0417885.3,C=C1C(=O)OC2C1C(OC(C)=O)C1C(CCC1(C)O)C1(C)OC21
CNP0417886.1,CCCCCc1occc1C1OC(=O)C2OC23C1(C)CC1CC2(CCCC2)C2C(=O)OCC45C2OC(C)(C)C4C(=O)C(O)C3(C)C15
CNP0417886.2,CCCCCc1occc1C1OC(=O)C2OC23C1(C)CC1CC2(CCCC2)C2C(=O)OCC45C2OC(C)(C)C4C(=O)C(O)C3(C)C15
CNP0417887.0,CC1=CCC2C(C)(C)C(OC=O)CCC2(C)C1CCC(C)CCO
CNP0417889.1,CCC(C)C(=O)OC1C(=O)C23COC(C)(C(OC(C)=O)C4(OC(C)=O)CC(C)C(OC(=O)c5cccnc5)C4C2OC(C)=O)C3C2C1CC2(C)OC(C)=O
CNP0417889.2,CCC(C)C(=O)OC1C(=O)C23COC(C)(C(OC(C)=O)C4(OC(C)=O)CC(C)C(OC(=O)c5cccnc5)C4C2OC(C)=O)C3C2C1CC2(C)OC(C)=O
CNP0417891.1,O=C(NC1COC2C(Nc3nccc(-c4ccco4)n3)COC12)c1ccco1
CNP0417894.1,CC1=C2C(C)(CCC1C)CC(CO)C2(C)C
CNP0417895.1,COCCCOC1CCC2(C)C(C1)C(=O)C1=C3C24C#CCC2CN2C(=O)C2CC5C(C)C(OC5C(O)N2)C(O)C(C)(O)C2CC(CC1)C3(O)C2(C1CCCCC1)CC4
CNP0417896.1,CC(=O)OC12CCc3cc(c(O)c4c3CCC3CCCC3O4)CN3CC4(CC3=O)C(CCC4c3ccccc3)CN=C(N)NC3(CCCC34CCCC4)SSCC(CCc3ccccc3)CCCC(CC1)C(O)C2
CNP0417897.1,CC#Cc1ccc(-c2ccc(C(=O)C3CCC4CC35CC(C3C#Cc6c(cc(O)c7c6NC(C=C7)C(C)(O)Cc6cccc(c6)C3)CC4NC(=N)NC)C3(CCCC3CO)C5)s2)s1
CNP0417900.0,Cc1cc2oc(=O)c3c(c2c2c1C(c1cc4ccccc4nc1N(C)C)CC(=O)O2)CCC3
CNP0417901.1,CC(=O)C(=O)CCC(C)=CCOC1OC(CO)C(OC(=O)C=Cc2ccc(O)cc2)C(OC2OC(C)C(O)C(O)C2O)C1O
CNP0417903.1,CC1C(=O)CCC2C1(C)CCC1(C)C3(C)CCC4(C)CCC(C)(C)CC4C3CCC21C
CNP0417904.0,COC1=CC(=C2C=C(OC)c3c(O)cc(C)cc3C2=O)C(=O)c2cc(C)cc(O)c21
CNP0417905.1,CCC(C)C(=O)OC(C=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O
CNP0417906.1,C=C1CC2(CCC(CCC3(O)CCCC(O)C3)C2)C2OC2(C)CCC2C1CC2(C)C1CCC(CNC(=N)NC2CCCc3ccc4cocc4c3C2)C1
CNP0417908.1,COc1cc(C=C(CC(CCO)c2cccc(CCO)c2)C(=O)OC2C(O)OC(CNCC(C)O)C(O)C2OC(C)=O)ccc1O
CNP0417910.1,CC1(CO)CCC2(C(=O)O)CCC34CCCC5(CC=C3C2C1)C1(C)C(CC2C(CO)C(=O)NC2C(CCCN)c2c[nH]cn2)C(O)C(OC2OCC(O)C(O)C2O)C(C)(CO)C1CCC45C
CNP0417914.1,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1
CNP0417914.2,CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1
CNP0417915.1,CC(=O)Oc1ccc2c(c1)C(=O)c1c(Cc3cc[nH]c3)c(OC3OC(C)C(O)C(O)C3O)c(CCCO)c(O)c1C2=O
CNP0417916.1,N#Cc1ccc(C(=O)N2CC3CC(C2)c2c(C=Cc4ccc(Cl)cc4)ccc(=O)n2C3)cc1
CNP0417917.1,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1.Cl
CNP0417918.1,CC(=O)c1c(C)c(O)c2cc(C(=O)O)cc(OC3OC(CO)C4(CCC5CC6(CCC7(CCCC78CCCC8)C6)CC6COCC(CCCO)(CSSCO4)C56)C(O)C3O)c2c1O
CNP0417919.1,CCC(O)C(C)C1OC1C(O)C(C)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)C=CC1C
CNP0417922.1,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(OC(=O)CCC(=O)ON3C(=O)CCC3=O)CC12C
