identifier,canonical_smiles
CNP0126374.0,CC12CC(O)C3CC1(OC1OC(CO)C(O)C(O)C1O)C3(CO)C(=O)O2
CNP0126375.0,CCCCCCCCC=CCCCCCCC=CCCCCCCCC(CCO)OC(C)=O
CNP0126376.1,O=C1c2c(O)cc(O)cc2OC(c2cc(O)cc(O)c2)C1OC1OC(CO)C(O)C(O)C1O
CNP0126376.2,O=C1c2c(O)cc(O)cc2OC(c2cc(O)cc(O)c2)C1OC1OC(CO)C(O)C(O)C1O
CNP0126376.3,O=C1c2c(O)cc(O)cc2OC(c2cc(O)cc(O)c2)C1OC1OC(CO)C(O)C(O)C1O
CNP0126378.1,CCc1cc(=O)oc2c(C)c(OC(=O)C3CCC(CNC(=O)OCc4ccccc4)CC3)ccc12
CNP0126379.1,COc1cc(C=CC(=O)OCC2OC(OC3C(Oc4c(-c5ccc(OC6OCC(OC7OC(C)C(O)C(O)C7O)C(O)C6O)cc5)oc5cc(O)cc(O)c5c4=O)OC(C)C(O)C3O)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)ccc1O
CNP0126380.0,N#CCCCCCCCCCCCCCCC=CCCCCCCc1ccc(C=O)[nH]1
CNP0126381.0,CC1(C)CCC2(C(=O)OC3OC(CO)C(OS(=O)(=O)O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C7OC(O)(C(=O)O)C(OCC(=O)O)OC7C6O)C(C)(C)C5CCC43C)C2C1
CNP0126382.1,COCC(=O)NC(C)c1onc(C)c1C(=O)O
CNP0126383.1,COC1CC(OC2CCC3(C)C(CC(OC(=O)C=Cc4ccccc4)C4(C)C(=O)CCC4C(C)=O)C(=O)C=CC3(O)C2)OC(C)C1OC1CC(O)C(OC2OC(C)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(OC)C2O)C(C)O1
CNP0126383.2,COC1CC(OC2CCC3(C)C(CC(OC(=O)C=Cc4ccccc4)C4(C)C(=O)CCC4C(C)=O)C(=O)C=CC3(O)C2)OC(C)C1OC1CC(O)C(OC2OC(C)C(OC3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)C(OC)C2O)C(C)O1
CNP0126385.1,CC(C)=CCCC(C(=O)O)C1CN(CC(O)CCOC2OCC(O)C(O)C2O)C(=N)N1
CNP0126386.0,CCCCCCCCCCCCOC(=O)C=Cc1ccc(O)c(O)c1
CNP0126387.1,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C1O
CNP0126387.2,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)O)CCC45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C1O
CNP0126389.0,COc1c(C=O)c(O)c(C)c(O)c1C(=O)C=Cc1ccc(O)cc1
CNP0126390.0,OC12C=C(C3c4[nH]c5ccccc5c4CCN3CCc3nccc4c3[nH]c3ccccc34)C3CCN(CCCC=CCCC1)CC31CCC=CCCCCNC21
CNP0126391.1,CC1OC(OC2C(O)COC(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(COC8OCC(O)C(O)C8O)C(O)C(O)C7O)C(C)(C)C6CCC5(C)C3(C)CC4O)C2OC2OC(C)C(OC3OCC(O)C(OC4OCC(O)C(O)C4O)C3O)C(OC3OCC(O)(CO)C3O)C2O)C(O)C(O)C1O
CNP0126393.1,COc1cc(C(O)C(CO)Oc2c(OC)cc(C=CCOC3OC(CO)C(O)C(O)C3O)cc2OC)ccc1O
CNP0126394.0,CCCCCCCC=CCCCCCC(=O)O
CNP0126395.0,CC1=CC(O)C2(O)C=COC(OC3OC(COC(=O)c4cc(O)c(O)c(O)c4)C(O)C(O)C3O)C12
CNP0126396.0,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
CNP0126397.1,COC1C2=C(C(=O)C(C)=C(O)C2=O)C2C3C4C(CC(C(C#N)N13)N4C)C1OCCN12
CNP0126398.0,CC(=CCCC(C)CC(=O)O)CO
CNP0126399.0,CCCCCCCC=CC(C)=O
CNP0126400.1,CCCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(C)=O
CNP0126401.1,COc1cc(C(=O)O)ccc1OC1OC(COC(=O)c2cc(O)ccc2O)C(O)C(O)C1O
CNP0126402.0,Cc1ccn2c(=O)c3cccn3c(=O)c12
CNP0126403.1,CC1C(=O)OC2CC3(C)CCCC(C)C34OC4C21
CNP0126405.1,CC1CC(=O)c2cc(O)ccc2O1
CNP0126405.2,CC1CC(=O)c2cc(O)ccc2O1
CNP0126406.1,CC1C(O)C(C)C2OC(C3(O)C=CC(=O)CC3)CC(=O)C2C1O
CNP0126407.1,CC(C)C1(O)CCC(C)(O)CC1
CNP0126407.2,CC(C)C1(O)CCC(C)(O)CC1
CNP0126408.0,CCC1(CC)C(=O)N(C)C(=O)N=C1NC
CNP0126410.1,CC(C)C(=O)C1CCC2(C)CCCC(C)(O)C12
CNP0126411.1,CC(=CC(=O)N(C)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2C(C)N(C)C)C1)C(C)C
CNP0126412.0,CC(=O)OCC1=CCCC2(C)OC2C(OC(C)=O)C(C(C)C)C(OC(C)=O)C1
CNP0126413.1,COc1cc(C(CC(=O)NC(C)c2nc3ccccc3[nH]2)c2c(O)cc3c(c2O)C(=O)OC(C)CCCC(=O)CCCC=C3)cc(OC)c1OC
CNP0126414.1,COC1=CC(C)C2CC3OC(O)CC4C(C)C(OC)C(O)C(C2(C)C1=O)C34C
CNP0126415.1,CC(C)=CCCC(C)(O)C1CCC2(C)C1CCC1C3(C=O)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC12C
CNP0126416.1,CC(=O)OC1C=C(C)C2C3CC(C)=CCC(OC(C)=O)C(C)(O)C(O3)C2C1C(C)C
CNP0126417.1,CC1(C)C=Cc2c(ccc3c2OCC2c4ccc5c(c4OC32)CC(O)C(C)(C)O5)O1
CNP0126418.0,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2Nc1ncnc2[nH]cnc12
CNP0126419.1,CCC=CCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN
CNP0126420.0,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O
CNP0126421.0,N=C(N)NCCCCCNC(=N)N
CNP0126422.0,CCCN(CCC)Cc1c(O)ccc2oc(C)c(C(=O)c3cc(OC)ccc3OC)c12
CNP0126423.0,COc1cc(C=CC(=O)O)cc2c1OCO2
CNP0126425.1,CC(C)NC(=O)N1CCCC2=CC3CC(CN4CCCCC34)C21
CNP0126426.1,CCCCCC=CCC=CCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCC(CC)C(C)C)CCC32)C1
