Fold,MAE,MSE,RMSE,R2
1,0.5999566251341374,0.5777963166836964,0.7601291447403502,0.8105319092183414
2,0.6127307349976209,0.6147973358866128,0.7840901325017506,0.7889282839953521
3,0.5850916958760136,0.5505352513288709,0.7419806273272038,0.8064292707266816
4,0.6135713597650755,0.6067388791332536,0.7789344511146324,0.796160274851776
5,0.5931486560927862,0.5573013752576338,0.7465262053388574,0.8080019495471941
