OriginalIndex,Identifier
15,CNP0000413.0
26,CNP0000616.0
27,CNP0000625.0
28,CNP0000658.0
34,CNP0000788.0
44,CNP0001365.0
51,CNP0001702.1
52,CNP0001937.1
66,CNP0002939.0
67,CNP0003133.0
69,CNP0003409.0
71,CNP0003433.1
75,CNP0003706.1
90,CNP0005392.1
109,CNP0006854.1
110,CNP0006875.1
121,CNP0008052.3
124,CNP0008430.1
128,CNP0008673.1
129,CNP0008801.1
142,CNP0009896.2
143,CNP0009913.0
151,CNP0010659.1
156,CNP0011110.1
170,CNP0012029.1
171,CNP0012034.1
178,CNP0012742.1
183,CNP0013183.2
184,CNP0013185.1
186,CNP0013405.1
191,CNP0013698.1
198,CNP0014239.1
220,CNP0016663.1
223,CNP0016771.1
228,CNP0017297.1
237,CNP0018586.1
240,CNP0018665.1
242,CNP0018700.0
243,CNP0018722.0
256,CNP0021809.1
268,CNP0023706.1
272,CNP0024347.0
273,CNP0024381.0
275,CNP0024470.3
279,CNP0025598.1
284,CNP0026185.0
287,CNP0026271.1
296,CNP0027989.0
297,CNP0028108.0
300,CNP0028592.1
307,CNP0029694.1
310,CNP0030146.2
312,CNP0030813.2
314,CNP0031113.4
320,CNP0031996.1
322,CNP0032111.1
324,CNP0032250.1
325,CNP0032351.1
326,CNP0032523.1
327,CNP0032565.0
336,CNP0034524.1
339,CNP0035104.2
343,CNP0035616.0
344,CNP0035781.0
348,CNP0036356.1
351,CNP0036693.6
363,CNP0038563.2
366,CNP0038929.0
371,CNP0039308.1
375,CNP0039804.1
377,CNP0039873.1
378,CNP0039902.3
380,CNP0040720.0
387,CNP0041811.1
397,CNP0043046.1
421,CNP0046362.1
422,CNP0046365.0
425,CNP0046604.1
430,CNP0047267.1
437,CNP0047962.0
443,CNP0048685.0
446,CNP0049064.1
452,CNP0049465.0
463,CNP0051348.0
464,CNP0051443.0
470,CNP0052088.1
471,CNP0052293.1
477,CNP0052751.1
478,CNP0052759.5
479,CNP0052779.1
491,CNP0054414.1
494,CNP0054517.2
495,CNP0054534.1
497,CNP0054589.1
501,CNP0054836.0
505,CNP0055109.4
506,CNP0055236.3
507,CNP0055268.3
534,CNP0058565.8
546,CNP0059823.1
