Fold,MAE,MSE,RMSE,R2
1,0.4962281115238763,0.4319815202159014,0.6572530108077873,0.8583467711285693
2,0.5068785019844886,0.45312410162031624,0.6731449335918055,0.8444338058912737
3,0.48806833364614244,0.4195563688396245,0.6477317105404247,0.8524820488942004
4,0.5139546185961676,0.46842589587056105,0.6844164637635195,0.8426278434588409
5,0.5040244281956607,0.4406097604211945,0.6637844231534772,0.8482038287233018
