cluster_post,UMAP_0,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11
22,9.6817255,0.39852506,1.0797747,5.700356,4.588014,4.4270053,5.01687,3.0877366,4.193957,4.605748,4.8701363,13.448298
23,9.678573,0.49457747,1.1429621,5.7060876,4.670117,4.340637,4.929969,3.1673336,4.2867656,4.68657,4.819196,13.43878
24,11.42806,1.9155192,1.2788079,10.933493,1.3621466,6.1388946,5.454946,3.3045726,1.4009416,5.202686,5.5684175,4.3646812
25,9.759325,2.2151382,1.1587106,7.2222843,3.9077451,5.087931,-0.018101333,3.9698808,7.8950305,4.6164618,1.7111518,3.951737
26,11.585411,0.14795065,1.2365934,4.481777,4.1421304,-3.4218411,4.9623723,2.904465,5.072236,4.050454,5.893858,4.978985
27,10.212528,-0.04182153,0.6660886,1.6236595,4.0337024,8.237901,4.9098916,1.8183953,7.097745,2.4801102,9.923948,7.0290456
28,10.747848,-1.1254467,0.56009746,3.089488,3.076549,9.198254,4.402728,1.7486609,7.2917194,2.0669384,10.395746,6.8460007
29,13.518592,0.14879155,1.0378414,5.0083656,5.089547,11.641854,4.9911275,3.6416352,5.649797,4.764385,5.6098266,4.14405
30,9.818956,-1.610205,1.4292938,5.1639895,3.428067,4.2170362,4.699326,2.9543939,11.08256,5.272932,9.110507,4.1896334
31,9.69412,1.1627144,1.3715831,2.8330722,4.946892,5.8465066,1.7263236,3.361998,5.8471994,4.7597184,-0.6677066,6.105864
32,10.142798,-0.21519716,1.3603022,4.697049,5.7997293,4.377681,1.4525275,4.0516295,9.999266,4.270376,2.2098484,5.66584
33,10.14118,-0.2891725,1.3672606,4.6133103,5.630942,4.451852,1.9540008,3.9672418,10.2896805,4.2442284,2.352212,5.5702767
34,7.8698864,2.198329,0.9066442,10.467167,5.355239,4.2511334,4.793377,3.045576,2.8424761,4.7979817,4.9754143,6.8555174
35,10.247283,-0.2812607,1.3193139,4.9225783,5.616943,4.5338945,3.783739,3.431518,10.104069,4.605565,-0.29988798,5.578629
36,8.560486,1.7458375,0.5381515,10.72328,2.68713,5.27828,5.7948318,2.9717903,2.1257782,4.2015133,5.6810255,6.659419
37,9.734595,0.020693723,1.3233678,4.9220166,4.2286267,3.977486,6.1975303,1.422975,7.647709,6.98681,13.792908,3.694429
38,14.584235,0.2580462,1.2030752,5.450479,5.1056147,-1.4205571,4.853752,2.796797,5.138379,4.333793,6.2686462,4.959935
39,10.132377,0.028207911,1.3712964,4.685244,5.845975,4.391617,2.8571732,3.9504864,10.356802,4.471911,1.3257965,5.5772605
40,8.671137,-1.3233615,1.2440089,2.392417,5.961454,2.4287498,8.108738,3.0631392,4.0084443,4.371773,13.229023,3.0135002
41,9.042369,1.5472903,1.5450507,3.1141777,5.72442,4.018651,4.496751,4.229431,1.2920171,3.9299147,1.3618368,4.9369664
42,8.729919,1.1886626,1.3683027,10.506247,6.7929125,5.4345455,4.8730025,3.2020516,1.9977454,4.666879,4.7391315,3.5451117
43,9.685021,0.3887501,1.2235171,5.932286,3.7559147,5.0054145,-0.07999432,4.10999,7.7535844,4.663408,1.5921462,4.323879
44,14.483785,0.37114167,1.2053682,4.680973,4.843722,-1.9520525,4.787925,2.842932,4.953837,4.378553,6.262411,5.023321
45,14.24536,0.47488788,1.2330354,4.157269,4.792171,-2.37305,4.8257585,2.7571037,5.0303903,4.3878837,6.3148565,4.985577
46,9.38437,1.7306758,1.4241438,10.714696,5.3626857,5.975213,4.4794817,2.7412064,1.415411,4.394885,5.15801,7.8769593
47,7.130321,2.4380019,0.91781133,9.886083,5.8271704,4.0710044,4.5124497,3.2712913,5.8951964,4.8443813,5.2090325,6.174018
48,9.446927,-2.4729404,1.1879258,5.0358663,-2.5517232,4.375012,6.2559867,3.3556464,4.5178323,3.0866969,5.9860096,4.902337
49,9.71651,-1.4409218,1.2187618,5.2281375,5.162696,4.9885745,4.795655,-4.1503806,2.3313181,5.0745964,3.9363668,5.0321665
50,9.509934,-1.4260936,1.3248334,4.9412155,-2.7286184,4.838407,6.2720923,3.6658728,4.0049896,2.7814333,6.5125656,4.684046
51,9.628908,-1.9917712,1.410075,5.1460767,-2.4191422,4.662024,6.1591907,3.4048634,5.0100074,2.882282,7.203084,4.641737
52,8.719352,-1.2292576,1.0889343,2.267674,6.108322,2.5595496,7.905708,3.0026286,3.8753855,4.3149304,13.187991,2.809067
53,8.744978,-1.1676439,0.95776975,2.1496663,6.3027587,2.6377206,7.7720985,2.975153,3.7107527,4.300479,13.180139,2.6275854
54,8.955482,1.1047337,1.4134792,10.07979,6.202068,4.725753,5.4330015,3.0923965,3.733175,4.0687504,5.8239107,1.5626655
55,6.729791,3.092574,0.9745803,10.2459955,5.919343,3.9685419,4.6970735,3.0044773,5.477704,5.06481,5.357965,6.1106367
