cluster_post,identifier
0,"['CNP0479927.0', 'CNP0480053.0', 'CNP0480594.0', 'CNP0482639.0', 'CNP0483595.0', 'CNP0483695.0', 'CNP0487463.0', 'CNP0489358.0', 'CNP0490633.0', 'CNP0491192.0', 'CNP0491372.0', 'CNP0491772.0', 'CNP0491816.0', 'CNP0491843.0', 'CNP0492124.0', 'CNP0493779.0', 'CNP0495020.0', 'CNP0496781.0', 'CNP0497742.0', 'CNP0499550.0', 'CNP0499610.0', 'CNP0500592.0', 'CNP0503489.0', 'CNP0504768.0', 'CNP0504778.0', 'CNP0504902.0', 'CNP0505913.0', 'CNP0506287.0', 'CNP0509474.0', 'CNP0512012.0', 'CNP0512646.0', 'CNP0512674.0', 'CNP0512708.0', 'CNP0512711.0', 'CNP0512742.0', 'CNP0513248.0', 'CNP0513307.0', 'CNP0513480.0', 'CNP0514570.0', 'CNP0514738.0', 'CNP0516334.0', 'CNP0518982.0', 'CNP0520383.0', 'CNP0520567.0', 'CNP0523355.0', 'CNP0523368.0', 'CNP0525716.0', 'CNP0525843.0', 'CNP0527057.0', 'CNP0528782.0', 'CNP0529065.0', 'CNP0530110.0', 'CNP0530162.0', 'CNP0530741.0', 'CNP0532509.0', 'CNP0532610.0', 'CNP0536247.0', 'CNP0537383.0', 'CNP0537515.0', 'CNP0538633.0', 'CNP0539187.0', 'CNP0539310.0', 'CNP0540078.0', 'CNP0540166.0', 'CNP0541979.0', 'CNP0542171.0', 'CNP0542447.0', 'CNP0546313.0', 'CNP0546425.0', 'CNP0546795.0', 'CNP0546933.0', 'CNP0547357.0', 'CNP0547943.0', 'CNP0547962.0', 'CNP0548577.0', 'CNP0549586.0', 'CNP0549616.0', 'CNP0553087.0', 'CNP0555143.0', 'CNP0557217.0', 'CNP0559134.0', 'CNP0561562.0', 'CNP0564405.0', 'CNP0564418.0', 'CNP0564969.0', 'CNP0565789.0', 'CNP0565859.0', 'CNP0566346.0', 'CNP0566975.0', 'CNP0567681.0', 'CNP0567699.0', 'CNP0567728.0', 'CNP0567729.0', 'CNP0567805.0', 'CNP0569557.0', 'CNP0570215.0', 'CNP0570232.0', 'CNP0571116.0', 'CNP0572988.0', 'CNP0573521.0', 'CNP0574028.0', 'CNP0574670.0', 'CNP0574799.0', 'CNP0575320.0', 'CNP0576344.0', 'CNP0578832.0', 'CNP0578859.0', 'CNP0579592.0', 'CNP0580714.0', 'CNP0580715.0', 'CNP0580980.0', 'CNP0581588.0', 'CNP0583697.0', 'CNP0586202.0', 'CNP0586268.0', 'CNP0587000.0', 'CNP0587753.0', 'CNP0589026.0', 'CNP0589647.0', 'CNP0589780.0', 'CNP0590452.0', 'CNP0591242.0', 'CNP0592001.0', 'CNP0594685.0', 'CNP0595454.0', 'CNP0596870.0', 'CNP0600108.0', 'CNP0601584.0', 'CNP0602318.0', 'CNP0602584.0', 'CNP0602802.0', 'CNP0603064.0', 'CNP0603290.0', 'CNP0605585.0', 'CNP0605852.0', 'CNP0605859.0']"
1,"['CNP0004192.1', 'CNP0011129.1', 'CNP0012163.1', 'CNP0012163.2', 'CNP0012164.1', 'CNP0012164.2', 'CNP0012165.1', 'CNP0012165.2', 'CNP0012166.1', 'CNP0012166.2', 'CNP0012167.1', 'CNP0012167.2', 'CNP0013164.1', 'CNP0013164.2', 'CNP0013165.1', 'CNP0013165.2', 'CNP0013177.1', 'CNP0013177.2', 'CNP0013178.1', 'CNP0013178.2', 'CNP0013192.1', 'CNP0013192.2', 'CNP0013209.1', 'CNP0013209.2', 'CNP0019129.1', 'CNP0019129.2', 'CNP0023447.1', 'CNP0026211.1', 'CNP0029052.1', 'CNP0034758.1', 'CNP0043908.1', 'CNP0043908.2', 'CNP0047201.1', 'CNP0047426.1', 'CNP0050392.1', 'CNP0053274.1', 'CNP0053335.1', 'CNP0057256.1', 'CNP0057760.1', 'CNP0059757.1', 'CNP0060543.1', 'CNP0063179.1', 'CNP0065805.1', 'CNP0078598.1', 'CNP0078598.2', 'CNP0438198.1', 'CNP0438198.2', 'CNP0438198.3', 'CNP0438825.1', 'CNP0438825.2', 'CNP0438825.3', 'CNP0441106.1', 'CNP0441106.2', 'CNP0441106.3', 'CNP0441909.1', 'CNP0441909.2', 'CNP0441909.3', 'CNP0442686.1', 'CNP0442686.2', 'CNP0442686.3', 'CNP0446500.1', 'CNP0446500.2', 'CNP0446500.3', 'CNP0447418.1', 'CNP0447418.2', 'CNP0447418.3', 'CNP0448289.1', 'CNP0448289.2', 'CNP0448289.3', 'CNP0448493.1', 'CNP0448493.2', 'CNP0448493.3', 'CNP0451005.1', 'CNP0451005.2', 'CNP0451005.3', 'CNP0451596.1', 'CNP0451596.2', 'CNP0451596.3', 'CNP0451916.1', 'CNP0451916.2', 'CNP0451916.3', 'CNP0453439.1', 'CNP0453439.2', 'CNP0453439.3', 'CNP0455315.1', 'CNP0455315.2', 'CNP0455315.3', 'CNP0457345.1', 'CNP0457345.2', 'CNP0457345.3', 'CNP0457475.1', 'CNP0457475.2', 'CNP0457475.3', 'CNP0458762.1', 'CNP0458762.2', 'CNP0458762.3', 'CNP0459974.1', 'CNP0459974.2', 'CNP0459974.3', 'CNP0461180.1', 'CNP0461180.2', 'CNP0461180.3', 'CNP0461312.1', 'CNP0461312.2', 'CNP0461312.3', 'CNP0462837.1', 'CNP0462837.2', 'CNP0462837.3', 'CNP0464260.1', 'CNP0464260.2', 'CNP0464260.3', 'CNP0465259.1', 'CNP0465259.2', 'CNP0465259.3', 'CNP0467021.1', 'CNP0467021.2', 'CNP0467021.3', 'CNP0479991.1', 'CNP0480413.1', 'CNP0483708.1', 'CNP0485617.1', 'CNP0485889.1', 'CNP0486720.1', 'CNP0486865.1', 'CNP0488317.1', 'CNP0489227.1', 'CNP0490153.1', 'CNP0490597.1', 'CNP0491766.1', 'CNP0492002.1', 'CNP0492104.1', 'CNP0492266.1', 'CNP0494141.1', 'CNP0495331.1', 'CNP0495751.1', 'CNP0497876.1', 'CNP0498006.1', 'CNP0499158.1', 'CNP0500910.1', 'CNP0501069.1', 'CNP0501952.1', 'CNP0504759.1', 'CNP0504976.1', 'CNP0504981.1', 'CNP0505679.1', 'CNP0506507.1', 'CNP0507115.1', 'CNP0507159.1', 'CNP0508679.1', 'CNP0508982.1', 'CNP0510391.1', 'CNP0513382.1', 'CNP0514001.0', 'CNP0514478.1', 'CNP0516598.1', 'CNP0517409.1', 'CNP0517466.1', 'CNP0517822.1', 'CNP0519137.1', 'CNP0519492.1', 'CNP0522791.0', 'CNP0525741.1', 'CNP0526646.1', 'CNP0527822.1', 'CNP0528033.1', 'CNP0528819.1', 'CNP0530006.1', 'CNP0533466.1', 'CNP0533466.2', 'CNP0535939.0', 'CNP0538407.1', 'CNP0539686.1', 'CNP0541775.1', 'CNP0545027.1', 'CNP0545490.1', 'CNP0545658.1', 'CNP0549327.1', 'CNP0549533.1', 'CNP0549724.1', 'CNP0551601.1', 'CNP0551616.1', 'CNP0552430.1', 'CNP0552738.1', 'CNP0553586.1', 'CNP0553887.1', 'CNP0554281.1', 'CNP0555295.1', 'CNP0556764.1', 'CNP0557055.1', 'CNP0557457.1', 'CNP0558421.1', 'CNP0558995.1', 'CNP0559781.1', 'CNP0559903.1', 'CNP0560603.1', 'CNP0561293.1', 'CNP0561329.1', 'CNP0562263.0', 'CNP0565208.1', 'CNP0565563.1', 'CNP0565746.1', 'CNP0566303.1', 'CNP0567346.1', 'CNP0567748.1', 'CNP0567829.1', 'CNP0567890.1', 'CNP0568293.1', 'CNP0569356.1', 'CNP0569362.1', 'CNP0569520.1', 'CNP0569534.1', 'CNP0572931.1', 'CNP0574411.1', 'CNP0575027.1', 'CNP0575397.1', 'CNP0577957.1', 'CNP0579717.1', 'CNP0580963.1', 'CNP0581744.1', 'CNP0584704.1', 'CNP0587437.1', 'CNP0588017.1', 'CNP0588324.1', 'CNP0590044.1', 'CNP0593171.1', 'CNP0595684.1', 'CNP0596097.1', 'CNP0599911.1', 'CNP0600039.1', 'CNP0600071.1', 'CNP0601887.1', 'CNP0602166.1', 'CNP0603740.1', 'CNP0604125.1', 'CNP0083517.1', 'CNP0102831.1', 'CNP0131675.1', 'CNP0131675.2', 'CNP0132418.1', 'CNP0141594.1', 'CNP0150378.1', 'CNP0150378.2', 'CNP0243107.1', 'CNP0243107.2', 'CNP0256495.1', 'CNP0256495.2', 'CNP0279073.1', 'CNP0299114.1', 'CNP0312030.1', 'CNP0312030.2', 'CNP0318008.1', 'CNP0318784.1', 'CNP0338145.1', 'CNP0362652.1', 'CNP0362652.2', 'CNP0369100.1']"
2,"['CNP0393502.1', 'CNP0420230.1', 'CNP0480355.1', 'CNP0481722.1', 'CNP0482117.1', 'CNP0483322.1', 'CNP0483586.1', 'CNP0484964.1', 'CNP0485372.1', 'CNP0486587.1', 'CNP0488213.1', 'CNP0488225.1', 'CNP0488325.1', 'CNP0489437.1', 'CNP0489957.1', 'CNP0490411.1', 'CNP0490698.1', 'CNP0490888.1', 'CNP0491928.1', 'CNP0492709.1', 'CNP0492878.1', 'CNP0494271.1', 'CNP0494334.1', 'CNP0496087.1', 'CNP0496106.1', 'CNP0496604.1', 'CNP0496620.1', 'CNP0498396.1', 'CNP0498974.1', 'CNP0499656.1', 'CNP0500112.1', 'CNP0501399.1', 'CNP0501513.1', 'CNP0501621.1', 'CNP0501682.1', 'CNP0501825.1', 'CNP0502148.1', 'CNP0503671.1', 'CNP0504155.1', 'CNP0505492.1', 'CNP0505694.1', 'CNP0506862.1', 'CNP0507390.1', 'CNP0508693.1', 'CNP0510176.1', 'CNP0510207.1', 'CNP0510386.1', 'CNP0510583.1', 'CNP0510934.1', 'CNP0510961.1', 'CNP0511503.1', 'CNP0511699.1', 'CNP0511776.1', 'CNP0513184.1', 'CNP0514073.1', 'CNP0515902.1', 'CNP0515947.1', 'CNP0516670.1', 'CNP0517482.1', 'CNP0517536.1', 'CNP0517538.1', 'CNP0519909.1', 'CNP0520025.1', 'CNP0520148.1', 'CNP0520170.1', 'CNP0520220.1', 'CNP0522160.1', 'CNP0522656.1', 'CNP0522794.1', 'CNP0523390.1', 'CNP0524289.1', 'CNP0528829.1', 'CNP0528842.1', 'CNP0529073.1', 'CNP0529766.1', 'CNP0531144.1', 'CNP0531528.1', 'CNP0531601.1', 'CNP0531814.1', 'CNP0531868.1', 'CNP0533517.1', 'CNP0534744.1', 'CNP0534831.1', 'CNP0535152.1', 'CNP0535156.1', 'CNP0535489.1', 'CNP0536258.1', 'CNP0538198.1', 'CNP0539286.1', 'CNP0540319.1', 'CNP0541628.1', 'CNP0541984.1', 'CNP0542822.1', 'CNP0542916.1', 'CNP0543294.1', 'CNP0543426.1', 'CNP0543468.1', 'CNP0543585.1', 'CNP0544550.1', 'CNP0544891.1', 'CNP0545094.1', 'CNP0545286.1', 'CNP0548161.1', 'CNP0549516.1', 'CNP0550622.1', 'CNP0550866.1', 'CNP0550891.1', 'CNP0550933.1', 'CNP0551359.1', 'CNP0551753.1', 'CNP0552227.1', 'CNP0552639.1', 'CNP0552951.1', 'CNP0553142.1', 'CNP0553894.1', 'CNP0554132.1', 'CNP0556206.1', 'CNP0556390.1', 'CNP0556392.1', 'CNP0556418.1', 'CNP0556817.1', 'CNP0557352.1', 'CNP0557707.1', 'CNP0557945.1', 'CNP0558970.1', 'CNP0559147.1', 'CNP0559275.1', 'CNP0560035.1', 'CNP0560036.1', 'CNP0560427.1', 'CNP0560433.1', 'CNP0561097.1', 'CNP0561754.1', 'CNP0562304.1', 'CNP0562351.1', 'CNP0562883.1', 'CNP0563103.1', 'CNP0563144.1', 'CNP0563986.1', 'CNP0565392.1', 'CNP0566043.1', 'CNP0566887.1', 'CNP0567425.1', 'CNP0568263.1', 'CNP0568522.1', 'CNP0568545.1', 'CNP0572097.1', 'CNP0572973.1', 'CNP0573920.1', 'CNP0573924.1', 'CNP0574260.1', 'CNP0574447.1', 'CNP0577145.1', 'CNP0580247.1', 'CNP0580593.1', 'CNP0580996.1', 'CNP0583457.1', 'CNP0584068.1', 'CNP0584506.1', 'CNP0585033.1', 'CNP0585803.1', 'CNP0586339.1', 'CNP0588476.1', 'CNP0588652.1', 'CNP0589539.1', 'CNP0590027.1', 'CNP0590266.1', 'CNP0590267.1', 'CNP0590845.1', 'CNP0591001.1', 'CNP0591924.1', 'CNP0592105.1', 'CNP0592887.1', 'CNP0593364.1', 'CNP0594280.1', 'CNP0594304.1', 'CNP0594491.1', 'CNP0596914.1', 'CNP0596942.1', 'CNP0599041.1', 'CNP0599960.1', 'CNP0600118.1', 'CNP0600494.1', 'CNP0602358.1', 'CNP0602383.1', 'CNP0602676.1', 'CNP0603442.1', 'CNP0603449.1', 'CNP0605662.1', 'CNP0606490.1', 'CNP0352208.1']"
3,"['CNP0002044.1', 'CNP0002045.1', 'CNP0002046.1', 'CNP0022094.1', 'CNP0023180.1', 'CNP0023224.1', 'CNP0023489.1', 'CNP0023525.1', 'CNP0023831.1', 'CNP0023919.1', 'CNP0023997.1', 'CNP0025434.1', 'CNP0025441.1', 'CNP0025726.1', 'CNP0025986.1', 'CNP0026423.1', 'CNP0028672.1', 'CNP0032108.1', 'CNP0032391.1', 'CNP0035005.1', 'CNP0035607.1', 'CNP0037492.1', 'CNP0038037.1', 'CNP0038070.1', 'CNP0038314.1', 'CNP0038810.1', 'CNP0039931.1', 'CNP0040591.1', 'CNP0041019.1', 'CNP0042825.1', 'CNP0042825.2', 'CNP0043130.1', 'CNP0043180.1', 'CNP0043514.1', 'CNP0043815.1', 'CNP0044292.1', 'CNP0044586.1', 'CNP0045556.1', 'CNP0045771.1', 'CNP0046066.1', 'CNP0047036.1', 'CNP0047296.1', 'CNP0047495.1', 'CNP0050652.1', 'CNP0052442.1', 'CNP0052961.1', 'CNP0055091.1', 'CNP0056167.1', 'CNP0058130.1', 'CNP0058584.1', 'CNP0058972.1', 'CNP0059383.1', 'CNP0059872.1', 'CNP0063413.1', 'CNP0063660.1', 'CNP0065667.1', 'CNP0066154.1', 'CNP0066950.1', 'CNP0068701.1', 'CNP0070716.1', 'CNP0070829.1', 'CNP0073969.1', 'CNP0077795.1', 'CNP0380929.1', 'CNP0382137.1', 'CNP0382973.1', 'CNP0403236.1', 'CNP0420269.1', 'CNP0085147.1', 'CNP0094659.1', 'CNP0097658.1', 'CNP0129545.1', 'CNP0139472.1', 'CNP0144127.1', 'CNP0144458.1', 'CNP0147740.1', 'CNP0151161.1', 'CNP0154909.1', 'CNP0184422.1', 'CNP0194486.1', 'CNP0195892.1', 'CNP0201809.1', 'CNP0223110.1', 'CNP0225513.1', 'CNP0229461.1', 'CNP0236230.1', 'CNP0242348.1', 'CNP0246222.1', 'CNP0248131.1', 'CNP0250830.1', 'CNP0257156.1', 'CNP0272372.1', 'CNP0281265.1', 'CNP0281668.1', 'CNP0285890.1', 'CNP0290298.1', 'CNP0291571.1', 'CNP0296151.1', 'CNP0297927.1', 'CNP0306707.1', 'CNP0306987.1', 'CNP0312853.1', 'CNP0314773.1', 'CNP0319422.1', 'CNP0338447.1']"
4,"['CNP0072098.1', 'CNP0072098.2', 'CNP0072661.1', 'CNP0072661.2', 'CNP0072661.3', 'CNP0072662.1', 'CNP0072662.2', 'CNP0072662.3', 'CNP0072662.4', 'CNP0389903.1', 'CNP0389903.2', 'CNP0402854.1', 'CNP0413286.1', 'CNP0413286.2', 'CNP0416875.1', 'CNP0416875.2', 'CNP0417630.1', 'CNP0418279.1', 'CNP0418443.1', 'CNP0419161.1', 'CNP0421492.1', 'CNP0421492.2', 'CNP0422074.1', 'CNP0423277.1', 'CNP0423277.2', 'CNP0431468.1', 'CNP0450094.1', 'CNP0450094.2', 'CNP0599637.1', 'CNP0088313.1', 'CNP0088313.2', 'CNP0090275.1', 'CNP0090275.2', 'CNP0090800.1', 'CNP0090800.2', 'CNP0090911.1', 'CNP0090911.2', 'CNP0091038.1', 'CNP0092282.1', 'CNP0093069.1', 'CNP0093069.2', 'CNP0093467.1', 'CNP0094205.1', 'CNP0094602.1', 'CNP0094602.2', 'CNP0095065.1', 'CNP0095808.1', 'CNP0095808.2', 'CNP0096538.1', 'CNP0096538.2', 'CNP0099627.1', 'CNP0100119.1', 'CNP0100119.2', 'CNP0100644.1', 'CNP0100644.2', 'CNP0101263.1', 'CNP0102147.1', 'CNP0102161.1', 'CNP0102161.2', 'CNP0118845.1', 'CNP0124796.1', 'CNP0124796.2', 'CNP0128280.1', 'CNP0130966.1', 'CNP0131631.1', 'CNP0133518.1', 'CNP0133546.1', 'CNP0133546.2', 'CNP0135373.1', 'CNP0135373.2', 'CNP0135373.3', 'CNP0135644.1', 'CNP0153922.1', 'CNP0156533.1', 'CNP0156533.2', 'CNP0181535.1', 'CNP0184079.1', 'CNP0184079.2', 'CNP0198445.1', 'CNP0198623.1', 'CNP0198623.2', 'CNP0227777.1', 'CNP0228725.0', 'CNP0230504.1', 'CNP0239014.1', 'CNP0239557.1', 'CNP0239557.2', 'CNP0239557.3', 'CNP0239557.4', 'CNP0239557.5', 'CNP0239557.6', 'CNP0239557.7', 'CNP0239557.8', 'CNP0239557.9', 'CNP0240014.1', 'CNP0255653.1', 'CNP0255653.2', 'CNP0265534.1', 'CNP0276424.1', 'CNP0276424.2', 'CNP0283301.1', 'CNP0283301.2', 'CNP0283303.1', 'CNP0296956.1', 'CNP0300997.1', 'CNP0300997.2', 'CNP0313350.1', 'CNP0313350.2', 'CNP0322219.1', 'CNP0345648.1', 'CNP0352655.1', 'CNP0352655.2', 'CNP0361544.1', 'CNP0361544.2', 'CNP0363608.1', 'CNP0368387.1', 'CNP0368387.2', 'CNP0372029.1']"
5,"['CNP0480146.2', 'CNP0480652.1', 'CNP0480652.2', 'CNP0480709.2', 'CNP0481410.1', 'CNP0481410.2', 'CNP0481753.1', 'CNP0481753.2', 'CNP0482629.2', 'CNP0484268.1', 'CNP0486148.1', 'CNP0486148.2', 'CNP0486226.1', 'CNP0486228.1', 'CNP0486228.2', 'CNP0486396.1', 'CNP0486396.2', 'CNP0489090.1', 'CNP0490941.2', 'CNP0490966.1', 'CNP0492714.1', 'CNP0492714.2', 'CNP0492720.2', 'CNP0494402.1', 'CNP0494402.2', 'CNP0495375.1', 'CNP0495695.1', 'CNP0495695.2', 'CNP0497273.1', 'CNP0497527.1', 'CNP0497527.2', 'CNP0497998.1', 'CNP0498085.1', 'CNP0498085.2', 'CNP0498442.1', 'CNP0498442.2', 'CNP0498977.1', 'CNP0498977.2', 'CNP0501368.1', 'CNP0501368.2', 'CNP0505943.1', 'CNP0505943.2', 'CNP0507078.1', 'CNP0507078.2', 'CNP0507610.1', 'CNP0507824.1', 'CNP0509133.1', 'CNP0509936.1', 'CNP0509936.2', 'CNP0510181.1', 'CNP0510188.1', 'CNP0510188.2', 'CNP0510854.1', 'CNP0510854.2', 'CNP0511475.1', 'CNP0513798.2', 'CNP0514955.1', 'CNP0514955.2', 'CNP0515733.1', 'CNP0516198.1', 'CNP0516198.2', 'CNP0516724.2', 'CNP0519597.1', 'CNP0523211.1', 'CNP0523211.2', 'CNP0524381.1', 'CNP0524381.2', 'CNP0525581.1', 'CNP0525581.2', 'CNP0525884.1', 'CNP0525983.2', 'CNP0527500.1', 'CNP0527500.2', 'CNP0530765.1', 'CNP0530765.2', 'CNP0531535.2', 'CNP0532122.1', 'CNP0532891.1', 'CNP0533289.1', 'CNP0533289.2', 'CNP0533455.2', 'CNP0534812.1', 'CNP0534812.2', 'CNP0534887.1', 'CNP0534887.2', 'CNP0535733.1', 'CNP0535733.2', 'CNP0535942.1', 'CNP0535942.2', 'CNP0540935.1', 'CNP0540935.2', 'CNP0543370.1', 'CNP0543370.2', 'CNP0543942.1', 'CNP0543942.2', 'CNP0543964.1', 'CNP0543964.2', 'CNP0544317.1', 'CNP0544317.2', 'CNP0544809.1', 'CNP0544977.2', 'CNP0545343.1', 'CNP0545343.2', 'CNP0545429.1', 'CNP0545429.2', 'CNP0545829.1', 'CNP0549400.1', 'CNP0549400.2', 'CNP0549909.1', 'CNP0549909.2', 'CNP0550098.1', 'CNP0550098.2', 'CNP0550592.1', 'CNP0551561.1', 'CNP0551561.2', 'CNP0551740.1', 'CNP0553343.1', 'CNP0553343.2', 'CNP0553508.1', 'CNP0553508.2', 'CNP0557360.2', 'CNP0558674.1', 'CNP0558674.2', 'CNP0559477.1', 'CNP0561089.1', 'CNP0562199.2', 'CNP0562515.1', 'CNP0562515.2', 'CNP0562748.1', 'CNP0562748.2', 'CNP0564344.1', 'CNP0564354.1', 'CNP0566528.1', 'CNP0566571.1', 'CNP0566571.2', 'CNP0567294.1', 'CNP0567294.2', 'CNP0567310.1', 'CNP0567466.1', 'CNP0567466.2', 'CNP0567807.1', 'CNP0567807.2', 'CNP0569077.2', 'CNP0570136.2', 'CNP0571255.1', 'CNP0571255.2', 'CNP0571373.1', 'CNP0574513.1', 'CNP0574513.2', 'CNP0574603.1', 'CNP0574603.2', 'CNP0574940.1', 'CNP0574940.2', 'CNP0575793.1', 'CNP0575793.2', 'CNP0578621.1', 'CNP0578621.2', 'CNP0580647.1', 'CNP0581632.1', 'CNP0581632.2', 'CNP0583257.1', 'CNP0586220.1', 'CNP0586220.2', 'CNP0586808.1', 'CNP0586808.2', 'CNP0588357.1', 'CNP0588357.2', 'CNP0589558.2', 'CNP0590270.1', 'CNP0590270.2', 'CNP0590981.1', 'CNP0593150.2', 'CNP0595944.1', 'CNP0599378.1', 'CNP0599378.2', 'CNP0599934.1', 'CNP0599934.2', 'CNP0601069.1', 'CNP0601069.2', 'CNP0602308.1', 'CNP0605629.1', 'CNP0605629.2', 'CNP0606146.1', 'CNP0606146.2']"
6,"['CNP0480401.1', 'CNP0480401.2', 'CNP0482045.1', 'CNP0482045.2', 'CNP0482630.1', 'CNP0482630.2', 'CNP0485215.1', 'CNP0485215.2', 'CNP0487903.1', 'CNP0487903.2', 'CNP0489990.1', 'CNP0489990.2', 'CNP0490281.1', 'CNP0490281.2', 'CNP0492123.1', 'CNP0492123.2', 'CNP0493368.1', 'CNP0493368.2', 'CNP0495471.1', 'CNP0495471.2', 'CNP0496163.1', 'CNP0496163.2', 'CNP0497294.2', 'CNP0499275.1', 'CNP0499275.2', 'CNP0499741.1', 'CNP0499741.2', 'CNP0502150.1', 'CNP0502150.2', 'CNP0503245.1', 'CNP0503245.2', 'CNP0503627.2', 'CNP0504808.1', 'CNP0504808.2', 'CNP0504812.1', 'CNP0504812.2', 'CNP0505974.1', 'CNP0505974.2', 'CNP0506296.1', 'CNP0506324.2', 'CNP0506534.1', 'CNP0506534.2', 'CNP0507658.1', 'CNP0507658.2', 'CNP0507707.1', 'CNP0507707.2', 'CNP0509910.1', 'CNP0509910.2', 'CNP0510103.2', 'CNP0510132.1', 'CNP0510132.2', 'CNP0510302.1', 'CNP0510302.2', 'CNP0510673.1', 'CNP0510673.2', 'CNP0510908.1', 'CNP0510908.2', 'CNP0511400.1', 'CNP0511400.2', 'CNP0511723.1', 'CNP0511723.2', 'CNP0513471.1', 'CNP0513471.2', 'CNP0515611.1', 'CNP0515611.2', 'CNP0515957.1', 'CNP0515957.2', 'CNP0516213.1', 'CNP0516213.2', 'CNP0516951.1', 'CNP0516951.2', 'CNP0518320.1', 'CNP0518320.2', 'CNP0520548.1', 'CNP0520548.2', 'CNP0524593.1', 'CNP0524593.2', 'CNP0525997.1', 'CNP0525997.2', 'CNP0529724.1', 'CNP0529724.2', 'CNP0531979.1', 'CNP0531979.2', 'CNP0532066.1', 'CNP0532066.2', 'CNP0532882.1', 'CNP0532882.2', 'CNP0533762.1', 'CNP0533762.2', 'CNP0533982.1', 'CNP0533982.2', 'CNP0536438.1', 'CNP0536438.2', 'CNP0539128.1', 'CNP0539128.2', 'CNP0540932.1', 'CNP0540932.2', 'CNP0542895.1', 'CNP0543251.1', 'CNP0543251.2', 'CNP0543385.1', 'CNP0543385.2', 'CNP0543941.1', 'CNP0543941.2', 'CNP0544088.1', 'CNP0544088.2', 'CNP0544282.1', 'CNP0544282.2', 'CNP0544357.1', 'CNP0544482.1', 'CNP0544482.2', 'CNP0545589.1', 'CNP0545630.1', 'CNP0545630.2', 'CNP0545964.2', 'CNP0547652.1', 'CNP0547652.2', 'CNP0547856.1', 'CNP0547856.2', 'CNP0549418.1', 'CNP0549418.2', 'CNP0549653.1', 'CNP0549653.2', 'CNP0550237.1', 'CNP0550237.2', 'CNP0552840.1', 'CNP0554031.1', 'CNP0554031.2', 'CNP0554278.1', 'CNP0554278.2', 'CNP0554449.1', 'CNP0554449.2', 'CNP0554607.1', 'CNP0554607.2', 'CNP0561375.1', 'CNP0563437.1', 'CNP0563437.2', 'CNP0564067.1', 'CNP0565010.1', 'CNP0565010.2', 'CNP0565685.1', 'CNP0565685.2', 'CNP0565878.1', 'CNP0565878.2', 'CNP0567939.1', 'CNP0567939.2', 'CNP0568952.1', 'CNP0568952.2', 'CNP0570492.1', 'CNP0570492.2', 'CNP0571217.1', 'CNP0571217.2', 'CNP0571363.1', 'CNP0571363.2', 'CNP0571367.2', 'CNP0572693.1', 'CNP0572693.2', 'CNP0572839.1', 'CNP0572839.2', 'CNP0572892.1', 'CNP0572892.2', 'CNP0574471.1', 'CNP0574471.2', 'CNP0577766.1', 'CNP0577766.2', 'CNP0577829.1', 'CNP0577829.2', 'CNP0579213.1', 'CNP0579213.2', 'CNP0579361.1', 'CNP0579361.2', 'CNP0581247.1', 'CNP0582716.1', 'CNP0582716.2', 'CNP0585012.1', 'CNP0585012.2', 'CNP0586254.1', 'CNP0586254.2', 'CNP0586938.2', 'CNP0587031.1', 'CNP0587031.2', 'CNP0588151.1', 'CNP0588151.2', 'CNP0594442.1', 'CNP0594442.2', 'CNP0598803.1', 'CNP0600664.1', 'CNP0600664.2', 'CNP0601162.1', 'CNP0601162.2', 'CNP0603909.1', 'CNP0603909.2', 'CNP0605685.1', 'CNP0605685.2']"
