iter	Passed	Remaining
400	9878	2438
401	9893	2411
402	9906	2384
403	9919	2357
404	9933	2330
405	9949	2303
406	9965	2277
407	9980	2250
408	9994	2223
409	10007	2196
410	10019	2169
411	10031	2142
412	10043	2115
413	10055	2088
414	10067	2062
415	10079	2035
416	10091	2008
417	10103	1981
418	10116	1955
419	10129	1929
420	10142	1903
421	10155	1877
422	10168	1850
423	10179	1824
424	10192	1798
425	10205	1772
426	10218	1746
427	10232	1721
428	10245	1695
429	10258	1670
430	10271	1644
431	10284	1618
432	10295	1593
433	10307	1567
434	10319	1541
435	10332	1516
436	10346	1491
437	10360	1466
438	10374	1441
439	10386	1416
440	10397	1391
441	10408	1365
442	10421	1340
443	10433	1315
444	10444	1290
445	10458	1266
446	10472	1241
447	10486	1217
448	10499	1192
449	10513	1168
450	10526	1143
451	10540	1119
452	10552	1094
453	10564	1070
454	10577	1046
455	10591	1021
456	10604	997
457	10617	973
458	10631	949
459	10645	925
460	10659	901
461	10672	877
462	10687	854
463	10701	830
464	10716	806
465	10730	782
466	10743	759
467	10758	735
468	10771	711
469	10784	688
470	10797	664
471	10812	641
472	10827	618
473	10842	594
474	10857	571
475	10871	548
476	10888	525
477	10905	501
478	10921	478
479	10936	455
480	10952	432
481	10967	409
482	10983	386
483	10997	363
484	11012	340
485	11028	317
486	11044	294
487	11059	271
488	11073	249
489	11088	226
490	11100	203
491	11114	180
492	11127	157
493	11142	135
494	11157	112
495	11180	90
496	11195	67
497	11207	45
498	11220	22
499	11233	0
