iter	RMSE
127	0.5972681078
128	0.5964571201
129	0.5954950189
130	0.5945419953
131	0.5939312859
132	0.5927459209
133	0.5918996027
134	0.5913930918
135	0.5910338214
136	0.5901372124
137	0.5894427652
138	0.5889153139
139	0.5883037298
140	0.5873645625
141	0.5867104343
142	0.5860532471
143	0.5853524859
144	0.5843729248
145	0.5838234431
146	0.5833302417
147	0.5822911016
148	0.5817600516
149	0.5811184297
150	0.580283184
151	0.5792999923
152	0.5782252771
153	0.5773709182
154	0.5768601414
155	0.5762756225
156	0.575639397
157	0.5751470373
158	0.5744137208
159	0.5733680694
160	0.5727894464
161	0.5721107264
162	0.5714011328
163	0.5705833802
164	0.5697095578
165	0.5689951637
166	0.5686070791
167	0.5680591642
168	0.5674139043
169	0.5669734931
170	0.5663985024
171	0.5657020576
172	0.5652049018
173	0.5646189099
174	0.5640185857
175	0.5628938288
176	0.5625310643
177	0.5619228217
178	0.5613710301
179	0.5609594389
180	0.560591629
181	0.5599698243
182	0.5596461355
183	0.559050361
184	0.5584638948
185	0.557647763
186	0.5569505793
187	0.5563739685
188	0.5558065816
189	0.5551458724
190	0.5544919524
191	0.5539832324
192	0.5535868507
193	0.5530306237
194	0.5525310111
195	0.5517833539
196	0.5512564108
197	0.5507628872
198	0.5499525372
199	0.5491922932
200	0.5487661405
201	0.5481825913
202	0.5478945413
203	0.5471116088
204	0.546451927
205	0.5458386478
206	0.5454062695
207	0.5445942818
208	0.544143522
209	0.5433625498
210	0.5428121655
211	0.5422104214
212	0.5414559373
213	0.5410717755
214	0.5407278669
215	0.5400886601
216	0.5395059331
217	0.5388271511
218	0.5383388499
219	0.5378348819
220	0.5374578004
221	0.5369727368
222	0.5364873273
223	0.5355673443
224	0.5349560816
225	0.534375475
226	0.5337513725
227	0.5332265873
228	0.5324635705
229	0.5317334899
230	0.5311243943
231	0.5305820514
232	0.5302146254
233	0.5295455713
234	0.5290842344
235	0.5285826988
236	0.5281872579
237	0.5276383358
238	0.5271612015
239	0.5266394695
240	0.5259395909
241	0.5253603278
242	0.5245271113
243	0.5239145191
244	0.5233765983
245	0.5226532508
246	0.5224375678
247	0.5219328564
248	0.5213464728
249	0.5211055254
250	0.5206463225
251	0.5198939611
252	0.5193324863
253	0.5187407566
254	0.5181243382
255	0.5173928364
256	0.5168504274
257	0.5164345123
258	0.5159984876
259	0.5155108868
260	0.5152792516
261	0.5148263551
262	0.5142572592
263	0.5136161947
264	0.5132980641
265	0.5127349027
266	0.5123781658
267	0.5118389427
268	0.5115163061
269	0.5108390352
270	0.510155226
271	0.5096726614
272	0.50901495
273	0.5084593114
274	0.5079525125
275	0.507409518
276	0.5072705044
277	0.5070027478
278	0.5064205419
279	0.5061664483
280	0.5057291546
281	0.5049876504
282	0.5047459705
283	0.5042754551
284	0.5039099077
285	0.5035778106
286	0.5032919986
287	0.502803582
288	0.5023354625
289	0.5016792469
290	0.5010890846
291	0.5009006902
292	0.500629631
293	0.5000754137
294	0.4994389092
295	0.4992090553
296	0.498850097
297	0.498384777
298	0.4981754559
299	0.497733648
300	0.4972219684
301	0.496746383
302	0.4963568699
303	0.4956873805
304	0.4952972447
305	0.4947846835
306	0.4944228285
307	0.4936911286
308	0.4930631601
309	0.4928630433
310	0.4924524901
311	0.4922698394
312	0.492161939
313	0.4919442088
314	0.4915613026
315	0.4908135181
316	0.4904207925
317	0.4900258377
318	0.4895473861
319	0.4888959172
320	0.4888449955
321	0.4883492676
322	0.4880564715
323	0.4876327089
324	0.4873927604
325	0.4871546179
326	0.4865665048
327	0.4861526327
328	0.4856005567
329	0.4853106182
330	0.4847406906
331	0.4841987423
332	0.4838207263
333	0.483259743
334	0.4828982362
335	0.4823746502
336	0.4822308698
337	0.4817854779
338	0.4814710126
339	0.4809957569
340	0.4806863177
341	0.4802794745
342	0.4798518954
343	0.4796224701
344	0.4791228007
345	0.4787875321
346	0.4783652532
347	0.4779774463
348	0.4775178498
349	0.4768980321
350	0.4767014351
351	0.476094573
352	0.4757764677
353	0.4756901867
354	0.4751726111
355	0.4744718489
356	0.4742111705
357	0.4738338579
358	0.4733153711
359	0.4727935248
360	0.4722766851
361	0.4720110731
362	0.4715916064
363	0.4715449733
364	0.4712821708
365	0.4708845048
366	0.4703773887
367	0.4698954008
368	0.4692828175
369	0.4692255905
370	0.4688538847
371	0.4685713057
372	0.468355751
373	0.467774694
374	0.4673554147
375	0.4669613717
376	0.4664048426
377	0.4660999193
378	0.4656406837
379	0.4653940334
380	0.465040961
381	0.4645801254
382	0.4643721447
383	0.4639520908
384	0.4636038732
385	0.4631774138
386	0.4625649031
387	0.4622586101
388	0.4621807718
389	0.4619053064
390	0.4618526811
391	0.4614449498
392	0.4611877193
393	0.4606107673
394	0.460232677
395	0.4598364726
396	0.4593343755
397	0.458842257
398	0.4584376574
399	0.4579692596
400	0.4574332743
401	0.4569555306
402	0.4568359306
403	0.4564121355
404	0.4560152887
405	0.4555553742
406	0.4554678485
407	0.4549986455
408	0.4543845035
409	0.4539045646
410	0.4535771094
411	0.4532551815
412	0.4529245285
413	0.4525310309
414	0.4523697046
415	0.4520707661
416	0.4517142799
417	0.4513660474
418	0.4508986141
419	0.4505363214
420	0.4502663674
421	0.4499078864
422	0.4494374086
423	0.4489723461
424	0.4484599836
425	0.448032573
426	0.4475570884
427	0.4471420355
428	0.4468237396
429	0.4463009177
430	0.4458014186
431	0.4454327196
432	0.4451212678
433	0.4448344694
434	0.4445472349
435	0.4440909753
436	0.4436166282
437	0.4433023025
438	0.4430074884
439	0.4426660086
440	0.4422435274
441	0.4421400702
442	0.4417350326
443	0.4413013838
444	0.4407295617
445	0.4403408224
446	0.4400637538
447	0.4398121478
448	0.439317612
449	0.4391165642
450	0.4387653362
451	0.4384116808
452	0.4381910601
453	0.4378869678
454	0.4374458175
455	0.4371136937
456	0.4368685234
457	0.4366706867
458	0.4363951728
459	0.4362159047
460	0.4358066359
461	0.435587303
462	0.4352281483
463	0.4349569244
464	0.4346128023
465	0.4344387779
466	0.43426568
467	0.4338930009
468	0.4335618229
469	0.4333347458
470	0.4329424661
471	0.4326875392
472	0.4323732613
473	0.4318759056
474	0.4314695189
475	0.4310456134
476	0.4306055316
477	0.4302284893
478	0.4298119827
479	0.4295474462
480	0.4294358406
481	0.429117169
482	0.4287190878
483	0.4283107291
484	0.4278584681
485	0.427435327
486	0.4270960823
487	0.4268204053
488	0.4265772331
489	0.4263079818
490	0.4259587837
491	0.4257121164
492	0.4254167212
493	0.4251562859
494	0.4248804176
495	0.4246248342
496	0.4241724418
497	0.4239398416
498	0.4237295043
499	0.4233344445
