iter	RMSE
0	1.654402315
1	1.595376406
2	1.540386083
3	1.487399167
4	1.437120603
5	1.392301263
6	1.350090148
7	1.309359957
8	1.271800485
9	1.235295391
10	1.201402141
11	1.170023307
12	1.140523771
13	1.112478057
14	1.085233582
15	1.060895423
16	1.035887346
17	1.014237965
18	0.9929381169
19	0.9732726605
20	0.9552808017
21	0.937705524
22	0.9218122192
23	0.9075057171
24	0.8930868348
25	0.8802062858
26	0.8676061431
27	0.8554562094
28	0.8446251415
29	0.8342299848
30	0.8238355136
31	0.8151239976
32	0.8058795159
33	0.7976419616
34	0.7902724449
35	0.7829609348
36	0.7763680768
37	0.7690475691
38	0.7631569151
39	0.757071015
40	0.750984141
41	0.7460205287
42	0.7408152283
43	0.7367059742
44	0.7321114848
45	0.7280054022
46	0.72374682
47	0.7193538965
48	0.7155547166
49	0.7118224312
50	0.7078678328
51	0.704390716
52	0.7012783394
53	0.6981420033
54	0.6950388772
55	0.692595844
56	0.6894369494
57	0.6868163139
58	0.6843244904
59	0.6819422194
60	0.6793109502
61	0.6767344058
62	0.6748123914
63	0.6724375404
64	0.6698781337
65	0.6677143999
66	0.6655712789
67	0.6635719907
68	0.6615681743
69	0.6596300969
70	0.6577822775
71	0.6564197404
72	0.6547799059
73	0.653743948
74	0.6523624611
75	0.650637832
76	0.6490870617
77	0.64741394
78	0.6461725076
79	0.6450109948
80	0.6434848275
81	0.6416775645
82	0.6405014746
83	0.6390014473
84	0.6373665042
85	0.6362685827
86	0.6349664007
87	0.6336490865
88	0.6322449708
89	0.6309726681
90	0.6299575825
91	0.6293328487
92	0.6283332007
93	0.6273781452
94	0.6265349716
95	0.6252155665
96	0.6243247983
97	0.6234670787
98	0.6225474954
99	0.6215716197
100	0.6205253319
101	0.6195855541
102	0.6186786887
103	0.6174533368
104	0.6165447445
105	0.6158915319
106	0.6149934643
107	0.6139311134
108	0.6129507521
109	0.6118473007
110	0.6110175795
111	0.610374426
112	0.6097337246
113	0.6090548981
114	0.6082221193
115	0.6074410741
116	0.6067291847
117	0.60550345
118	0.6050065454
119	0.6042578751
120	0.603333422
121	0.602641498
122	0.6017994901
123	0.6008361283
124	0.5999459157
125	0.5990275957
126	0.5981837695
