SMILES,PredictionsNuclear Response_NR-AR,Probability_Nuclear Response_NR-AR,Interpretation_Nuclear Response_NR-AR,PredictionsNuclear Response_NR-AR-LBD,Probability_Nuclear Response_NR-AR-LBD,Interpretation_Nuclear Response_NR-AR-LBD,PredictionsNuclear Response_NR-AhR,Probability_Nuclear Response_NR-AhR,Interpretation_Nuclear Response_NR-AhR,PredictionsNuclear Response_NR-Aromatase,Probability_Nuclear Response_NR-Aromatase,Interpretation_Nuclear Response_NR-Aromatase,PredictionsNuclear Response_NR-ER,Probability_Nuclear Response_NR-ER,Interpretation_Nuclear Response_NR-ER,PredictionsNuclear Response_NR-ER-LBD,Probability_Nuclear Response_NR-ER-LBD,Interpretation_Nuclear Response_NR-ER-LBD,PredictionsNuclear Response_NR-PPAR-gamma,Probability_Nuclear Response_NR-PPAR-gamma,Interpretation_Nuclear Response_NR-PPAR-gamma,PredictionsNuclear Response_NR-GR,Probability_Nuclear Response_NR-GR,Interpretation_Nuclear Response_NR-GR,PredictionsNuclear Response_NR-TR,Probability_Nuclear Response_NR-TR,Interpretation_Nuclear Response_NR-TR,PredictionsStress Response_SR-ARE,Probability_Stress Response_SR-ARE,Interpretation_Stress Response_SR-ARE,PredictionsStress Response_SR-ATAD5,Probability_Stress Response_SR-ATAD5,Interpretation_Stress Response_SR-ATAD5,PredictionsStress Response_SR-HSE,Probability_Stress Response_SR-HSE,Interpretation_Stress Response_SR-HSE,PredictionsStress Response_SR-MMP,Probability_Stress Response_SR-MMP,Interpretation_Stress Response_SR-MMP,PredictionsStress Response_SR-p53,Probability_Stress Response_SR-p53,Interpretation_Stress Response_SR-p53,PredictionsGenomic_AMES_Mutagenesis,Probability_Genomic_AMES_Mutagenesis,Interpretation_Genomic_AMES_Mutagenesis,PredictionsGenomic_Carcinogenesis,Probability_Genomic_Carcinogenesis,Interpretation_Genomic_Carcinogenesis,PredictionsGenomic_Micronucleus,Probability_Genomic_Micronucleus,Interpretation_Genomic_Micronucleus,PredictionsEnvironmental_Fathead_Minnow,Probability_Environmental_Fathead_Minnow,Interpretation_Environmental_Fathead_Minnow,PredictionsEnvironmental_T._Pyriformis,Probability_Environmental_T._Pyriformis,Interpretation_Environmental_T._Pyriformis,PredictionsEnvironmental_Honey_Bee,Probability_Environmental_Honey_Bee,Interpretation_Environmental_Honey_Bee,PredictionsEnvironmental_Biodegradation,Probability_Environmental_Biodegradation,Interpretation_Environmental_Biodegradation,PredictionsEnvironmental_Crustacean,Probability_Environmental_Crustacean,Interpretation_Environmental_Crustacean,PredictionsEnvironmental_Avian,Probability_Environmental_Avian,Interpretation_Environmental_Avian,PredictionsEnvironmental_Fathead_Minnow_(Regression),Probability_Environmental_Fathead_Minnow_(Regression),Interpretation_Environmental_Fathead_Minnow_(Regression),PredictionsEnvironmental_T._Pyriformis_(Regression),Probability_Environmental_T._Pyriformis_(Regression),Interpretation_Environmental_T._Pyriformis_(Regression),PredictionsEnvironmental_Rat_(Acute),Probability_Environmental_Rat_(Acute),Interpretation_Environmental_Rat_(Acute),PredictionsEnvironmental_Rat_(Chronic_Oral),Probability_Environmental_Rat_(Chronic_Oral),Interpretation_Environmental_Rat_(Chronic_Oral),PredictionsDose Response_Maximum_Tolerated_Dose,Probability_Dose Response_Maximum_Tolerated_Dose,Interpretation_Dose Response_Maximum_Tolerated_Dose,PredictionsOrganic_Skin_Sensitisation,Probability_Organic_Skin_Sensitisation,Interpretation_Organic_Skin_Sensitisation,PredictionsOrganic_hERG_I_Inhibitor,Probability_Organic_hERG_I_Inhibitor,Interpretation_Organic_hERG_I_Inhibitor,PredictionsOrganic_hERG_II_Inhibitor,Probability_Organic_hERG_II_Inhibitor,Interpretation_Organic_hERG_II_Inhibitor,PredictionsOrganic_Liver_Injury_I,Probability_Organic_Liver_Injury_I,Interpretation_Organic_Liver_Injury_I,PredictionsOrganic_Liver_Injury_II,Probability_Organic_Liver_Injury_II,Interpretation_Organic_Liver_Injury_II,PredictionsOrganic_Eye_Irritation,Probability_Organic_Eye_Irritation,Interpretation_Organic_Eye_Irritation,PredictionsOrganic_Eye_Corrosion,Probability_Organic_Eye_Corrosion,Interpretation_Organic_Eye_Corrosion,PredictionsOrganic_Respiratory_Disease,Probability_Organic_Respiratory_Disease,Interpretation_Organic_Respiratory_Disease
CC1OC(OC2CCC(OC(C)(CC(=O)O)Cc3ccc4c(c3O)C(=O)c3ccc(C5CC6OC7CC(=O)C(C)OC7OC6C(C)O5)c(O)c3C4=O)OC2C)C=CC1=O,Safe,0.030,High Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Safe,0.060,High Safety,Safe,0.180,Medium Safety,Safe,0.010,High Safety,Safe,0.210,Medium Safety,Safe,0.380,Low Safety,Safe,0.110,High Safety,Safe,0.450,Low Safety,Safe,0.130,High Safety,Safe,0.120,High Safety,Toxic,0.530,Low Toxicity,Safe,0.140,High Safety,Safe,0.460,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.880,High Toxicity,Toxic,0.850,High Toxicity,Safe,0.360,Low Safety,Safe,0.010,High Safety,Safe,0.330,Medium Safety,Safe,0.030,High Safety,-1.920,-,None,1.690,-,None,2.780,-,None,2.050,-,None,0.080,-,None,Safe,0.390,Low Safety,Safe,0.180,Medium Safety,Safe,0.380,Low Safety,Safe,0.240,Medium Safety,Safe,0.210,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.570,Low Toxicity
CC1CC(=O)C2C3=C(C=CC2(OC2CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O2)C1)C(=O)c1c(ccc(C2CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O2)c1O)C3=O,Safe,0.000,High Safety,Safe,0.190,Medium Safety,Safe,0.000,High Safety,Safe,0.100,High Safety,Safe,0.210,Medium Safety,Safe,0.340,Low Safety,Safe,0.010,High Safety,Safe,0.400,Low Safety,Safe,0.210,Medium Safety,Safe,0.460,Low Safety,Safe,0.140,High Safety,Safe,0.080,High Safety,Safe,0.270,Medium Safety,Safe,0.190,Medium Safety,Safe,0.370,Low Safety,Safe,0.000,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.810,Medium Toxicity,Toxic,0.880,High Toxicity,Toxic,0.570,Low Toxicity,Safe,0.010,High Safety,Safe,0.390,Low Safety,Safe,0.000,High Safety,1.170,-,None,0.300,-,None,3.600,-,None,2.580,-,None,-0.790,-,None,Safe,0.280,Medium Safety,Safe,0.130,High Safety,Safe,0.470,Low Safety,Safe,0.030,High Safety,Safe,0.340,Low Safety,Safe,0.000,High Safety,Safe,0.000,High Safety,Toxic,0.800,Medium Toxicity
C=C(CC1CC(O)C2(C)OC3CC4OC5CC6(C)OC7(C)CCC8OC9CC%10(C)OC%11C(C)=CC(=O)OC%11CC%10OC9CC(C)C8OC7CC6OC5(C)CC=CC4OC3CC2O1)C(=O)O,Safe,0.030,High Safety,Safe,0.100,High Safety,Safe,0.000,High Safety,Safe,0.140,High Safety,Safe,0.180,Medium Safety,Safe,0.010,High Safety,Safe,0.020,High Safety,Toxic,0.580,Low Toxicity,Safe,0.110,High Safety,Safe,0.300,Medium Safety,Safe,0.010,High Safety,Safe,0.030,High Safety,Toxic,0.520,Low Toxicity,Toxic,0.590,Low Toxicity,Safe,0.230,Medium Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.680,Medium Toxicity,Toxic,0.840,High Toxicity,Safe,0.180,Medium Safety,Safe,0.130,High Safety,Safe,0.280,Medium Safety,Safe,0.000,High Safety,-1.810,-,None,2.170,-,None,3.570,-,None,1.160,-,None,-0.720,-,None,Safe,0.330,Medium Safety,Safe,0.090,High Safety,Safe,0.190,Medium Safety,Safe,0.450,Low Safety,Safe,0.370,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.730,Medium Toxicity
CC1(C)CCC(C2(C)OC(=O)C34C(O)C=C5C(CCC6C5(C)CCC(OC5OCC(OS(=O)(=O)[O-])C(O)C5O)C6(C)C)C3(C)CCC24)O1.[Na+],Safe,0.220,Medium Safety,Safe,0.070,High Safety,Safe,0.000,High Safety,Safe,0.220,Medium Safety,Safe,0.200,Medium Safety,Safe,0.030,High Safety,Safe,0.000,High Safety,Safe,0.340,Low Safety,Safe,0.130,High Safety,Safe,0.310,Medium Safety,Safe,0.010,High Safety,Safe,0.040,High Safety,Safe,0.080,High Safety,Safe,0.120,High Safety,Safe,0.130,High Safety,Toxic,0.900,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.520,Low Toxicity,Toxic,0.620,Low Toxicity,Toxic,0.620,Low Toxicity,Safe,0.030,High Safety,Safe,0.250,Medium Safety,Safe,0.000,High Safety,2.820,-,None,-0.490,-,None,3.420,-,None,2.740,-,None,-0.390,-,None,Safe,0.440,Low Safety,Safe,0.070,High Safety,Safe,0.300,Medium Safety,Safe,0.320,Medium Safety,Safe,0.390,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.760,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)c4ccc6c(c4C5=O)C(=O)CC(C)(O)C6)OC3C)OC2C)CCC1=O,Safe,0.000,High Safety,Safe,0.240,Medium Safety,Safe,0.000,High Safety,Safe,0.140,High Safety,Safe,0.310,Medium Safety,Safe,0.090,High Safety,Safe,0.020,High Safety,Safe,0.450,Low Safety,Safe,0.170,Medium Safety,Safe,0.430,Low Safety,Safe,0.340,Low Safety,Safe,0.090,High Safety,Safe,0.430,Low Safety,Safe,0.310,Medium Safety,Toxic,0.560,Low Toxicity,Safe,0.240,Medium Safety,Toxic,0.500,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.960,High Toxicity,Safe,0.390,Low Safety,Safe,0.010,High Safety,Toxic,0.740,Medium Toxicity,Safe,0.000,High Safety,-1.300,-,None,1.790,-,None,2.620,-,None,1.740,-,None,-0.170,-,None,Safe,0.390,Low Safety,Safe,0.100,High Safety,Toxic,0.660,Low Toxicity,Toxic,0.500,Low Toxicity,Safe,0.280,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)c4ccc6c(c4C5=O)C(=O)CC(C)(O)C6)OC3C)OC2C)CCC1=O,Safe,0.000,High Safety,Safe,0.240,Medium Safety,Safe,0.000,High Safety,Safe,0.140,High Safety,Safe,0.310,Medium Safety,Safe,0.090,High Safety,Safe,0.020,High Safety,Safe,0.450,Low Safety,Safe,0.170,Medium Safety,Safe,0.430,Low Safety,Safe,0.340,Low Safety,Safe,0.090,High Safety,Safe,0.430,Low Safety,Safe,0.310,Medium Safety,Toxic,0.560,Low Toxicity,Safe,0.240,Medium Safety,Toxic,0.500,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.960,High Toxicity,Safe,0.390,Low Safety,Safe,0.010,High Safety,Toxic,0.740,Medium Toxicity,Safe,0.000,High Safety,-1.300,-,None,1.790,-,None,2.620,-,None,1.740,-,None,-0.170,-,None,Safe,0.390,Low Safety,Safe,0.100,High Safety,Toxic,0.660,Low Toxicity,Toxic,0.500,Low Toxicity,Safe,0.280,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity
C=C(CC1CC(O)C2(C)OC3CC4OC5CC6(C)OC7(C)CCC8OC9CC%10(C)OC%11C(C)=CC(=O)OC%11CC%10OC9CC(C)C8OC7CC6OC5(C)CC=CC4OC3CC2O1)C1OC(C)C(C)O1,Safe,0.000,High Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Safe,0.100,High Safety,Safe,0.190,Medium Safety,Safe,0.070,High Safety,Safe,0.010,High Safety,Toxic,0.530,Low Toxicity,Safe,0.100,High Safety,Safe,0.270,Medium Safety,Safe,0.020,High Safety,Safe,0.040,High Safety,Toxic,0.510,Low Toxicity,Safe,0.460,Low Safety,Safe,0.230,Medium Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.740,Medium Toxicity,Toxic,0.870,High Toxicity,Toxic,0.700,Medium Toxicity,Safe,0.440,Low Safety,Toxic,0.650,Low Toxicity,Safe,0.000,High Safety,-1.840,-,None,2.200,-,None,3.970,-,None,0.990,-,None,-0.820,-,None,Safe,0.380,Low Safety,Safe,0.130,High Safety,Toxic,0.530,Low Toxicity,Safe,0.400,Low Safety,Toxic,0.570,Low Toxicity,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.720,Medium Toxicity
C=C(CC1CC(O)C2(C)OC3CC4OC5CC6(C)OC7(C)CCC8OC9CC%10(C)OC%11C(C)=CC(=O)OC%11CC%10OC9CC(C)C8OC7CC6OC5(C)CC=CC4OC3CC2O1)C(=O)NCCS(=O)(=O)[O-].[Na+],Safe,0.040,High Safety,Safe,0.060,High Safety,Safe,0.000,High Safety,Safe,0.120,High Safety,Safe,0.180,Medium Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Toxic,0.570,Low Toxicity,Safe,0.120,High Safety,Safe,0.260,Medium Safety,Safe,0.010,High Safety,Safe,0.060,High Safety,Toxic,0.560,Low Toxicity,Safe,0.170,Medium Safety,Safe,0.200,Medium Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Safe,0.460,Low Safety,Toxic,0.580,Low Toxicity,Safe,0.130,High Safety,Safe,0.060,High Safety,Safe,0.130,High Safety,Safe,0.000,High Safety,1.160,-,None,-0.110,-,None,3.190,-,None,1.210,-,None,-0.100,-,None,Safe,0.390,Low Safety,Safe,0.140,High Safety,Safe,0.290,Medium Safety,Safe,0.470,Low Safety,Toxic,0.500,Low Toxicity,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)c4ccc6c(c4C5=O)C(=O)CC(C)(OC4CCC(OC5CCC(=O)C(C)O5)C(C)O4)C6)OC3C)OC2C)CCC1=O,Safe,0.000,High Safety,Safe,0.150,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.360,Low Safety,Safe,0.070,High Safety,Safe,0.020,High Safety,Safe,0.430,Low Safety,Safe,0.270,Medium Safety,Safe,0.470,Low Safety,Safe,0.200,Medium Safety,Safe,0.060,High Safety,Toxic,0.500,Low Toxicity,Safe,0.280,Medium Safety,Safe,0.420,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.970,High Toxicity,Safe,0.390,Low Safety,Safe,0.010,High Safety,Toxic,0.780,Medium Toxicity,Safe,0.000,High Safety,-2.070,-,None,1.990,-,None,3.220,-,None,1.660,-,None,-0.170,-,None,Safe,0.390,Low Safety,Safe,0.160,High Safety,Toxic,0.670,Medium Toxicity,Toxic,0.510,Low Toxicity,Safe,0.290,Medium Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Toxic,0.680,Medium Toxicity
CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4O)C(=O)c4ccc6c(c4C5=O)C(=O)CC(C)(OC4CCC(OC5CCC(=O)C(C)O5)C(C)O4)C6)OC3C)OC2C)CCC1=O,Safe,0.000,High Safety,Safe,0.150,High Safety,Safe,0.000,High Safety,Safe,0.160,High Safety,Safe,0.360,Low Safety,Safe,0.070,High Safety,Safe,0.020,High Safety,Safe,0.430,Low Safety,Safe,0.270,Medium Safety,Safe,0.470,Low Safety,Safe,0.200,Medium Safety,Safe,0.060,High Safety,Toxic,0.500,Low Toxicity,Safe,0.280,Medium Safety,Safe,0.420,Low Safety,Toxic,0.880,High Toxicity,Toxic,0.500,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.970,High Toxicity,Safe,0.390,Low Safety,Safe,0.010,High Safety,Toxic,0.780,Medium Toxicity,Safe,0.000,High Safety,-2.070,-,None,1.990,-,None,3.220,-,None,1.660,-,None,-0.170,-,None,Safe,0.390,Low Safety,Safe,0.160,High Safety,Toxic,0.670,Medium Toxicity,Toxic,0.510,Low Toxicity,Safe,0.290,Medium Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Toxic,0.680,Medium Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=CC=NC6=C5)c4)c2)C2C=CC(C2)C31,Safe,0.040,High Safety,Safe,0.070,High Safety,Safe,0.030,High Safety,Safe,0.050,High Safety,Safe,0.150,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.410,Low Safety,Safe,0.450,Low Safety,Safe,0.430,Low Safety,Safe,0.290,Medium Safety,Safe,0.150,High Safety,Safe,0.370,Low Safety,Safe,0.060,High Safety,Safe,0.310,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.920,High Toxicity,Toxic,0.900,High Toxicity,Toxic,0.660,Low Toxicity,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.010,High Safety,-2.210,-,None,2.130,-,None,3.040,-,None,1.860,-,None,-0.370,-,None,Safe,0.450,Low Safety,Safe,0.240,Medium Safety,Toxic,0.650,Low Toxicity,Toxic,0.700,Medium Toxicity,Safe,0.340,Low Safety,Safe,0.070,High Safety,Safe,0.000,High Safety,Toxic,0.760,Medium Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=CC=NC6=C5)c4)c2)C2C=CC(CC2)C31,Safe,0.040,High Safety,Safe,0.080,High Safety,Safe,0.030,High Safety,Safe,0.030,High Safety,Safe,0.160,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.420,Low Safety,Safe,0.450,Low Safety,Safe,0.430,Low Safety,Safe,0.250,Medium Safety,Safe,0.150,High Safety,Safe,0.400,Low Safety,Safe,0.010,High Safety,Safe,0.250,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.890,High Toxicity,Toxic,0.660,Low Toxicity,Safe,0.000,High Safety,Toxic,0.790,Medium Toxicity,Safe,0.010,High Safety,-2.220,-,None,2.110,-,None,3.200,-,None,1.880,-,None,-0.320,-,None,Safe,0.460,Low Safety,Safe,0.230,Medium Safety,Toxic,0.660,Low Toxicity,Toxic,0.660,Low Toxicity,Safe,0.340,Low Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=CC=NC6=C5)c4)c2)C2C=CC(CC2)C31,Safe,0.040,High Safety,Safe,0.080,High Safety,Safe,0.030,High Safety,Safe,0.030,High Safety,Safe,0.160,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.420,Low Safety,Safe,0.450,Low Safety,Safe,0.430,Low Safety,Safe,0.250,Medium Safety,Safe,0.150,High Safety,Safe,0.400,Low Safety,Safe,0.010,High Safety,Safe,0.250,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.890,High Toxicity,Toxic,0.660,Low Toxicity,Safe,0.000,High Safety,Toxic,0.790,Medium Toxicity,Safe,0.010,High Safety,-2.220,-,None,2.110,-,None,3.200,-,None,1.880,-,None,-0.320,-,None,Safe,0.460,Low Safety,Safe,0.230,Medium Safety,Toxic,0.660,Low Toxicity,Toxic,0.660,Low Toxicity,Safe,0.340,Low Safety,Safe,0.040,High Safety,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=NC=CC6=C5)c4)c2)C2C=CC(C2)C31,Safe,0.040,High Safety,Safe,0.050,High Safety,Safe,0.030,High Safety,Safe,0.030,High Safety,Safe,0.160,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.450,Low Safety,Safe,0.420,Low Safety,Safe,0.260,Medium Safety,Safe,0.160,High Safety,Safe,0.370,Low Safety,Safe,0.040,High Safety,Safe,0.290,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.900,High Toxicity,Toxic,0.660,Low Toxicity,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.010,High Safety,-2.210,-,None,2.130,-,None,3.150,-,None,1.850,-,None,-0.820,-,None,Safe,0.440,Low Safety,Safe,0.230,Medium Safety,Toxic,0.660,Low Toxicity,Toxic,0.700,Medium Toxicity,Safe,0.320,Medium Safety,Safe,0.050,High Safety,Safe,0.000,High Safety,Toxic,0.770,Medium Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=NC=CC6=C5)c4)c2)C2C=CC(C2)C31,Safe,0.040,High Safety,Safe,0.050,High Safety,Safe,0.030,High Safety,Safe,0.030,High Safety,Safe,0.160,High Safety,Safe,0.020,High Safety,Safe,0.010,High Safety,Safe,0.430,Low Safety,Safe,0.450,Low Safety,Safe,0.420,Low Safety,Safe,0.260,Medium Safety,Safe,0.160,High Safety,Safe,0.370,Low Safety,Safe,0.040,High Safety,Safe,0.290,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.900,High Toxicity,Toxic,0.660,Low Toxicity,Safe,0.000,High Safety,Toxic,0.750,Medium Toxicity,Safe,0.010,High Safety,-2.210,-,None,2.130,-,None,3.150,-,None,1.850,-,None,-0.820,-,None,Safe,0.440,Low Safety,Safe,0.230,Medium Safety,Toxic,0.660,Low Toxicity,Toxic,0.700,Medium Toxicity,Safe,0.320,Medium Safety,Safe,0.050,High Safety,Safe,0.000,High Safety,Toxic,0.770,Medium Toxicity
CNCC1CC2CCC1C1c3c(cc4oc(C)cc(=O)c4c3O)OC(C)(C)C1OC(=O)C21OC1CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=NC=CC4=C3)c2)c1,Safe,0.090,High Safety,Safe,0.060,High Safety,Safe,0.090,High Safety,Safe,0.050,High Safety,Safe,0.190,Medium Safety,Safe,0.030,High Safety,Safe,0.010,High Safety,Safe,0.440,Low Safety,Safe,0.430,Low Safety,Safe,0.450,Low Safety,Safe,0.200,Medium Safety,Safe,0.140,High Safety,Safe,0.390,Low Safety,Safe,0.020,High Safety,Safe,0.260,Medium Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.930,High Toxicity,Toxic,0.890,High Toxicity,Toxic,0.630,Low Toxicity,Safe,0.010,High Safety,Toxic,0.830,Medium Toxicity,Toxic,0.960,High Toxicity,-2.270,-,None,2.090,-,None,3.230,-,None,1.540,-,None,-0.260,-,None,Toxic,0.510,Low Toxicity,Safe,0.200,Medium Safety,Toxic,0.670,Medium Toxicity,Toxic,0.630,Low Toxicity,Safe,0.330,Medium Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.790,Medium Toxicity
CC1OC(OC2CCC3(C=O)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1OC1OC(CO)C(O)C(O)C1O,Safe,0.130,High Safety,Toxic,0.600,Low Toxicity,Safe,0.000,High Safety,Safe,0.360,Low Safety,Safe,0.220,Medium Safety,Safe,0.080,High Safety,Safe,0.010,High Safety,Toxic,0.600,Low Toxicity,Safe,0.050,High Safety,Safe,0.160,High Safety,Safe,0.020,High Safety,Safe,0.030,High Safety,Safe,0.440,Low Safety,Safe,0.080,High Safety,Safe,0.120,High Safety,Safe,0.150,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.600,Low Toxicity,Toxic,0.760,Medium Toxicity,Safe,0.490,Low Safety,Safe,0.070,High Safety,Safe,0.220,Medium Safety,Safe,0.010,High Safety,1.440,-,None,-0.310,-,None,3.820,-,None,2.880,-,None,-1.510,-,None,Safe,0.350,Low Safety,Safe,0.040,High Safety,Safe,0.480,Low Safety,Safe,0.270,Medium Safety,Safe,0.400,Low Safety,Safe,0.010,High Safety,Safe,0.000,High Safety,Toxic,0.880,High Toxicity
Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CC(O)CCC31)OC2CCc1cc(N)nc(-c2cc(N)nc(Cn3cc4cc[nH]c4c3)c2)c1,Safe,0.030,High Safety,Safe,0.050,High Safety,Safe,0.010,High Safety,Safe,0.070,High Safety,Safe,0.190,Medium Safety,Safe,0.010,High Safety,Safe,0.020,High Safety,Safe,0.380,Low Safety,Safe,0.440,Low Safety,Safe,0.420,Low Safety,Safe,0.200,Medium Safety,Safe,0.180,Medium Safety,Safe,0.440,Low Safety,Safe,0.010,High Safety,Safe,0.350,Low Safety,Safe,0.100,High Safety,Toxic,0.510,Low Toxicity,Toxic,0.950,High Toxicity,Toxic,0.940,High Toxicity,Safe,0.460,Low Safety,Safe,0.000,High Safety,Toxic,0.760,Medium Toxicity,Toxic,0.660,Low Toxicity,-2.170,-,None,2.100,-,None,3.030,-,None,1.580,-,None,-0.180,-,None,Safe,0.330,Medium Safety,Safe,0.210,Medium Safety,Toxic,0.740,Medium Toxicity,Toxic,0.560,Low Toxicity,Safe,0.340,Low Safety,Safe,0.000,High Safety,Safe,0.000,High Safety,Toxic,0.710,Medium Toxicity
CC1(C)C=C2C(=Cc3cc4c5c([nH]c4cc32)C2(C)C(CCC34OC6(O)C(OC(C)(C)C6O)C3C(=O)CCC42C)C5)C(C)(C)O1,Safe,0.010,High Safety,Safe,0.070,High Safety,Safe,0.010,High Safety,Safe,0.040,High Safety,Safe,0.190,Medium Safety,Safe,0.040,High Safety,Safe,0.010,High Safety,Safe,0.470,Low Safety,Safe,0.240,Medium Safety,Safe,0.290,Medium Safety,Safe,0.160,High Safety,Safe,0.060,High Safety,Safe,0.350,Low Safety,Safe,0.030,High Safety,Safe,0.270,Medium Safety,Safe,0.100,High Safety,Toxic,0.500,Low Toxicity,Toxic,0.940,High Toxicity,Toxic,0.930,High Toxicity,Safe,0.260,Medium Safety,Safe,0.010,High Safety,Toxic,0.840,High Toxicity,Safe,0.080,High Safety,-1.900,-,None,1.890,-,None,3.230,-,None,1.590,-,None,-1.040,-,None,Safe,0.370,Low Safety,Safe,0.140,High Safety,Toxic,0.500,Low Toxicity,Safe,0.130,High Safety,Safe,0.190,Medium Safety,Safe,0.020,High Safety,Safe,0.000,High Safety,Toxic,0.850,High Toxicity
