Nuclear Response_NR-AR,Nuclear Response_NR-AR-LBD,Nuclear Response_NR-AhR,Nuclear Response_NR-Aromatase,Nuclear Response_NR-ER,Nuclear Response_NR-ER-LBD,Nuclear Response_NR-PPAR-gamma,Nuclear Response_NR-GR,Nuclear Response_NR-TR,Stress Response_SR-ARE,Stress Response_SR-ATAD5,Stress Response_SR-HSE,Stress Response_SR-MMP,Stress Response_SR-p53,Genomic_AMES_Mutagenesis,Genomic_Carcinogenesis,Genomic_Micronucleus,Environmental_Fathead_Minnow,Environmental_T._Pyriformis,Environmental_Honey_Bee,Environmental_Biodegradation,Environmental_Crustacean,Environmental_Avian,Environmental_Fathead_Minnow_(Regression),Environmental_T._Pyriformis_(Regression),Environmental_Rat_(Acute),Environmental_Rat_(Chronic_Oral),Dose Response_Maximum_Tolerated_Dose,Organic_Skin_Sensitisation,Organic_hERG_I_Inhibitor,Organic_hERG_II_Inhibitor,Organic_Liver_Injury_I,Organic_Liver_Injury_II,Organic_Eye_Irritation,Organic_Eye_Corrosion,Organic_Respiratory_Disease,identifier,SMILES
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0579111.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CC(O)CCC31)OC2CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=CC=NC4=C3)c2)c1
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Low Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,Low Toxicity,,,,,,Low Safety,Medium Safety,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0582361.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CCC(O)C31)OC2CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=CC=NC4=C3)c2)c1
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Low Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,Low Toxicity,,,,,,Low Safety,Medium Safety,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0582361.2,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CCC(O)C31)OC2CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=CC=NC4=C3)c2)c1
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0586463.0,CC1CCC2(NC1)OC1CC3C4CC=C5CC(OC6OC(C)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Toxicity,Low Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0586769.2,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C(OC(=O)C1(C)OC1CCc1cc(N)nc(-c2cc(N)nc(C[N+]4=CC5=CC=NC5=C4)c2)c1)C3
Low Safety,High Toxicity,High Safety,Low Toxicity,Low Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,High Safety,Medium Toxicity,Low Safety,Medium Toxicity,High Safety,High Safety,High Toxicity,CNP0588664.1,COC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Safety,High Safety,High Toxicity,High Toxicity,,,,,,Medium Safety,Medium Safety,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0589980.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(Cn5cc6cc[nH]c6c5)c4)c2)C2CCC(CC2)C31
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Safety,High Safety,Medium Toxicity,Low Toxicity,,,,,,Medium Safety,Medium Safety,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0590390.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CC(CO)CC31)OC2CCc1cc(N)nc(-c2cc(N)nc(Cn3cc4cc[nH]c4c3)c2)c1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0590724.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=NC=CC6=C5)c4)c2)C2C=CC(CC2)C31
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Medium Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0590724.2,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(OC2CCc2cc(N)nc(-c4cc(N)nc(C[N+]5=CC6=NC=CC6=C5)c4)c2)C2C=CC(CC2)C31
High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,Low Safety,Medium Safety,Low Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,Medium Safety,Medium Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Medium Toxicity,Low Safety,,,,,,Medium Safety,Medium Safety,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,CNP0591331.1,CC(=O)OC1C(C)OC(c2ccc3c(c2O)C(O)C24OC2(C3=O)C2(O)C(=O)C=C(C)CC2(O)CC4O)CC1OC(=O)C=CC=CC=CC=CC(=O)Nc1c(C)c2ccc(O)c(Cl)c2oc1=O
Medium Safety,Low Toxicity,High Safety,Low Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0597014.1,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C4CC(O)C3C3=CC(=O)OC3)C2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,High Safety,Medium Safety,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Safety,High Safety,Medium Toxicity,Low Toxicity,,,,,,Medium Safety,Medium Safety,Medium Toxicity,Low Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0599667.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C(OC(=O)C1(C)OC1CCc1cc(N)nc(-c2cc(N)nc(Cn4cc5cc[nH]c5c4)c2)c1)C3
Low Safety,Low Safety,High Safety,Low Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,High Toxicity,CNP0600437.0,CC(=O)OC1CC(OC2C(O)CC(OCC3CC(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)O3)OC2C)OC(C)C1O
Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0601335.1,COC1CC(OC2C(C)OC(C3CC4=CCC5C(=O)OC6COC7(C)OC=C(CCC5C4(C)CC3O)C67)CC2OC)OC(C)C1OC1CC(OC)C(OC2OC(CO)C(O)C(O)C2O)C(C)O1
Low Safety,Medium Toxicity,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Safety,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0601926.1,COC1OC(OC2C(C)OC(OC3CCC4(C)C(CCC5C4CCC4(C)C(C6=CC(=O)OC6)CCC54O)C3)C(O)C2O)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Medium Toxicity,Low Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0604312.1,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CC(CO)CC31)OC2CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=CC=NC4=C3)c2)c1
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Medium Toxicity,Low Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0604312.2,Cc1cc(=O)c2c(O)c3c(cc2o1)OC(C)(C)C1OC(=O)C2(CC(CO)CC31)OC2CCc1cc(N)nc(-c2cc(N)nc(C[N+]3=CC4=CC=NC4=C3)c2)c1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0080815.0,CC1OC(OC2CCC(OC3C(O)CC(c4ccc5c(c4)C(=O)C4=C(C5=O)C5(O)C(=O)CC(C)(OC6C=CC(=O)C(C)O6)CC5(O)C=C4)OC3C)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,Medium Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,Medium Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0080816.0,CC1OC(OC2(C)CC(=O)C3(O)C4=C(C=CC3(O)C2)C(=O)c2cc(C3CC5OC6CC(=O)C(C)OC6OC5C(C)O3)ccc2C4=O)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0080817.0,CC1OC(OC2(C)CC(=O)C3(O)C4=C(C=CC3(O)C2)C(=O)c2cc(C3CC5OC6CC(=O)C(C)OC6OC5C(C)O3)ccc2C4=O)CCC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Safety,High Safety,Low Safety,Low Toxicity,High Safety,Low Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,Low Toxicity,,,,,,Medium Safety,High Safety,Low Toxicity,High Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0080938.1,CCCC1Cc2cc3c(c(O)c2C(=O)O1)-c1c(O)c2c(c(OC)c1C(O)C3O)OC1C=CC(OC3CC(O)C(OC4CC(O)C(OC5CC(OC)C(O)C(C)O5)C(C)O4)C(C)O3)=C(O)C1C2=O
High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,Medium Safety,Medium Safety,Medium Safety,Low Safety,Low Safety,Medium Toxicity,Low Safety,Medium Toxicity,Medium Toxicity,High Safety,High Safety,Medium Safety,Low Toxicity,,,,,,Medium Safety,Medium Safety,Low Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,Medium Toxicity,CNP0080945.1,CC1OC(CC(=O)O)CC23OC12C(=O)c1c(O)c(-c2cc(O)c4c(c2O)C(=O)C25OC2(CC(CC(=O)O)OC5C)C4=O)cc(O)c1C3=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,High Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0086353.1,CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(CO)C5C(O)CC43C)C2C1C
High Safety,Medium Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087101.1,CC1=C(C)C(=O)OC(C(C)(O)C2CC=C3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC(=O)C5(C)C4CCC32C)C1
High Safety,Medium Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087101.4,CC1=C(C)C(=O)OC(C(C)(O)C2CC=C3C4CC=C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC(=O)C5(C)C4CCC32C)C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Low Safety,Low Safety,Medium Toxicity,Medium Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Medium Toxicity,High Safety,High Safety,Low Toxicity,CNP0087250.1,CC1CCOC2(C1)OC1CC3C4CC(O)C5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
High Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087291.1,CC1=C(C)C(=O)OC(C(C)C2C(O)CC3C4C5OC5C5(O)CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CC(O)C5(C)C4CCC32C)C1
High Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087291.2,CC1=C(C)C(=O)OC(C(C)C2C(O)CC3C4C5OC5C5(O)CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CC(O)C5(C)C4CCC32C)C1
High Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087291.3,CC1=C(C)C(=O)OC(C(C)C2C(O)CC3C4C5OC5C5(O)CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CC(O)C5(C)C4CCC32C)C1
High Safety,Low Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0087291.4,CC1=C(C)C(=O)OC(C(C)C2C(O)CC3C4C5OC5C5(O)CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6O)CC(O)C5(C)C4CCC32C)C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0087783.1,CC1CCC2(OC1)OC1CCC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7O)C(O)C6O)CCC5(C)C4CC(=O)C3(C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0089516.1,CC1(C)CCC2(C(=O)OC3OCC(O)(COC4OC(CO)C(O)C(O)C4O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Low Toxicity,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0089617.1,CC1OC(OC2C(CO)OC(OCC3OC(OC(=O)C4CC(C)(C)CC5C6=CCC7(C)C8(C)CCC(O)C(C)(CO)C8CCC7(C)C6(C)CCC45)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Medium Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0090222.1,CC1CCC2(C(=O)OC3OC(COC4CC(CO)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1C
High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0090698.1,CC1CCC2(OC1)OC1CC3C(CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)CC5=CCC34C)C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0092795.1,CC1(C)CC(C(=O)OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C2CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0098022.1,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CCC5(C)C4CC(=O)C3C1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0098938.1,CC(C)C1C=C2CC(OC3OC(CO)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)CCC2(C)C2CCC3(C)C(CC4OC5(CCC(C)(O)CO5)C(C)C43)C12
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,Medium Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0102500.2,CC(C)C1(C2CC(C3C(O)CC4C5=CCC6CC(OC7OC(CO)C(O)C(O)C7O)CCC6(C)C5CCC43C)C(=O)O2)OC1C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0103092.1,CC1(C)CCC2(C(=O)OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0103758.1,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OCC(O)(CO)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C
Medium Safety,Medium Toxicity,High Safety,Low Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Low Safety,High Safety,Medium Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Toxicity,CNP0104406.1,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CCOC7=O)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O
