Nuclear Response_NR-AR,Nuclear Response_NR-AR-LBD,Nuclear Response_NR-AhR,Nuclear Response_NR-Aromatase,Nuclear Response_NR-ER,Nuclear Response_NR-ER-LBD,Nuclear Response_NR-PPAR-gamma,Nuclear Response_NR-GR,Nuclear Response_NR-TR,Stress Response_SR-ARE,Stress Response_SR-ATAD5,Stress Response_SR-HSE,Stress Response_SR-MMP,Stress Response_SR-p53,Genomic_AMES_Mutagenesis,Genomic_Carcinogenesis,Genomic_Micronucleus,Environmental_Fathead_Minnow,Environmental_T._Pyriformis,Environmental_Honey_Bee,Environmental_Biodegradation,Environmental_Crustacean,Environmental_Avian,Environmental_Fathead_Minnow_(Regression),Environmental_T._Pyriformis_(Regression),Environmental_Rat_(Acute),Environmental_Rat_(Chronic_Oral),Dose Response_Maximum_Tolerated_Dose,Organic_Skin_Sensitisation,Organic_hERG_I_Inhibitor,Organic_hERG_II_Inhibitor,Organic_Liver_Injury_I,Organic_Liver_Injury_II,Organic_Eye_Irritation,Organic_Eye_Corrosion,Organic_Respiratory_Disease,identifier,SMILES
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0376228.1,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CCC6C(=O)OC7COC8(C)OC=C(CCC65)C78O)C4)CC3OC)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,High Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0376228.2,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CCC5(C)C(=CCC6C(=O)OC7COC8(C)OC=C(CCC65)C78O)C4)CC3OC)OC2C)OC(C)C1O
High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Safety,High Safety,Medium Safety,High Safety,,,,,,Medium Safety,Medium Safety,Medium Toxicity,Medium Safety,Medium Safety,High Safety,High Safety,High Toxicity,CNP0380042.1,CC1OC(OCC2OC(Oc3ccc4c5c([nH]c4c3)-c3nc4ccccc4c(=O)n3CC5)C(O)C(O)C2O)C(O)C(O)C1O
High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Low Safety,Low Safety,High Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Medium Toxicity,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0383458.1,COc1ccc2[nH]c3c(c2c1)CCN1C(=O)N(c2ccc(C(=O)Nc4ccc5c(c4)OCO5)cc2)C(=O)C31C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Low Safety,High Safety,Medium Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0384769.0,CC1COC2(C)OC3C(C4CC=C5C6=C(CCC54C)C4(C)CCC(OC5OC(CO)C(O)C(OC7OCC(O)C(O)C7O)C5O)CC4CC6)C(O)OC3C12O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,Low Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0386461.0,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(COC8OCC(O)C(O)C8O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1(O)C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0387900.2,CC1CCC2(C(=O)OC3OC(COC4OC(CO)C(O)C(O)C4O)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1(C)O
High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,Medium Safety,Medium Safety,Low Toxicity,Low Toxicity,Low Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Safety,Low Safety,,,,,,Low Safety,High Safety,Low Safety,Low Safety,High Safety,High Safety,High Safety,Medium Toxicity,CNP0389765.1,CC1OC(C)(C(=O)O)OC1C=CC=CC=CC(=O)OC1CCC(c2ccc3c(c2O)C(=O)c2cc(O)c4c(c2C3=O)C(=O)C(O)C(C)(O)C4)OC1C
High Safety,Medium Toxicity,High Safety,Low Safety,Medium Safety,Medium Safety,High Safety,Medium Toxicity,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Low Toxicity,Low Safety,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0389968.1,CC12CCC(OC3OCC(OC4OCC(O)C(O)C4O)C(O)C3O)CC1(O)CCC1C2C(O)CC2(C)C(C3=CC(=O)OC3)CCC12O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,Medium Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,CNP0394131.1,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC43C)C2C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,Low Toxicity,High Safety,Medium Safety,High Safety,,,,,,Low Safety,High Safety,Low Toxicity,Medium Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0398157.1,CC(=O)OC1CC(OC2CCC3(C)C(CCC45OC46CCC(C4COC(=O)C4)C6(C)C(=O)CC35)C2)OC(C)C1OC1OCC(OC2OC(C)C(O)C(O)C2O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,Low Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,Medium Safety,Low Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0398964.3,CC1=CC(=O)OC2CC3OC4CC(C)C5OC6CC7OC8(C)CC=CC9OC%10CC%11OC(CC(=O)CCl)CC(O)C%11(C)OC%10CC9OC8CC7(C)OC6(C)CCC5OC4CC3(C)OC12
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,Medium Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,CNP0400872.0,CC1OC(OC2C(O)CC(c3ccc4c(c3)C(=O)C3=C(C4=O)C4(O)C(=O)CC(C)(OC5C=CC(=O)C(C)O5)CC4(O)C=C3)OC2C)C=CC1=O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0403720.1,CC1(C)CCC2(C(=O)OC3OCC(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0403720.2,CC1(C)CCC2(C(=O)OC3OCC(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(OC7OC(CO)C(O)C(O)C7O)C(O)C6O)C(C)(C)C5CCC43C)C2C1
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,,,,,,Medium Safety,High Safety,Low Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0409471.1,CC1OC(OC2C(CO)OC(OCC3OC(OC(=O)C45CCC6=C(CCC7C6CCC6C(C)(C)C(=O)CCC76C)C4(C)CC(C)(C)CC5)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0411203.4,CC1=C2C(=O)C3C(CC=C4CC(OC5OC(O)C(O)C(O)C5CO)CCC43C)C2CCC12OC1CC(C)CNC1C2C
High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,Medium Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,,,,,,Low Safety,High Safety,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,High Toxicity,CNP0411203.5,CC1=C2C(=O)C3C(CC=C4CC(OC5OC(O)C(O)C(O)C5CO)CCC43C)C2CCC12OC1CC(C)CNC1C2C
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0413252.1,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)CC3OC)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0413252.10,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)CC3OC)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0413252.2,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)CC3OC)OC2C)OC(C)C1O
High Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,Low Safety,High Safety,Medium Safety,High Safety,High Safety,Low Toxicity,Medium Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,,,,,,Medium Safety,High Safety,Low Toxicity,Medium Toxicity,Low Safety,High Safety,High Safety,Medium Toxicity,CNP0413252.3,COC1CC(OC2C(O)CC(OC3C(C)OC(OC4CC5=CCC6C(=O)OC7COC8(C)OC=C(CCC6C5(C)CC4O)C78)CC3OC)OC2C)OC(C)C1O
