Fold,MAE,MSE,RMSE,R2
1,0.5649289193855673,0.5448249426929374,0.738122579720291,0.8213437179822538
2,0.57484995185419,0.5674259665677707,0.7532768193484853,0.8051917835715149
3,0.5471886419081946,0.519939500987834,0.7210683053552097,0.8171868774228621
4,0.5652083760454215,0.558479994187185,0.747315190657319,0.8123733084675201
5,0.567830726369855,0.5414813673663669,0.7358541753407172,0.8134521616014296
