dataset,k,rmse
descriptors_only,10,0.6930120609624913
raw_descs_and_ratios,75,0.6170877452141363
raw_descs_and_interactions,30,0.6393738910178383
transforms_and_interactions,30,0.6393738910178383
transforms_and_ratios,80,0.6153778827406011
raw_descs_and_transforms,10,0.6957651724943651
ratios_only,80,0.6151934179600536
interactions_only,30,0.6393738910178383
transformations_only,10,0.6957862024020778
all_4_combined,100,0.618744619463996
interactions_and_ratios,100,0.6186563636712397
