Ligand,actual_docking_score,predicted_docking_score
CNP0198595.2,-12.938,-12.543247
CNP0200093.1,-12.561,-12.500043
CNP0200896.5,-12.133,-12.54291
CNP0200896.7,-11.016,-12.659114
CNP0201047.1,-13.209,-12.503468
CNP0201578.2,-13.605,-12.959212
CNP0201578.3,-13.163,-12.476754
CNP0201697.1,-12.068,-12.746702
CNP0201697.2,-12.225,-12.676662
CNP0202293.1,-13.092,-12.7936735
CNP0202293.2,-13.021,-12.904588
CNP0202331.1,-12.54,-12.680155
CNP0202462.1,-12.703,-12.494071
CNP0202976.1,-11.525,-12.542761
CNP0202976.2,-11.992,-12.575795
CNP0203452.14,-12.874,-12.536066
CNP0203452.16,-12.178,-12.567287
CNP0204025.1,-15.291,-12.496652
CNP0204358.2,-12.856,-12.505113
CNP0204684.1,-12.398,-12.945574
CNP0204757.3,-12.679,-12.499297
CNP0204757.5,-12.854,-12.5364685
CNP0205219.3,-13.165,-12.908132
CNP0205219.4,-12.298,-12.685633
CNP0205219.5,-13.374,-12.817076
CNP0205250.3,-11.712,-12.546256
CNP0205250.4,-12.004,-12.562044
CNP0206403.2,-12.671,-12.676493
CNP0206403.4,-12.666,-12.677116
CNP0206403.5,-12.527,-12.652326
CNP0206403.6,-13.212,-12.582442
CNP0206403.8,-12.763,-12.606238
CNP0207261.2,-11.617,-12.610003
CNP0209031.2,-12.314,-12.494904
CNP0209217.1,-12.791,-12.589772
CNP0209411.0,-12.235,-12.832906
CNP0209594.1,-12.892,-12.480002
CNP0210147.1,-12.593,-12.479187
CNP0210147.2,-12.479,-12.513128
CNP0210147.3,-12.125,-12.499604
CNP0210563.1,-11.504,-13.003566
CNP0210563.2,-12.84,-13.190291
CNP0210563.3,-13.592,-13.195849
CNP0210563.4,-13.28,-12.990641
CNP0210563.5,-13.448,-13.171118
CNP0211194.0,-13.076,-13.100528
CNP0212184.1,-12.522,-12.697701
CNP0213055.1,-12.438,-12.58429
CNP0213332.1,-13.781,-12.638188
