dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci
descriptors_only.csv,0.5573516385899717,0.008930751627179682,0.5301510803844898,0.020679505354349086,0.7279673631364029,0.014356200348647733,0.8195232115460713,0.0049880896492472135,6.605773998858838,0.1521833585593213
raw_descs_and_ratios.csv,0.5818609790761944,0.010497659458937764,0.5549998378807732,0.01934648619633094,0.7448633987586334,0.013087864979372645,0.8110619991294541,0.004075780697434494,7.180299510202889,0.15932687451620586
raw_descs_and_interactions.csv,0.5265932701796985,0.009748595234034716,0.47073990919923137,0.014523923383737604,0.6860188745692637,0.010646108292129234,0.839695121222585,0.0045343373683236375,6.276849832147909,0.15341278456541882
transforms_and_interactions.csv,0.5265932701796985,0.009748595234034716,0.47073990919923137,0.01452392338373767,0.6860188745692637,0.010646108292129234,0.839695121222585,0.0045343373683236375,6.276849832147909,0.15341278456541876
transforms_and_ratios.csv,0.5816850315544572,0.010221686651727848,0.5540342390393418,0.01883974210221708,0.7442209814002739,0.012753934122065273,0.8113813914381458,0.0042159684791424675,7.170886709829124,0.1592375586361003
raw_descs_and_transforms.csv,0.533454264513483,0.005099933671762614,0.49103258747709866,0.013277243540139922,0.7006701468642298,0.00949805415078229,0.8327560785718158,0.004990458802907014,6.250643383067333,0.09395974049365831
ratios_only.csv,0.5814049929552951,0.010620949549067083,0.5533069643483264,0.01978147396224188,0.7437204333941498,0.01339704448192586,0.8116355897239769,0.004441157197625689,7.167996372756806,0.16144272567615559
interactions_only.csv,0.5265932701796985,0.009748595234034716,0.47073990919923137,0.014523923383737666,0.6860188745692637,0.01064610829212923,0.839695121222585,0.0045343373683236375,6.276849832147909,0.15341278456541876
transformations_only.csv,0.599457182690248,0.008850745983143641,0.5895635406993066,0.02034105318532884,0.7677103911806384,0.013304053971018196,0.7992861402395824,0.0045813845840631815,7.148964371291808,0.12784506062818043
all_4_combined.csv,0.584357121187216,0.010973808242643558,0.5580569031543551,0.019727262823769288,0.7469079457990465,0.01334469481862343,0.8100164455593737,0.004479024038559205,7.208782543171033,0.17204584075836815
interactions_and_ratios.csv,0.5845398574799324,0.011018909760135141,0.5582690763500291,0.020059438697807477,0.7470456865037229,0.013572862948274889,0.809952214236932,0.004325710293369761,7.210255950730645,0.17623802298787397
