dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,total_model_fits
descriptors_only.csv,0.5185922643462546,0.008267009303982172,0.46733778033454937,0.015011939186901246,0.6835289139102967,0.01100065532168507,0.8408390590176719,0.005135465314849697,6.075301087213048,0.13526317880115893,120
raw_descs_and_ratios.csv,0.4496754468983973,0.006547740965509404,0.35794584696338305,0.015491773588399576,0.5981403271079294,0.012926941130767904,0.878059864344954,0.005937169568193983,5.301505444523162,0.08352503569341092,120
raw_descs_and_interactions.csv,0.4626292310565817,0.007748644479152992,0.37768371561640407,0.013327289827017927,0.6144598050930584,0.010862695115172129,0.8713300169438807,0.0055606094029147235,5.4692196644596835,0.11604950735212083,120
transforms_and_interactions.csv,0.4626292310565817,0.007748644479152992,0.37768371561640407,0.013327289827017927,0.6144598050930584,0.010862695115172129,0.8713300169438807,0.0055606094029147235,5.4692196644596835,0.11604950735212083,120
transforms_and_ratios.csv,0.4467005365656601,0.007562984417282666,0.35530441809574864,0.014673111034900809,0.5959417410602856,0.012312925209546681,0.8789666427481035,0.005558273943363204,5.261380583355974,0.10636206909019116,120
raw_descs_and_transforms.csv,0.523083835914153,0.00784470040876828,0.4733628047441685,0.011610032709268442,0.6879593643613096,0.008471063072245946,0.8387727886911991,0.0045107016211155815,6.130808434287518,0.12586979861095585,120
ratios_only.csv,0.4481875617269119,0.007878756531191836,0.35695698291864575,0.014256696850402635,0.5973343181844378,0.01195018436520335,0.8784016138780114,0.005478936044357112,5.279414117199397,0.1142448372825292,120
interactions_only.csv,0.4626292310565817,0.007748644479152992,0.37768371561640407,0.013327289827017927,0.6144598050930584,0.010862695115172129,0.8713300169438807,0.0055606094029147235,5.4692196644596835,0.11604950735212083,120
transformations_only.csv,0.5230120645676637,0.008215701650393361,0.47398164218334243,0.012232157817788188,0.6884033975167355,0.00889613701085134,0.8385530760189113,0.004952477642381004,6.128384284436881,0.12944321229187242,120
all_4_combined.csv,0.4504244783174328,0.007391533759491073,0.363757851238974,0.011736918241837325,0.6030416565026014,0.009731738581273606,0.876097472165295,0.004475774950754261,5.310985891806927,0.11485314827171081,120
interactions_and_ratios.csv,0.4507654120667753,0.00868828850047283,0.36374050848038353,0.013041161281814553,0.6030073416249391,0.010853446987295975,0.8761038109191549,0.0048800121295771845,5.3159117430787255,0.1286193056072512,120
