dataset,MAE_mean,MAE_ci,MSE_mean,MSE_ci,RMSE_mean,RMSE_ci,R2_mean,R2_ci,MAPE_mean,MAPE_ci,total_model_fits
descriptors_only.csv,0.6568074648929273,0.011718283111793338,0.7049947008333712,0.02918779039091948,0.8394514338331709,0.017420614870895662,0.7599693664286907,0.008346439096911667,7.8940158788807056,0.11555446167635394,180
raw_descs_and_ratios.csv,0.600601688460668,0.008052565630869472,0.5824026484331416,0.020412641947319097,0.7630316488093085,0.013342092605331084,0.8016520663893673,0.0070141181862787404,7.242399234304462,0.08326552046109756,180
raw_descs_and_interactions.csv,0.6074098904664142,0.011528585391330658,0.5973543614359831,0.022991495906309972,0.772739520960855,0.01479748666486928,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.12320056173664821,180
transforms_and_interactions.csv,0.6074098904664142,0.011528585391330658,0.5973543614359831,0.022991495906309972,0.772739520960855,0.01479748666486928,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.12320056173664821,180
transforms_and_ratios.csv,0.5975750367771987,0.009016031676500374,0.5764030215157012,0.023107638791894567,0.7590539345158799,0.015186712270983388,0.8037057386521363,0.007676978840104345,7.198408089862101,0.09651725532910277,180
raw_descs_and_transforms.csv,0.6571760926155419,0.009678151706832202,0.7062810826026986,0.026767575975670678,0.8402477891722031,0.01594527743014374,0.7595128140969006,0.007816748883550542,7.873718389743873,0.09436876086561366,180
ratios_only.csv,0.6008998143731267,0.010836916184934904,0.5814338316580134,0.025191139997242536,0.7623321122045589,0.016503105716903,0.8020103376678691,0.008002549754988807,7.2484072340270345,0.12531515198330626,180
interactions_only.csv,0.6074098904664142,0.011528585391330658,0.5973543614359831,0.022991495906309972,0.772739520960855,0.01479748666486928,0.7965385535361966,0.0084199514565467,7.2898426322386864,0.12320056173664821,180
transformations_only.csv,0.653414384415742,0.0090025125674219,0.7009629075338176,0.029003228874294927,0.8370494168363599,0.01728752521158966,0.7612920154130277,0.009534775946220713,7.831625291971582,0.08149802917388586,180
all_4_combined.csv,0.6078229189735385,0.009587986126146841,0.5893339569287621,0.019561615503872583,0.7675713790115681,0.012707356256142242,0.7992825270431992,0.0069793216519039225,7.347229412565897,0.09653529361950955,180
interactions_and_ratios.csv,0.6068149207253232,0.008983141265044306,0.5885158094345839,0.01860674716280805,0.7670488958815548,0.012074330263721492,0.7995448856251959,0.007107975756820131,7.331073047265855,0.09122193710548519,180
